M,O2,N2,H2O,t,temperature,pressure,w_ap
2.3907188224288625e19,5.008555932988466e18,1.8669123284346986e19,3.9453961473683155e17,-180.0,298.328,984.7042222222221,false
2.3910634231660098e19,5.00927787153279e18,1.8671814271503372e19,3.953160935086072e17,-165.0,298.2891111111111,984.7177777777779,false
2.390887096359144e19,5.008908466872406e18,1.8670437335468556e19,3.986170338840449e17,-150.0,298.33413793103443,984.7937931034483,false
2.3921550748199125e19,5.011564881747716e18,1.86803389792687e19,3.972950822281558e17,-135.0,298.31766666666664,985.2616666666665,false
2.3943963593014546e19,5.016260372736547e18,1.869784116978506e19,3.9934307173139514e17,-120.0,298.15922222222224,985.661,false
2.3957198516085817e19,5.019033089119978e18,1.8708176321211417e19,3.9965974773502445e17,-105.0,298.145,986.1587777777776,false
2.396954908485602e19,5.021620533277337e18,1.871782088036407e19,3.997883491815752e17,-90.0,298.06367816091955,986.3980459770122,false
2.39720459886968e19,5.02214363463198e18,1.8719770712573334e19,4.0021840083103654e17,-75.0,298.0848888888889,986.571,false
2.397790433776055e19,5.023370958760835e18,1.8724345497357214e19,4.0200551921037574e17,-60.0,298.0308888888889,986.6333333333338,false
2.3958533834501165e19,5.019312838327994e18,1.870921907136196e19,4.1841723278494374e17,-45.0,298.2032222222222,986.4063333333337,false
2.4006486250242716e19,5.029358869425848e18,1.874666511281454e19,4.104328916655564e17,-30.0,297.5708045977011,986.284482758621,false
2.400622541211829e19,5.029304223838781e18,1.8746461424323174e19,4.091915035636785e17,-15.0,297.5361111111111,986.1587777777776,false
2.3995731988083425e19,5.027105851503478e18,1.8738267109494346e19,4.108442975080703e17,0.0,297.6694444444444,986.1694444444443,true
2.402885407391853e19,5.034044928485932e18,1.876413214632298e19,4.0973740138602656e17,15.0,297.3212222222222,986.3754444444442,true
2.4040980183207895e19,5.036585348382053e18,1.8773601425067045e19,4.086405346014987e17,30.0,297.1926436781609,986.446436781609,true
2.4043885641447064e19,5.03719404188316e18,1.8775870297406013e19,4.086182176878974e17,45.0,297.15944444444443,986.455444444444,true
2.4046400285921448e19,5.037720859900543e18,1.877783398327606e19,4.0663302909751046e17,60.0,297.16377777777774,986.5730000000001,true
2.404503124403345e19,5.037434045625007e18,1.8776764898465722e19,4.0707174595951565e17,75.0,297.20322222222217,986.6477777777775,true
2.403885330881148e19,5.036139768196005e18,1.8771940548850885e19,4.075918275902827e17,90.0,297.29436781609195,986.696781609195,true
2.4032349270847717e19,5.034777172242597e18,1.8766861545604985e19,4.076019494229839e17,105.0,297.3644444444444,986.662333333333,true
2.4024242849929474e19,5.033078877060225e18,1.876053124150993e19,4.0564395266881056e17,120.0,297.4073333333333,986.4717777777773,true
2.402574912332965e19,5.033394441337562e18,1.8761707490408124e19,4.048525128137285e17,135.0,297.36611111111114,986.396888888889,true
2.401755758672426e19,5.031678314418733e18,1.8755310719472976e19,4.0344912850208806e17,150.0,297.4244827586207,986.2541379310343,true
2.4016842673082487e19,5.031528540010781e18,1.8754752443410117e19,4.026593086205481e17,165.0,297.3748888888889,986.0603333333336,true
2.401046392899465e19,5.030192193124379e18,1.874977128215192e19,4.040655487874608e17,180.0,297.41511111111106,985.9317777777779,true
2.401556749772838e19,5.031261390774096e18,1.8753756658976092e19,4.027849766008056e17,195.0,297.39677777777774,986.0805555555551,true
2.4006060178962276e19,5.029269607492597e18,1.8746332393751642e19,4.0082342941266925e17,210.0,297.45574712643673,985.8856321839086,true
2.4000645831917842e19,5.028135301786788e18,1.8742104330144645e19,3.9751364031977875e17,225.0,297.5031111111111,985.8202222222225,true
2.3992184492161036e19,5.026362651107737e18,1.8735496869928554e19,3.9414420498672806e17,240.0,297.56388888888887,985.6739999999999,true
2.3987103699933102e19,5.025298225135985e18,1.873152927927776e19,3.8735523084064403e17,255.0,297.6328888888889,985.6937777777772,true
2.3986610490316108e19,5.025194897721224e18,1.873114413188785e19,3.7900071100400314e17,270.0,297.65643678160916,985.751494252874,true
2.3983459067902067e19,5.024534674725482e18,1.8728683186124726e19,3.7127225878001395e17,285.0,297.78277777777777,986.0403333333337,true
2.3983793446291153e19,5.024604726997997e18,1.872894430220876e19,3.637676272237702e17,300.0,297.83355555555556,986.2222222222224,true
2.397860256395213e19,5.023517237147971e18,1.872489074219022e19,3.5796190548113056e17,315.0,297.91799999999995,986.2883333333336,true
2.396952382241734e19,5.021615240796432e18,1.87178011529257e19,3.534903210946204e17,330.0,298.00275862068963,986.1954022988509,true
2.396716833589176e19,5.021121766369323e18,1.8715961753497874e19,3.4743520297483194e17,345.0,298.04377777777773,986.2342222222215,true
2.3967032198933606e19,5.02109324567659e18,1.8715855444147253e19,3.424724785832383e17,360.0,298.0921111111111,986.3885555555557,true
2.3962324596953616e19,5.020107003061783e18,1.871217927776108e19,3.354028011129644e17,375.0,298.13488888888884,986.3363333333332,true
2.39610374118627e19,5.019837337785235e18,1.871117411492358e19,3.279053128449529e17,390.0,298.17160919540225,986.4048275862069,true
2.3972324572043633e19,5.022201997843141e18,1.8719988258308874e19,3.215237240159468e17,405.0,298.0747777777778,986.5490000000002,true
2.397228603612816e19,5.022193924568849e18,1.8719958165612483e19,3.146477343454274e17,420.0,298.119,986.6937777777781,true
2.3977158122629472e19,5.023214626690874e18,1.8723762777961357e19,3.085012009186342e17,435.0,298.09544444444447,986.8163333333333,true
2.397565841399375e19,5.02290043773169e18,1.872259165548772e19,3.0460214859456794e17,450.0,298.0965517241379,986.7582758620687,true
2.397872169844049e19,5.023542195823282e18,1.872498377431218e19,2.993478079242135e17,465.0,298.07177777777775,986.8023333333334,true
2.3985047397482836e19,5.024867429772654e18,1.8729923512694346e19,2.9386816328521946e17,480.0,298.034,986.9375555555556,true
2.4002656605281874e19,5.028556558806553e18,1.8743674543064617e19,2.885656265039861e17,495.0,297.91144444444444,987.2560000000002,true
2.402353303197611e19,5.032930170198995e18,1.8759976944670142e19,2.833901618578935e17,510.0,297.74275862068964,987.5551724137935,true
2.4044526348615217e19,5.037328270034888e18,1.8776370625633624e19,2.7804985592031318e17,525.0,297.5582222222222,987.8055555555558,true
2.4065064333988737e19,5.04163097797064e18,1.8792408738411807e19,2.728557683719855e17,540.0,297.36677777777777,988.0132222222225,true
2.4091924076976886e19,5.047258094126658e18,1.8813383511711252e19,2.675013626705374e17,555.0,297.1277777777778,988.320999999999,true
2.411776672695082e19,5.052672129296197e18,1.88335640370759e19,2.625797147866344e17,570.0,296.8674712643678,988.5143678160927,true
2.4136434417233723e19,5.056583010410465e18,1.8848141636417815e19,2.5852098168632803e17,585.0,296.71311111111106,988.7651111111113,true
2.4147835515050336e19,5.058971540403045e18,1.885704475370281e19,2.5381242070459315e17,600.0,296.62877777777777,988.9510000000001,true
