t,temperature,pressure,M,O2,N2,NO,CH4,C2H6,H2O2,HCHO,H2O,CH3OH,SO2,O3,CO,NO2
0.0,297.6694444444444,986.1694444444443,2.3995731988083425e19,5.027105851503478e18,1.8738267109494346e19,3.277816989572196e10,4.867895711719752e13,NaN,5.545793864378636e9,1.5639329612408948e11,4.108442975080703e17,1.722296642316842e10,1.0870066590601791e10,2.5123531391523346e10,4.287289387351396e12,1.0546124208762665e11
15.0,297.3212222222222,986.3754444444442,2.402885407391853e19,5.034044928485932e18,1.876413214632298e19,3.450543445014701e10,4.870094594844161e13,NaN,6.292404449391672e9,1.4898547565178796e11,4.0973740138602656e17,1.7194099647166077e10,9.251108818458633e9,3.734083923086939e10,4.2026465775283486e12,1.0339615908007144e11
30.0,297.1926436781609,986.446436781609,2.4040980183207895e19,5.036585348382053e18,1.8773601425067045e19,3.637400301719355e10,4.872438434828206e13,NaN,9.64533033973727e9,1.5072376767078375e11,4.086405346014987e17,1.719132248307584e10,1.2164735972703196e10,3.3633331276307846e10,4.262010107773402e12,1.0215012479845033e11
45.0,297.15944444444443,986.455444444444,2.4043885641447064e19,5.03719404188316e18,1.8775870297406013e19,3.859043645452254e10,4.869807339750764e13,NaN,1.1908089500522038e10,1.4602169992045505e11,4.086182176878974e17,1.715709900167174e10,1.3079873788947203e10,2.813134620049306e10,4.290230661288869e12,1.0055152975253162e11
60.0,297.16377777777774,986.5730000000001,2.4046400285921448e19,5.037720859900543e18,1.877783398327606e19,4.039795248034803e10,4.8663698079424836e13,NaN,1.0040160019949501e10,1.4377563094084067e11,4.0663302909751046e17,1.724038597959922e10,1.1397993735526764e10,3.551653322230598e10,4.2472622460572227e12,9.868642677342162e10
75.0,297.20322222222217,986.6477777777775,2.404503124403345e19,5.037434045625007e18,1.8776764898465722e19,3.791901427184075e10,4.863925347793567e13,NaN,9.371181105378992e9,1.4644170756458047e11,4.0707174595951565e17,1.7152397294680271e10,9.377562185173046e9,2.690638996207343e10,4.484398327012236e12,9.844035791307295e10
90.0,297.29436781609195,986.696781609195,2.403885330881148e19,5.036139768196005e18,1.8771940548850885e19,3.735637804189304e10,4.8654223317265164e13,NaN,8.549686104286809e9,1.4519009781813028e11,4.075918275902827e17,1.722300337171936e10,6.370296126835042e9,3.9567952546303696e10,4.792011857926521e12,9.918430875215617e10
105.0,297.3644444444444,986.662333333333,2.4032349270847717e19,5.034777172242597e18,1.8766861545604985e19,3.782691775231431e10,4.8828346211510516e13,NaN,1.0663473165990345e10,1.4121288988379053e11,4.076019494229839e17,1.7139283625590994e10,9.15632507219298e9,3.518335933252106e10,4.853199422196196e12,1.0059941404776852e11
120.0,297.4073333333333,986.4717777777773,2.4024242849929474e19,5.033078877060225e18,1.876053124150993e19,3.858293401698673e10,4.8900357057279125e13,NaN,1.0479381807554237e10,1.491804945902404e11,4.0564395266881056e17,1.731026001256748e10,9.1292122829732e9,3.2576873304504364e10,4.787364259911784e12,1.0140632906955229e11
135.0,297.36611111111114,986.396888888889,2.402574912332965e19,5.033394441337562e18,1.8761707490408124e19,3.668731891132437e10,4.892318896732859e13,NaN,9.641388607657156e9,1.4927596204343097e11,4.048525128137285e17,1.726405270740061e10,5.814231287845776e9,4.531256284659972e10,4.608005205470611e12,1.0275812900048091e11
150.0,297.4244827586207,986.2541379310343,2.401755758672426e19,5.031678314418733e18,1.8755310719472976e19,3.436912490660242e10,4.89259777177328e13,NaN,1.0141484292984106e10,1.4593994008835416e11,4.0344912850208806e17,1.718299931724436e10,1.0759865798852468e10,5.259845111492613e10,4.506341896093239e12,1.026510411256595e11
