t,temperature,pressure,M,O2,N2,NO,CH4,C2H6,H2O2,HCHO,H2O,CH3OH,SO2,O3,CO,NO2
165.0,297.3748888888889,986.0603333333336,2.4016842673082487e19,5.031528540010781e18,1.8754752443410117e19,3.1269929160353394e10,4.889003184303646e13,NaN,1.0990076919709145e10,1.5521163683511746e11,4.026593086205481e17,1.7174662714213903e10,5.788059084212879e9,6.3668649926341675e10,4.3930808056180015e12,9.974194762131155e10
180.0,297.41511111111106,985.9317777777779,2.401046392899465e19,5.030192193124379e18,1.874977128215192e19,2.7395939342982895e10,4.890336625331409e13,NaN,9.739833251578432e9,1.525497465710492e11,4.040655487874608e17,1.714205441521314e10,3.5535486614912076e9,6.830976987798976e10,4.3729724388012856e12,9.765055679922124e10
195.0,297.39677777777774,986.0805555555551,2.401556749772838e19,5.031261390774096e18,1.8753756658976092e19,2.610492187003075e10,4.892918941431121e13,NaN,1.077179360617551e10,1.4915564220396722e11,4.027849766008056e17,1.7201977919574112e10,7.684981599273083e9,7.615336453529669e10,4.346951136908266e12,9.651856577337035e10
210.0,297.45574712643673,985.8856321839086,2.4006060178962276e19,5.029269607492597e18,1.8746332393751642e19,2.376599957717265e10,4.8907028103276484e13,NaN,8.872717922924358e9,1.5397911291943112e11,4.0082342941266925e17,1.714933251027461e10,5.521393841161324e9,9.398372560063731e10,4.264809957793638e12,9.407974984135315e10
225.0,297.5031111111111,985.8202222222225,2.4000645831917842e19,5.028135301786788e18,1.8742104330144645e19,2.0520552186289753e10,4.8890649906471625e13,NaN,7.1884783441223755e9,1.659599198917606e11,3.9751364031977875e17,1.7164897902481928e10,7.776209249541382e9,9.852265114002275e10,4.162245334939705e12,9.249848903621135e10
240.0,297.56388888888887,985.6739999999999,2.3992184492161036e19,5.026362651107737e18,1.8735496869928554e19,1.9337700700681793e10,4.8874977754044516e13,NaN,1.0818997696852402e10,1.7037980205232895e11,3.9414420498672806e17,1.7244135853555187e10,1.2403959382447254e10,1.1110780638319774e11,4.065342372282844e12,9.143421509962572e10
255.0,297.6328888888889,985.6937777777772,2.3987103699933102e19,5.025298225135985e18,1.873152927927776e19,1.8158237500849358e10,4.893549805536606e13,NaN,1.3705287494576962e10,1.7919298348218616e11,3.8735523084064403e17,1.7217479896107643e10,6.908285865580733e9,1.1849629227766953e11,4.0017700780443975e12,8.975974204514966e10
270.0,297.65643678160916,985.751494252874,2.3986610490316108e19,5.025194897721224e18,1.873114413188785e19,1.8397730246072453e10,4.902026765570184e13,NaN,1.1748240247848255e10,1.8907336331547482e11,3.7900071100400314e17,1.7335122259131912e10,1.5111564608899148e9,1.3811490320324014e11,3.9577907309021626e12,8.927816424495654e10
285.0,297.78277777777777,986.0403333333337,2.3983459067902067e19,5.024534674725482e18,1.8728683186124726e19,1.9786353731019203e10,4.9115513163565734e13,NaN,1.0198099681907642e10,1.937577771159095e11,3.7127225878001395e17,1.734026421226013e10,4.0771880415433517e9,1.487933800572644e11,3.9058395506471196e12,8.682012182580548e10
300.0,297.83355555555556,986.2222222222224,2.3983793446291153e19,5.024604726997997e18,1.872894430220876e19,2.1417527547538e10,4.9207491682330305e13,NaN,1.0051192040312603e10,1.9991757075651428e11,3.637676272237702e17,1.739799181667341e10,6.739445958407814e9,1.5503124083682602e11,3.885507781596094e12,8.67253971017888e10
315.0,297.91799999999995,986.2883333333336,2.397860256395213e19,5.023517237147971e18,1.872489074219022e19,1.920686065372565e10,4.92492332631566e13,NaN,1.1482647533508205e10,2.0490374678439706e11,3.5796190548113056e17,1.730303324543571e10,1.0550585128138935e10,1.623830965630838e11,3.8575772778373716e12,8.821727883277988e10
330.0,298.00275862068963,986.1954022988509,2.396952382241734e19,5.021615240796432e18,1.87178011529257e19,1.7401874295074986e10,4.927170764345151e13,NaN,8.519968308010934e9,2.0921733470394635e11,3.534903210946204e17,1.730051241385902e10,3.3317638113160095e9,1.635680305641759e11,3.8039634306176353e12,8.813593909502855e10
345.0,298.04377777777773,986.2342222222215,2.396716833589176e19,5.021121766369323e18,1.8715961753497874e19,1.6800985003460123e10,4.929544703917278e13,1.2607914155209951e8,1.2378209793492413e10,2.070171692242919e11,3.4743520297483194e17,1.7393549883856087e10,3.1157318836659284e9,1.7062227138321344e11,3.806652086415608e12,8.994878276460176e10
360.0,298.0921111111111,986.3885555555557,2.3967032198933606e19,5.02109324567659e18,1.8715855444147253e19,1.840668072878101e10,4.9318372163115625e13,6.471436599172411e9,9.598929156634138e9,2.1525664076290485e11,3.424724785832383e17,1.7353793353969246e10,7.669450303658754e8,1.733295768626878e11,3.776005922941989e12,9.102678829154985e10
375.0,298.13488888888884,986.3363333333332,2.3962324596953616e19,5.020107003061783e18,1.871217927776108e19,1.974495546788978e10,4.921895759667709e13,NaN,1.0016144580067654e10,2.176912597502234e11,3.354028011129644e17,1.7272850194933537e10,NaN,1.661307964306794e11,3.699649793744098e12,9.18475901801232e10
390.0,298.17160919540225,986.4048275862069,2.39610374118627e19,5.019837337785235e18,1.871117411492358e19,1.8953180592783394e10,4.906733893738131e13,NaN,1.2507290045744223e10,2.1979810426615567e11,3.279053128449529e17,1.730022298123572e10,5.750648978847048e9,1.6094628829548175e11,3.648067945956093e12,9.148324083849179e10
405.0,298.0747777777778,986.5490000000002,2.3972324572043633e19,5.022201997843141e18,1.8719988258308874e19,2.0064835666800518e10,4.8950633120463984e13,NaN,9.998728692896158e9,2.1466257840924524e11,3.215237240159468e17,1.7250508707819736e10,2.037647588623709e9,1.6298783476532468e11,3.5695608526110596e12,9.039963596117653e10
420.0,298.119,986.6937777777781,2.397228603612816e19,5.022193924568849e18,1.8719958165612483e19,4.0728913975381744e10,4.882146048902099e13,NaN,1.1482119805426205e10,2.086374886758673e11,3.146477343454274e17,1.7223740993979485e10,1.2225865878425362e9,1.6560055193757333e11,3.5085545051197324e12,7.956401735390936e10
435.0,298.09544444444447,986.8163333333333,2.3977158122629472e19,5.023214626690874e18,1.8723762777961357e19,1.846241175442469e10,4.87253261539806e13,NaN,9.601182598168196e9,2.0206690715493707e11,3.085012009186342e17,1.7161411526429739e10,4.243956987705416e9,1.7333087606848843e11,3.4946707963732407e12,8.356039605736371e10
450.0,298.0965517241379,986.7582758620687,2.397565841399375e19,5.02290043773169e18,1.872259165548772e19,2.0067626092512768e10,4.863459319753939e13,NaN,1.1415792728315851e10,2.0937153103690543e11,3.0460214859456794e17,1.7341139522359478e10,3.380567836373119e9,1.8154368551076068e11,3.481265601711888e12,8.089387148881491e10
465.0,298.07177777777775,986.8023333333334,2.397872169844049e19,5.023542195823282e18,1.872498377431218e19,2.0190083670086895e10,4.857623648632453e13,NaN,8.740590642926022e9,2.0580262189913852e11,2.993478079242135e17,1.728385224397731e10,NaN,1.8017611484208185e11,3.487035535302433e12,8.34459515105729e10
480.0,298.034,986.9375555555556,2.3985047397482836e19,5.024867429772654e18,1.8729923512694346e19,1.5878101377133636e10,4.855097208773664e13,NaN,1.282181526545882e10,2.1339965639636612e11,2.9386816328521946e17,1.7326726311361004e10,NaN,1.828140312636142e11,3.471036109205722e12,8.53627836876414e10
495.0,297.91144444444444,987.2560000000002,2.4002656605281874e19,5.028556558806553e18,1.8743674543064617e19,1.1605284468653786e11,4.8553827676437625e13,NaN,1.017034206491198e10,2.1607069972604614e11,2.885656265039861e17,1.7333388901057613e10,1.848204558606704e9,1.8052398032832498e11,3.457699770120633e12,8.70096301941468e10
510.0,297.74275862068964,987.5551724137935,2.402353303197611e19,5.032930170198995e18,1.8759976944670142e19,1.9723320619252384e10,4.8557746317726805e13,NaN,1.0893539065356844e10,2.0848266556712207e11,2.833901618578935e17,1.743018194198442e10,2.2101650389418015e9,1.881523107064369e11,3.418972695150761e12,8.855074275586394e10
525.0,297.5582222222222,987.8055555555558,2.4044526348615217e19,5.037328270034888e18,1.8776370625633624e19,2.531888624509182e10,4.85761811212087e13,NaN,1.0406708418471802e10,2.0088307616765387e11,2.7804985592031318e17,1.741027407115444e10,NaN,1.9377483784349002e11,3.4145899029072305e12,8.898879201622491e10
540.0,297.36677777777777,988.0132222222225,2.4065064333988737e19,5.04163097797064e18,1.8792408738411807e19,1.5858877396098576e10,4.859255338767621e13,NaN,1.0955868102528355e10,2.0329825973936462e11,2.728557683719855e17,1.7403147098729534e10,NaN,2.0029353045178824e11,3.399919581549666e12,8.747650885404906e10
555.0,297.1277777777778,988.320999999999,2.4091924076976886e19,5.047258094126658e18,1.8813383511711252e19,1.1467755860640997e10,4.864171154629047e13,NaN,1.5429559153801325e10,2.0411652281869525e11,2.675013626705374e17,1.7529427177434864e10,NaN,2.177187178836401e11,3.404900678924561e12,9.087473761835681e10
570.0,296.8674712643678,988.5143678160927,2.411776672695082e19,5.052672129296197e18,1.88335640370759e19,9.09239805606046e9,4.873770434665903e13,NaN,1.3609159215613823e10,2.085797795886802e11,2.625797147866344e17,1.7690478204856663e10,NaN,2.322540935805364e11,3.4606315501315825e12,9.217810443040602e10
585.0,296.71311111111106,988.7651111111113,2.4136434417233723e19,5.056583010410465e18,1.8848141636417815e19,9.823528807814125e9,4.8819168129878805e13,NaN,1.3368928758126692e10,2.016088169428623e11,2.5852098168632803e17,1.788771505092939e10,NaN,2.3945756585337573e11,3.5175601248301436e12,9.565268959549725e10
600.0,296.62877777777777,988.9510000000001,2.4147835515050336e19,5.058971540403045e18,1.885704475370281e19,9.948908232200737e9,4.890376019081354e13,NaN,1.3839034941210764e10,1.9362343954979785e11,2.5381242070459315e17,1.7866360862742958e10,NaN,2.4249256424213547e11,3.5373442947014307e12,9.68086725798368e10
