t,temperature,pressure,M,O2,N2,NO,CH4,C2H6,H2O2,HCHO,H2O,CH3OH,SO2,O3,CO,NO2
-180.0,298.328,984.7042222222221,2.3907188224288625e19,5.008555932988466e18,1.8669123284346986e19,2.8019224598866272e10,4.781443997775738e13,NaN,9.095655102489542e9,1.591946098586249e11,3.9453961473683155e17,1.7828537501847378e10,1.1786243794574291e10,5.02050952710061e10,3.654877808644301e12,8.338827252631873e10
-165.0,298.2891111111111,984.7177777777779,2.3910634231660098e19,5.00927787153279e18,1.8671814271503372e19,2.5703931799034603e10,4.776948945471313e13,NaN,7.899100647673156e9,1.5412447909933093e11,3.953160935086072e17,1.776974605263807e10,1.0998891746563644e10,6.188072139153632e10,3.6556554582002314e12,8.459582391161342e10
-150.0,298.33413793103443,984.7937931034483,2.390887096359144e19,5.008908466872406e18,1.8670437335468556e19,2.4243595157081715e10,4.772368103548427e13,NaN,6.076156483365602e9,1.6007789977782285e11,3.986170338840449e17,1.7883228137129658e10,9.157097579055521e9,7.909054514756049e10,3.6000118318123237e12,8.46134943401501e10
-135.0,298.31766666666664,985.2616666666665,2.3921550748199125e19,5.011564881747716e18,1.86803389792687e19,2.2390571500314377e10,4.770890224942754e13,NaN,6.382028529351547e9,1.5619377453201074e11,3.972950822281558e17,1.7745281085216354e10,8.252935008128696e9,6.341603103347588e10,3.613881830532103e12,8.628503354875424e10
-120.0,298.15922222222224,985.661,2.3943963593014546e19,5.016260372736547e18,1.869784116978506e19,2.2842541267735878e10,4.7799571932134875e13,NaN,7.458339240949361e9,1.580033862261007e11,3.9934307173139514e17,1.7554624801892895e10,1.1109999107158749e10,6.4337430174430084e10,3.618864053044225e12,8.749124296887515e10
-105.0,298.145,986.1587777777776,2.3957198516085817e19,5.019033089119978e18,1.8708176321211417e19,2.0866719907510746e10,4.8002045773898195e13,NaN,5.021735541337841e9,1.608109322462501e11,3.9965974773502445e17,1.7626964658983982e10,1.0948439721851217e10,5.938989512137674e10,3.6042274211977964e12,8.833019092880841e10
-90.0,298.06367816091955,986.3980459770122,2.396954908485602e19,5.021620533277337e18,1.871782088036407e19,2.0517934016636753e10,4.818403585538831e13,NaN,5.825658592227374e9,1.5803903451960516e11,3.997883491815752e17,1.7537308032456757e10,1.2368287327785706e10,5.263712979034382e10,3.683054381049707e12,9.115619516970743e10
-75.0,298.0848888888889,986.571,2.39720459886968e19,5.02214363463198e18,1.8719770712573334e19,2.1622785481804516e10,4.816869449226755e13,NaN,4.706574857125443e9,1.4951445822701944e11,4.0021840083103654e17,1.750739963532723e10,7.407362210507311e9,4.765642742552924e10,3.771335546155089e12,9.28916782062001e10
-60.0,298.0308888888889,986.6333333333338,2.397790433776055e19,5.023370958760835e18,1.8724345497357214e19,2.1676025521335537e10,4.827705058964208e13,NaN,6.916757719767363e9,1.56356147292284e11,4.0200551921037574e17,1.761822907707645e10,1.2444532351297726e10,4.167359773902783e10,3.9323763113927334e12,9.691868933322812e10
-45.0,298.2032222222222,986.4063333333337,2.3958533834501165e19,5.019312838327994e18,1.870921907136196e19,2.235331206758959e10,4.822974067828424e13,NaN,4.747210887553452e9,1.609071505756741e11,4.1841723278494374e17,1.7606945712853374e10,1.569283966159826e10,2.5420004398405735e10,4.0370129511134473e12,1.011289713154294e11
-30.0,297.5708045977011,986.284482758621,2.4006486250242716e19,5.029358869425848e18,1.874666511281454e19,2.6311108930266014e10,4.850269520569525e13,NaN,3.3476216112916765e9,1.6137667410440448e11,4.104328916655564e17,1.736920653553922e10,1.0274776115103882e10,2.1461798707716988e10,4.1589773618408286e12,1.0430818275730458e11
-15.0,297.5361111111111,986.1587777777776,2.400622541211829e19,5.029304223838781e18,1.8746461424323174e19,2.8831476719954063e10,4.880377905960026e13,NaN,4.453289383661051e9,1.560167218533912e11,4.091915035636785e17,1.7370595017278805e10,9.722521291907906e9,2.009321066994301e10,4.2219889845383047e12,1.0605950387073862e11
0.0,297.6694444444444,986.1694444444443,2.3995731988083425e19,5.027105851503478e18,1.8738267109494346e19,3.277816989572196e10,4.867895711719752e13,NaN,5.545793864378636e9,1.5639329612408948e11,4.108442975080703e17,1.722296642316842e10,1.0870066590601791e10,2.5123531391523346e10,4.287289387351396e12,1.0546124208762665e11
