t,temperature,pressure,M,O2,N2,NO,CH4,C2H6,H2O2,HCHO,H2O,CH3OH,SO2,O3,CO,NO2
-180.0,1.0013822265430736,0.6021268700836768,8.156870808153907e16,1.7088644343082434e16,6.3697004140873864e16,3.4756988098930945e9,2.4017928865298877e12,2.012253653599707e10,1.204922080209279e10,2.7566458676929096e10,2.370475036112181e16,2.6864106139251456e9,1.2735493733737586e9,6.32816077499431e9,3.741346607879112e11,1.0344059256746681e10
-165.0,1.006201718159915,0.605185045111382,8.198410404536597e16,1.717566979750417e16,6.402138684902629e16,3.1885058087489405e9,2.3995651127516733e12,2.0202821266954834e10,1.2748223847804455e10,2.8351204131990288e10,2.3761386519857436e16,2.6771810806809688e9,1.1884788069014606e9,7.799857262439716e9,3.758358163190384e11,1.049389167567791e10
-150.0,1.0081534486885646,0.6047991044107701,8.211808919581912e16,1.7203739686524104e16,6.412601585301515e16,3.0073587790198517e9,2.397105348258731e12,2.01967005673466e10,1.3420035938879766e10,2.8620770655526417e10,2.3952042377582e16,2.6895271427785788e9,9.894665199493735e8,9.969110402999346e9,3.686437321492745e11,1.0496097355967709e10
-135.0,1.0016918833720692,0.6149947473969554,8.169991603857046e16,1.7116132410080512e16,6.379946443451968e16,2.777483786866091e9,2.396381292915496e12,2.0151632661411934e10,1.4186798890136505e10,2.7122250721165703e10,2.386627826218422e16,2.6728472785614867e9,8.917625454966165e8,7.993354742772778e9,3.697298213950431e11,1.0703401729942299e10
-120.0,1.001448644846389,0.6201975944646783,8.182133597939088e16,1.7141569887682388e16,6.3894281266306344e16,2.8335504709412208e9,2.400860998639713e12,2.003397667941394e10,1.2906866109265043e10,2.5848786801772236e10,2.398829940262557e16,2.64549841905986e9,1.2004803754367223e9,8.109496943915396e9,3.7135328971197174e11,1.0853032935869205e10
-105.0,1.0031626953084065,0.61221430443661,8.196890568243802e16,1.7172485740470764e16,6.400951844741585e16,2.5884580640829687e9,2.411231264085751e12,1.9899430405758118e10,1.3616168508020433e10,2.5755864770243984e10,2.4006435229544772e16,2.656373867891456e9,1.1830247099312768e9,7.48588519131319e9,3.689245715919776e11,1.0957112379189331e10
-90.0,1.0024053802618849,0.6031927438502785,8.193275353528706e16,1.7164911865642638e16,6.398128723570566e16,2.5451903024441676e9,2.4202266540513804e12,1.9770958435997765e10,1.2926274387870834e10,2.6543316330048058e10,2.401130739566678e16,2.639047550226419e9,1.3364439025559354e9,6.634718450904393e9,3.7660441613702704e11,1.1307662056302769e10
-75.0,1.0027907625014811,0.6043030157391744,8.197050577774962e16,1.7172820960438544e16,6.401076796184468e16,2.6822446537908554e9,2.4193830246599136e12,1.9609827612795002e10,1.3056385441819677e10,2.5880744830300713e10,2.4041938838012236e16,2.6373164443922806e9,8.003959910443985e8,6.006920638156154e9,3.874423494495641e11,1.152294682199508e10
-60.0,1.0029435827663662,0.6006887432707011,8.200116439585397e16,1.7179243940931406e16,6.403470927672237e16,2.6888491931397467e9,2.4248451772976646e12,1.9418985881302235e10,1.3862680987038794e10,2.7728517016955215e10,2.416038201961646e16,2.654613902477272e9,1.3446831428269856e9,5.252807055137108e9,4.026421158263623e11,1.202248721091909e10
-45.0,1.0325705109941798,0.6094120393525757,8.42699251283324e16,1.7654549314385638e16,6.5806384532714776e16,2.772925575058197e9,2.421848895494018e12,1.9172559265288944e10,1.4117555888846964e10,2.8844143877556652e10,2.517121050351951e16,2.651203487093204e9,1.6957252648289158e9,3.2041682687479944e9,4.1403788859407666e11,1.2545036283301876e10
-30.0,1.0024646585324204,0.6023573045740338,8.219195950483976e16,1.721921551626393e16,6.418370117732937e16,3.263820893989812e9,2.436620323530036e12,1.8882126659540302e10,1.3294248045754482e10,2.757562850545087e10,2.4621493415657108e16,2.6214323683821487e9,1.1102332769724457e9,2.7051847667047324e9,4.265062810451866e11,1.2939143963855597e10
-15.0,1.0023844543173934,0.6005462453125914,8.218645766687094e16,1.7218062881209462e16,6.417940479205952e16,3.5764654524093657e9,2.451104842896399e12,1.879517734232492e10,1.435752918969483e10,2.761775853761311e10,2.455713950251669e16,2.616537731995825e9,1.0505597344180036e9,2.5326789198822694e9,4.303125931650715e11,1.3156389982301893e10
0.0,1.0027516760620216,0.6051341407816745,8.216393435532648e16,1.7213344247440896e16,6.416181633807445e16,4.0660423998294706e9,2.4447345889268584e12,1.8692831446720547e10,1.2660250313424343e10,2.69371624892913e10,2.4659850907264284e16,2.59109518666538e9,1.1745570719681814e9,3.1667336321575155e9,4.3811248428638196e11,1.308217887792864e10
