species,τ_seconds,τ_minutes,τ_hours,τ_days,τ_weeks,τ_years
SA,Inf,Inf,Inf,Inf,Inf,Inf
H2,1.1268824113753787e12,1.8781373522922977e10,3.130228920487163e8,1.3042620502029845e7,1.863231500289978e6,35733.20685487629
CH4,4.226908594285004e10,7.044847657141672e8,1.1741412761902787e7,489225.53174594947,69889.36167799278,1340.3439225916425
CO,3.3668481385003864e10,5.611413564167311e8,9.352355940278852e6,389681.4975116188,55668.78535880269,1067.6205411277228
SO2,8.539909784677208e9,1.4233182974462014e8,2.3721971624103356e6,98841.54843376398,14120.221204823425,270.79876283223007
CH3OH,8.485208007246838e9,1.4142013345411396e8,2.3570022242352325e6,98208.42600980135,14029.775144257335,269.06418084877083
CH3NO3,2.2607779325813176e6,37679.63220968863,627.9938701614772,26.166411256728214,3.7380587509611733,0.07168879796363894
CH3OOH,2.0139572088175567e6,33565.953480292614,559.4325580048769,23.30968991686987,3.3299557024099817,0.06386216415580787
HNO3,137890.71410329366,2298.1785683882276,38.302976139803796,1.5959573391584916,0.22799390559407023,0.004372485860708196
HCHO,128163.55203529076,2136.0592005881795,35.60098667646966,1.4833744448529025,0.21191063497898607,0.004064039574939459
H2O2,58168.82067181819,969.4803445303031,16.158005742171717,0.6732502392571549,0.09617860560816498,0.00184452120344426
NO2,4163.388351189181,69.38980585315302,1.156496764219217,0.04818736517580071,0.006883909310828673,0.00013202017856383757
HONO,2834.024977400368,47.23374962333946,0.787229160388991,0.03280121501620796,0.00468588785945828,8.98663425101588e-5
O3,1044.99981774296,17.41666362904933,0.2902777271508222,0.012094905297950924,0.0017278436139929892,3.313672684370116e-5
NO,603.3664182950538,10.05610697158423,0.16760178285973718,0.006983407619155716,0.000997629659879388,1.913262361412525e-5
N2O5,23.18840701948237,0.38647345032470615,0.0064412241720784354,0.00026838434050326814,3.834062007189545e-5,7.352995630226525e-7
HO2NO2,16.97524157405141,0.2829206929008568,0.004715344881680947,0.0001964727034033728,2.8067529057624686e-5,5.382813791873227e-7
HO2,3.8343580371688266,0.06390596728614711,0.0010650994547691185,4.437914394871327e-5,6.339877706959039e-6,1.2158669574989936e-7
CH3O2,1.3890190418175616,0.02315031736362603,0.00038583862272710046,1.6076609280295853e-5,2.2966584686136932e-6,4.404550487752288e-8
CH3O2NO2,0.6992992122346327,0.01165498687057721,0.00019424978117628684,8.093740882345284e-6,1.1562486974778979e-6,2.2174632554370643e-8
OH,0.25603047036660587,0.004267174506110098,7.111957510183496e-5,2.9633156292431234e-6,4.2333080417758906e-7,8.118672956830474e-9
O,1.442619190089623e-5,2.4043653168160383e-7,4.0072755280267304e-9,1.6696981366778043e-10,2.3852830523968634e-11,4.574515442952888e-13
O1D,1.1636775485108666e-9,1.9394625808514443e-11,3.2324376347524074e-13,1.3468490144801697e-14,1.924070020685957e-15,3.6899972999456705e-17
