O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,t
1.4619387610399235e-5,1010.621126071565,1772.9129764629158,12153.03050919602,1.3172182971245778,1.159602395714622e-9,21.456409453540196,0.27192869176276574,3.585476896255592,5.9723223173821984e13,1.784384199803077e12,134360.5581707726,3215.7815635511784,161785.55077049212,15.726427627622284,4.5260365092573865e11,0.002112166439583485,4.6424313104292986e-7,Inf,Inf,0.20103234861040933,2.238640296444339e12,1.3926984802105287,1.057181490840357e8,5.593068804801784e6,3.4208309825792112e6,0.0001035565637854737,0.6508011747988895,4.497045559547368e11,-180.0
1.4610237283389207e-5,995.7898260221039,770.5226609084154,7006.056209409388,1.2918104177073082,1.1591763203192817e-9,21.55776137313335,0.2803317208657317,3.5424922311756246,5.803027958942968e7,1.7321221827711517e6,84920.24907697171,3065.2616842365137,152113.74151533554,15.79837367987879,443279.8529298753,0.002108017728135293,4.642431698265876e-7,Inf,Inf,0.20261956122224398,6.1098920538149424e7,1.4520766723875438,39046.3593905472,45722.84513147225,2.837181546131223e6,0.00010359051965742046,0.6536665818982579,436622.0125620468,-165.0
1.461812824713287e-5,1017.2930481195285,573.3660313228552,4992.15323514889,1.3482586992063694,1.1583649730699298e-9,21.440147836656415,0.279606508972791,3.6745784308114273,3.1754721454596106e7,948866.7910867874,65132.05486077104,2951.259637912993,144966.9393500891,15.710322985263701,242870.76068435088,0.002090561271839037,4.641998924711506e-7,Inf,Inf,0.20267921695470867,3.344084783303317e7,1.471852948716027,21394.874666609427,25141.227920496174,2.486619739460401e6,0.00010354156310690292,0.6503245373507144,239135.9781160063,-150.0
1.4600537134651968e-5,1049.0478691012268,587.6527850463877,4651.370813889972,1.4312168047274718,1.1581689906500122e-9,21.481412215960358,0.28048795383511427,3.867245144732964,3.1157381383644145e7,930476.815109175,64482.9252125323,2946.505037711516,144669.9633457554,15.737803084393407,238145.0412007871,0.0020975173633152916,4.6398217663557055e-7,Inf,Inf,0.2027943835766211,3.2809300259258207e7,1.4841469526092315,20983.60066138953,24660.223952331704,2.473509273388995e6,0.00010350736713785763,0.6514064196787691,234561.37714569725,-135.0
1.4553097502458462e-5,1050.5453778956232,573.1187650576278,4423.964301074446,1.4292415358824868,1.1563937718334196e-9,21.896830082259218,0.2786100944508387,3.853143380150558,2.9535719947782252e7,878455.7895933759,62577.195675678515,2931.9342989569996,143748.22582227344,16.038765613702818,224697.74453471604,0.0020867604631785055,4.63820439197625e-7,Inf,Inf,NaN,3.1078953759658895e7,1.466824307214207,19810.699680107657,23289.572974532817,2.434895361031113e6,0.000103609617463662,0.6630791518938292,221659.01078515206,-120.0
1.4535218292692015e-5,1080.7565873828369,582.1267799573715,4322.568112101562,1.513177003133002,1.1557085544550807e-9,21.932933075977672,0.277696252095745,4.0459404752382895,3.023069446367849e7,898643.432166894,63344.9409997382,2937.7999275706625,144109.91410903298,16.062414865819036,229845.10651684678,0.0020851069892728748,4.6358868131435623e-7,Inf,Inf,0.20208732055467857,3.1808153968863472e7,1.4805351776991913,20269.3294800647,23826.7510266683,2.450996566641503e6,0.00010357027356168767,0.6640063375387225,226810.9466903127,-105.0
1.4509942680789912e-5,1093.0843438395566,623.9206485832401,4393.654013916244,1.5415958140328463,1.1550268160058023e-9,22.149669219438966,0.27579592683265336,4.098870110180107,3.2249615519019313e7,956638.6327404057,65453.061930458614,2953.264395126709,145060.82784525136,16.2195811312567,244603.8796275321,0.002084436264936904,4.6348975780095986e-7,Inf,Inf,NaN,3.391969497324563e7,1.4597261133882196,21577.460791282076,25359.079014173527,2.494508487058842e6,0.0001036192655041119,0.6700828974000076,241569.9715822813,-90.0
1.4509599167496774e-5,1078.9712352443748,677.9278119242491,4547.385233778744,1.4952588361350332,1.1548239144649292e-9,22.092105607515556,0.27665525309734024,3.9821764094775403,3.359124726238491e7,996898.155089242,66837.35613025342,2963.0561143302184,145672.70980449105,16.176719054072834,254915.8410231463,0.002082196449745819,4.6340497231908596e-7,Inf,Inf,NaN,3.533426281420486e7,1.4259683496979842,22487.21236102338,26423.108960643298,2.5219808387133987e6,0.000103581762890986,0.668424969023067,251725.08333637565,-75.0
1.449567128096367e-5,1074.4706973077755,754.8964943646038,4825.33076297547,1.4721921052314086,1.1539882082303614e-9,22.2372074737306,0.2698760264158809,3.911635624446743,3.751509413744761e7,1.1118284271119258e6,70505.9901057234,2987.3098523320705,147181.70355730812,16.28271316106811,284248.04500341945,0.0020729400306995216,4.6338469232294877e-7,Inf,Inf,NaN,3.945188082511356e7,1.3821664284940456,25078.432650817736,29453.528791035296,2.5927721079736766e6,0.00010362445974653432,0.672509752855059,280829.74980098015,-60.0
1.4540947452107022e-5,1061.4947807778794,1062.2980427474633,5550.9273575099605,1.4295435445735678,1.1503911825135433e-9,21.77769215521925,0.2628433754911628,3.7986612958882744,4.865230613720109e7,1.4482087399127465e6,79235.08902166574,3037.470097160516,150349.70232074242,15.949198356869317,370481.78132103855,0.001991632437762539,4.6346267642926096e-7,Inf,Inf,0.20091986154726124,5.120476493449771e7,1.3332801739583915,32665.940438458794,38302.39236527239,2.7461895205061333e6,0.00010349128106794586,0.6595735148417047,365441.9876029744,-45.0
1.4403183965635552e-5,1012.3149668179273,1334.9955834645368,6271.860192889268,1.283308983981371,1.1497488620016693e-9,23.517995995384634,0.2558000610929387,3.437890068049707,5.815215768644777e7,1.7040332786479744e6,84494.47625279441,3062.803704167118,151907.81162086813,17.221605419871075,434928.51720609714,0.0020303765859301056,NaN,Inf,Inf,NaN,6.102443350036582e7,1.2563115554204578,38410.15570008661,45003.53815435928,2.8332705399456494e6,0.00010408261477754026,0.7086728555840083,431368.87884760805,-30.0
1.4399124429709994e-5,967.396046634066,1547.264121098752,6862.064794706414,1.1737997928453692,1.150065281642072e-9,23.618025714984554,0.2530990175451699,3.1707563950343842,6.612638909246534e7,1.9361160717722222e6,88430.28241030753,3080.3553238788504,153024.7189733663,17.295765307799336,494104.050010686,0.002036536257658756,NaN,Inf,Inf,0.2004877997412734,6.93813839399609e7,1.2053653461548004,43635.89783922871,51074.008089827366,2.892976771072229e6,0.0001041278028421137,0.7115123856668967,490183.99025598034,-15.0
1.442851581623261e-5,913.4943522113186,1496.4855486207953,7080.821099828687,1.0604485653878797,1.1502265960606103e-9,23.23772902125626,0.2504082228727114,2.8972114009276972,6.4901814519100726e7,1.9065818837763378e6,87952.33036953941,3078.3777130018443,152906.89158786694,17.017775051613683,486802.0578182303,0.002028343434210533,4.636633955857192e-7,Inf,Inf,0.20054264144161765,6.813857545642877e7,1.167624339842484,42975.98787074576,50304.11855274226,2.885432211075417e6,0.00010400410256628149,0.7008064273641266,482379.2118562021,0.0
1.4345046775874722e-5,883.7309426321598,1255.4485419931364,6902.125025952151,0.9979307781351691,1.1486515029719109e-9,24.243830410703215,0.2534266106511693,2.7441076505465585,5.7914303922791675e7,1.6864682197974022e6,84193.96288645483,3061.228890114653,151789.8187772092,17.75141400269861,430053.8307389133,0.002033822957129129,4.6362585179245095e-7,Inf,Inf,NaN,6.07045802938564e7,1.1523858903909914,38006.876652610554,44541.4800424344,2.829543807986771e6,0.00010430301741350452,0.7290607915324707,427482.8683699562,15.0
1.4314474752543404e-5,858.3996552811109,1226.0084999661874,6934.5404328722525,0.9493386111799433,1.1482689554477915e-9,24.626789525124256,0.2525483895911229,2.6251312104687443,5.655509449518404e7,1.6415616179485412e6,83355.87821814348,3057.1800671906385,151522.41867712603,18.030766363687242,418406.29309302557,0.002039282114159306,4.6361457441029914e-7,Inf,Inf,NaN,5.924452872201083e7,1.1410309667566407,36991.76450162458,43364.09862407838,2.816930477507058e6,0.00010441437123802073,0.7397986132194644,416385.42418372113,30.0
