t,w_ap,K298CH3O2,K14ISOM1,KRO2HO2,KRO2NO3,KROPRIM,KRO2NO,KAPHO2,KNO3AL,KROSEC,KCH3O2,KAPNO,KBPAN,KFPAN,KMT01,KMT02,KMT03,KMT04,KMT05,KMT06,KMT07,KMT08,KMT09,KMT10,KMT11,KMT12,KMT13,KMT14,KMT15,KMT16,KMT17,KMT18,KPPN0,KPPNI,KRPPN,FCPPN,NCPPN,KBPPN,KDEC,K100,K10I,KR10,FC10,NC10,K120,K12I,KR12,FC12,NC12,K130,K13I,KR13,FC13,NC13,K140,K14I,KR14,FC14,NC14,K150,K15I,KR15,FC15,NC15,K160,K16I,KR16,FC16,NC16,K170,K17I,KR17,FC17,NC17,FPPN,KD0,KDI,KRD,FCD,NCD,KC0,KCI,KRC,FCC,K10,K1I,KR1,FC1,NC1,K20,K2I,KR2,FC2,NC2,K30,K3I,KR3,FC3,NC3,K40,K4I,KR4,FC4,NC4,K70,K7I,KR7,FC7,NC7,K80,K8I,KR8,FC8,NC8,K90,K9I,KR9,FC9,NC9,F10,F12,F13,F14,F15,F16,F17,FD,NC,FC,F1,F2,F3,F4,F7,F8,F9,K1,K3,K4,K2
-180.0,false,3.5e-13,0.5775427648573758,2.2718686716554254e-11,2.3e-12,9.145585056903698e-15,9.024808240208464e-12,1.3888323616410758e-11,2.7441714368740128e-15,9.145585056903698e-15,3.5009850150077507e-13,1.9825865780082873e-11,0.00045197004182541645,8.919902545395464e-12,2.1957967173307317e-12,2.0430974515542104e-12,1.235274934503795e-12,0.04620612029078356,2.2596750248327528e-13,1.8808347345790342,9.588102514648361e-12,9.740765018431309e-12,7.378629554739435e-13,0.06358723185915875,1.5376992062397648e-13,8.828397575647903e-13,5.798827465541671e-12,1.5365676011710023,7.81682666870742e-12,2.8513962189182652e-11,7.55143309427109e-13,2.118280620459493e-12,1.5416480557038368,0.00042243484959464996,3649.4338882862885,0.36,1.3134958240255452,0.00015203488599924356,1.0e6,0.30722040505438486,0.32907345937822813,0.9335921700731084,0.4,1.2553838110134876,6.064281162489577e-12,2.0e-12,3.032140581244789,0.53,1.1001696456069978,6.163371121230693e-11,1.8e-11,3.424095067350385,0.36,1.3134958240255452,16.843795488295566,4.661749572717202,3.6131918340001676,0.36,1.3134958240255452,2.0919504336843936e-9,9.042856972851368e-12,231.33733508833387,0.48,1.1548236285330042,1.9503556879062619e-7,3.0168137084014914e-11,6464.952351796658,0.5,1.1323080944932562,1.205422690754246e-10,1.0e-12,120.5422690754246,0.37496782685094787,1.2910276126259719,0.8849009684157714,0.5208681846445118,0.0005656051727164115,920.9042098093922,0.3,1.4140560065060288,8.148496256890782e-9,1.1319692270226898e-11,719.8513936922994,0.3,2.412193160857588e-12,5.008390415497759e-11,0.04816304163096782,0.85,0.8396379643428482,3.134098995961039e-12,2.296916983039385e-11,0.1364480744886938,0.6,1.0317479120127726,8.80608104042166e-11,1.897877396052255e-12,46.399630759811195,0.35,1.32903358367515,3.0731820296455497,0.07189342459967352,42.74635749733788,0.35,1.32903358367515,1.7930218915326106e-11,3.305537674228521e-11,0.5424297249769158,0.81,0.8662240260241147,7.845146367379244e-11,3.0e-11,2.6150487891264147,0.41,1.241764501965936,3.4055007059978494e-12,4.0e-12,0.8513751764994624,0.4,1.2553838110134876,0.40020705531498624,0.5870001600901895,0.41624240179773847,0.42083633199161946,0.8681566483658361,0.9453143445548161,0.7614078613989538,0.7999587929352115,1.4140560065060288,0.7890933466417609,0.9541329456478608,0.7408426370078846,0.6648993520905212,0.6577382782102077,0.8248072371318604,0.4488551154566723,0.4011337178750388,1.121661031929534e-13,5.706308544606383e-32,4.291249667139303e-14,4.160381743102309e-14
-165.0,false,3.5e-13,0.576206626956892,2.2731597246348096e-11,2.3e-12,9.144386114286584e-15,9.026228176191513e-12,1.3894272877422678e-11,2.7419417606266764e-15,9.144386114286584e-15,3.501543500469511e-13,1.9828378544642694e-11,0.0004492398122229922,8.921660778789586e-12,2.196524518688427e-12,2.043606257619397e-12,1.235374257061126e-12,0.045987005714158403,2.2597931736569176e-13,1.8834172066695545,9.590858571889276e-12,9.743939117246536e-12,7.380673008905297e-13,0.06328939211398231,1.5383217478307133e-13,8.830114388526782e-13,5.800966874834325e-12,1.5298319169017092,7.817851020887293e-12,2.8517839596389927e-11,7.552032974130631e-13,2.123182331177174e-12,1.5342883178974591,0.0004198692170801393,3654.20529889576,0.36,1.3134958240255452,0.00015111156536404364,1.0e6,0.30583794389101726,0.3274710237596715,0.9339389494060073,0.4,1.2553838110134876,6.067211395540333e-12,2.0e-12,3.0336056977701666,0.53,1.1001696456069978,6.168680909217816e-11,1.8e-11,3.4270449495654534,0.36,1.3134958240255452,16.775036282201903,4.640285839648615,3.615086842036479,0.36,1.3134958240255452,2.093097683132368e-9,9.043859066884493e-12,231.43855600277686,0.48,1.1548236285330042,1.951527046581706e-7,3.017207019886002e-11,6467.9918670461,0.5,1.1323080944932562,1.2058322154344234e-10,1.0e-12,120.58322154344233,0.37500880342141873,1.2909673419718404,0.884931309821503,0.518648975735181,0.0005621306972016506,922.6483775340389,0.3,1.4140560065060288,8.156972946000463e-9,1.1321323022550414e-11,720.4964410743311,0.3,2.4130441254652398e-12,5.008586294439641e-11,0.04817814815617968,0.85,0.8396379643428482,3.1351637601295e-12,2.2968451193395105e-11,0.13649870135915215,0.6,1.0317479120127726,8.812059101656896e-11,1.8978279134747397e-12,46.43234004037208,0.35,1.32903358367515,3.0602811263916063,0.0715452180919211,42.774083411972626,0.35,1.32903358367515,1.7938415002362674e-11,3.305666954330163e-11,0.5426564517900015,0.81,0.8662240260241147,7.850881472591628e-11,3.0e-11,2.616960490863876,0.41,1.241764501965936,3.4073683213782734e-12,4.0e-12,0.8518420803445683,0.4,1.2553838110134876,0.40020482395433316,0.5870439875509228,0.4163149542628578,0.4208817812043374,0.8681725735898008,0.9453195780089736,0.7614662193000934,0.8000394160526187,1.4140560065060288,0.789134222092192,0.9541263576912759,0.7408084666613864,0.6649602682195771,0.6577954576258217,0.8247885809410543,0.44891064698279876,0.4011260177950347,1.121886537479632e-13,5.70963864500464e-32,4.2953755018353576e-14,4.164352103510814e-14
-150.0,false,3.5e-13,0.5777539018957273,2.2716649992731837e-11,2.3e-12,9.145774274829068e-15,9.024584182377024e-12,1.3887385004062637e-11,2.7445234647654705e-15,9.145774274829068e-15,3.5008968892861296e-13,1.98254692730885e-11,0.000452404696869776,8.919674279906563e-12,2.195872471924372e-12,2.0431609317949524e-12,1.235276641442663e-12,0.0462414694347532,2.2597327187517064e-13,1.8898028190091432,9.588198171211166e-12,9.740668600648623e-12,7.378654165022901e-13,0.06363733713951658,1.5376021837568267e-13,8.828457603199024e-13,5.798721205635654e-12,1.5376937860499467,7.816698676439054e-12,2.8513381989942205e-11,7.551401974191784e-13,2.1176949624679904e-12,1.5429563943349442,0.00042284115848293,3649.0213012157215,0.36,1.3134958240255452,0.00015218111241585634,1.0e6,0.30746777241852924,0.3293270530150937,0.9336244004358712,0.4,1.2553838110134876,6.064383594316997e-12,2.0e-12,3.0321917971584984,0.53,1.1001696456069978,6.163107492422605e-11,1.8e-11,3.423948606901447,0.36,1.3134958240255452,16.85624173721536,4.66514579450645,3.613229356532612,0.36,1.3134958240255452,2.0919642484538964e-9,9.04269883191345e-12,231.34290849883735,0.48,1.1548236285330042,1.950352516752004e-7,3.016751640430945e-11,6465.074852742585,0.5,1.1323080944932562,1.2054703330328554e-10,1.0e-12,120.54703330328555,0.3749613601156523,1.2910371248672066,0.8848983423869717,0.5212678043912647,0.000566155433664245,920.7150075687509,0.3,1.4140560065060288,8.147918051298559e-9,1.1319434925376618e-11,719.8166785721826,0.3,2.412283535591559e-12,5.0083595024652675e-11,0.04816514338485804,0.85,0.8396379643428482,3.134222865885424e-12,2.2969283248171415e-11,0.13645279358618817,0.6,1.0317479120127726,8.805958016157464e-11,1.897885205540269e-12,46.39879161527413,0.35,1.32903358367515,3.0755092556652435,0.07194852923435074,42.74596421071645,0.35,1.32903358367515,1.7930595556290013e-11,3.305517271627077e-11,0.5424444673212682,0.81,0.8662240260241147,7.844972205773642e-11,3.0e-11,2.614990735257881,0.41,1.241764501965936,3.4055231951575062e-12,4.0e-12,0.8513807987893766,0.4,1.2553838110134876,0.40020684738378,0.5870016923490791,0.41623879886926834,0.42083723203267676,0.868157525485975,0.9453145555391513,0.761404475989347,0.7999500354456417,1.4140560065060288,0.7890911454814267,0.9541320290216408,0.7408394514499772,0.664897788605463,0.6577374668007938,0.8248060235554486,0.4488534289598492,0.4011336249729713,1.1216254493350628e-13,5.705783203287353e-32,4.290598936707164e-14,4.1597673442176395e-14
-135.0,false,3.5e-13,0.5771874659719882,2.2722116184920637e-11,2.3e-12,9.145266495883805e-15,9.025185479577002e-12,1.38899040201958e-11,2.7435788599465355e-15,9.145266495883805e-15,3.5011333896784544e-13,1.9826533362547246e-11,0.000451256828428957,8.920666717832048e-12,2.1971412010541443e-12,2.0441008542646038e-12,1.235406274799972e-12,0.04615187424116443,2.2601674542239698e-13,1.8872130920739254,9.592038599767679e-12,9.744050672982534e-12,7.381268322121586e-13,0.06352589535147084,1.537871701785268e-13,8.830852057454352e-13,5.800792841153236e-12,1.5351399215456527,7.817302043990842e-12,2.8515183687180772e-11,7.551976192190307e-13,2.120711672277514e-12,1.5405552099005733,0.00042175166424891357,3652.754311341266,0.36,1.3134958240255452,0.00015178904444744038,1.0e6,0.3070250799251797,0.3286469467621947,0.9342094394911256,0.4,1.2553838110134876,6.0684708465941105e-12,2.0e-12,3.0342354232970554,0.53,1.1001696456069978,6.168248836831873e-11,1.8e-11,3.4268049093510404,0.36,1.3134958240255452,16.83496291565091,4.656037232221541,3.615727726390715,0.36,1.3134958240255452,2.0934319740990817e-9,9.043123219975204e-12,231.49435467991134,0.48,1.1548236285330042,1.9517639914565014e-7,3.016918206877904e-11,6469.396442392481,0.5,1.1323080944932562,1.2062095321475994e-10,1.0e-12,120.62095321475994,0.37497871416396084,1.2910115983086128,0.884922088362871,0.5205702688040463,0.0005646799538462347,921.8855127727808,0.3,1.4140560065060288,8.155332003600708e-9,1.1320125540760497e-11,720.4276996960606,0.3,2.413776084254195e-12,5.0084424600924864e-11,0.048194146253796075,0.85,0.8396379643428482,3.136144783583759e-12,2.2968978885222885e-11,0.1365382762226927,0.6,1.0317479120127726,8.812622843050984e-11,1.897864248327951e-12,46.43442148623141,0.35,1.32903358367515,3.071475692244259,0.07180074502267084,42.77776910635748,0.35,1.32903358367515,1.7942482226759684e-11,3.305572023661041e-11,0.5427950774730884,0.81,0.8662240260241147,7.85108309513841e-11,3.0e-11,2.61702769837947,0.41,1.241764501965936,3.4079125159752495e-12,4.0e-12,0.8519781289938124,0.4,1.2553838110134876,0.4002030924342846,0.5870628217332994,0.4163090515092565,0.42089714929993177,0.8681813483993255,0.945321995340309,0.7614585349147841,0.8000041770607542,1.4140560065060288,0.7891298683069377,0.9541193818520975,0.7407817628484752,0.6649641427898548,0.6578030552079881,0.824777182311077,0.4489125990834975,0.40112377981311154,1.1217209418179657e-13,5.707193125643122e-32,4.2923454686765806e-14,4.161507599673023e-14
-120.0,false,3.5e-13,0.571763786115239,2.277479607762281e-11,2.3e-12,9.140380519354796e-15,9.030975068032406e-12,1.3914173152584004e-11,2.734503561640809e-15,9.140380519354796e-15,3.5034105442587374e-13,1.98367782398201e-11,0.0004402563056152129,8.928017566760975e-12,2.2008262487840387e-12,2.0467152264220685e-12,1.23587576667985e-12,0.04526871077883546,2.2609358946176416e-13,1.8952882728518996,9.605267044564484e-12,9.758509180666404e-12,7.390904444273825e-13,0.06233263788262287,1.5404169052466493e-13,8.839090065085322e-13,5.8103828860206e-12,1.50811558038567,7.821603334463094e-12,2.8531107524305704e-11,7.554657765315611e-13,2.141488084326414e-12,1.5113234394535697,0.0004114076687787559,3673.542216507197,0.36,1.3134958240255452,0.00014806645458014417,1.0e6,0.30153754304197666,0.32217225640735375,0.9359513025873755,0.4,1.2553838110134876,6.082552591089728e-12,2.0e-12,3.041276295544864,0.53,1.1001696456069978,6.192094782161154e-11,1.8e-11,3.440052656756197,0.36,1.3134958240255452,16.562366434492162,4.56927079044696,3.624728582319818,0.36,1.3134958240255452,2.098847184774676e-9,9.047207813434109e-12,231.98839112086256,0.48,1.1548236285330042,1.9572286214889176e-7,3.018521423862641e-11,6484.064038824533,0.5,1.1323080944932562,1.2083021816593772e-10,1.0e-12,120.83021816593772,0.3751457206883101,1.2907660040780027,0.8850537556674734,0.5117671398620987,0.0005506734871421096,929.3477020622012,0.3,1.4140560065060288,8.192820716176501e-9,1.1326772980434283e-11,723.3146396002348,0.3,2.4180921995801015e-12,5.00924077079874e-11,0.048272628732009,0.85,0.8396379643428482,3.141585672314381e-12,2.2966050429620776e-11,0.1367925966174174,0.6,1.0317479120127726,8.84011422231091e-11,1.8976626042514374e-12,46.584225259568896,0.35,1.32903358367515,3.020309116833092,0.07039374030987107,42.90593316305945,0.35,1.32903358367515,1.7982206562047806e-11,3.3060989087271686e-11,0.5439101206131448,0.81,0.8662240260241147,7.877248700481922e-11,3.0e-11,2.625749566827307,0.41,1.241764501965936,3.416727975214589e-12,4.0e-12,0.8541819938036472,0.4,1.2553838110134876,0.4001921295941985,0.5872732642960303,0.4166345457787452,0.4211128438461763,0.8682589137988005,0.9453471983919618,0.7617180682843913,0.8003472875532346,1.4140560065060288,0.7893122588957341,0.9540851740871873,0.7406103030342299,0.6652424323445364,0.6580667451407939,0.8246857219732783,0.4491658417807335,0.4010878840196574,1.122640481345743e-13,5.720781582244149e-32,4.309192391229149e-14,4.177764239009063e-14
-105.0,false,3.5e-13,0.5712791675119804,2.277953341916583e-11,2.3e-12,9.139941820206442e-15,9.031495233280514e-12,1.391635492380619e-11,2.7336899474716042e-15,9.139941820206442e-15,3.503615136076374e-13,1.9837698627706436e-11,0.00043929265461678134,8.92892502616897e-12,2.2021186287129613e-12,2.04767442931095e-12,1.2360052110139345e-12,0.045193537195226424,2.2613896634086562e-13,1.896313655943345,9.609127586070687e-12,9.761844872389722e-12,7.393519060075604e-13,0.06224120698250472,1.5406518165967815e-13,8.841495152180427e-13,5.8124092814407395e-12,1.5060097222967896,7.822158819253995e-12,2.853269705029786e-11,7.55521773534928e-13,2.1443145752197174e-12,1.509432311573384,0.0004104911473238359,3677.1373059175744,0.36,1.3134958240255452,0.00014773663595760159,1.0e6,0.30119058384923586,0.32159702181844063,0.9365465580066057,0.4,1.2553838110134876,6.086669537319237e-12,2.0e-12,3.043334768659619,0.53,1.1001696456069978,6.197143085095481e-11,1.8e-11,3.4428572694974897,0.36,1.3134958240255452,16.545850303008983,4.561557571111785,3.6272369788322707,0.36,1.3134958240255452,2.100317872590118e-9,9.047574649365371e-12,232.14153560340523,0.48,1.1548236285330042,1.9586374468592576e-7,3.018665414479532e-11,6488.421795487259,0.5,1.1323080944932562,1.209056572634718e-10,1.0e-12,120.90565726347181,0.37516071767713005,1.2907439553559605,0.8850764295927723,0.5112232661934693,0.0005494326488058919,930.4566579808009,0.3,1.4140560065060288,8.20003603525094e-9,1.132737002876925e-11,723.9134957562516,0.3,2.4196134522720588e-12,5.009312455394477e-11,0.04830230643062407,0.85,0.8396379643428482,3.1435470888502667e-12,2.2965787509004614e-11,0.136879568689631,0.6,1.0317479120127726,8.846730588001422e-11,1.8976445001699838e-12,46.61953588888206,0.35,1.32903358367515,3.01716860831688,0.07026872976509038,42.93757149735492,0.35,1.32903358367515,1.7994206061402236e-11,3.306146220560355e-11,0.5442652823247611,0.81,0.8662240260241147,7.883294827118046e-11,3.0e-11,2.627764942372682,0.41,1.241764501965936,3.4191221181699593e-12,4.0e-12,0.8547805295424898,0.4,1.2553838110134876,0.40018845744686454,0.5873347408883913,0.41670338210281604,0.4211729073981361,0.8682829121506452,0.9453546720407574,0.7617706273159263,0.8003979767814577,1.4140560065060288,0.7893499767855043,0.9540722446165656,0.7405517258732256,0.6653078662138845,0.6581316888489519,0.8246566741517986,0.44922433294153985,0.40107825118482204,1.1227231053415254e-13,5.722003592064185e-32,4.310708705404226e-14,4.1792871125525616e-14
-90.0,false,3.5e-13,0.5685151415908727,2.2806648888948962e-11,2.3e-12,9.137432964533682e-15,9.034471037127835e-12,1.3928840739777308e-11,2.729040907801036e-15,9.137432964533682e-15,3.5047855848072523e-13,1.9842963859786034e-11,0.0004337589210831793,8.932719038634444e-12,2.204085053221599e-12,2.0490716114372466e-12,1.236252357701521e-12,0.04474740107822383,2.2618131114807777e-13,1.8984089533199366,9.61612317916157e-12,9.769424834608091e-12,7.398601769905226e-13,0.061638900198166834,1.5419628601271862e-13,8.845848574150109e-13,5.817422865911399e-12,1.4923526684237212,7.824380578618094e-12,2.8540889013703192e-11,7.556617100683287e-13,2.1551450083801564e-12,1.494701683932059,0.00040528795273259957,3687.9992949561756,0.36,1.3134958240255452,0.00014586411196967542,1.0e6,0.29842324554314836,0.31832649232822674,0.9374753680112928,0.4,1.2553838110134876,6.0941282326009976e-12,2.0e-12,3.047064116300499,0.53,1.1001696456069978,6.209647728292175e-11,1.8e-11,3.449804293495653,0.36,1.3134958240255452,16.408235380573167,4.51768925438045,3.6319973456924655,0.36,1.3134958240255452,2.1031784836851058e-9,9.049672817804291e-12,232.403814593973,0.48,1.1548236285330042,1.9615191172814154e-7,3.019489008365874e-11,6496.195587553987,0.5,1.1323080944932562,1.2101749692994233e-10,1.0e-12,121.01749692994234,0.3752464892767122,1.2906178700307693,0.8851447630964613,0.506781150657684,0.0005423888758574061,934.350192666777,0.3,1.4140560065060288,8.219653499082103e-9,1.1330785068189041e-11,725.4266539887532,0.3,2.421917701591143e-12,5.00972242913877e-11,0.04834434913008741,0.85,0.8396379643428482,3.1464549201785e-12,2.2964283961120248e-11,0.13701515472921408,0.6,1.0317479120127726,8.861196717375046e-11,1.897540968814225e-12,46.698315678066315,0.35,1.32903358367515,2.991344281249695,0.06955795243162088,43.005065225149394,0.35,1.32903358367515,1.801527350109512e-11,3.306416803231588e-11,0.5448579103362757,0.81,0.8662240260241147,7.897047219107686e-11,3.0e-11,2.6323490730358956,0.41,1.241764501965936,3.4237789269292416e-12,4.0e-12,0.8559447317323104,0.4,1.2553838110134876,0.4001828028774903,0.5874460624434773,0.41687378058290925,0.42128683789848687,0.8683239620655473,0.9453679881626987,0.7619059452346352,0.8005753368679155,1.4140560065060288,0.7894451028843834,0.9540539338016791,0.7404604656460132,0.6654536299795494,0.6582700344610695,0.8246082946890992,0.449357338983877,0.4010596557224717,1.1231958128576088e-13,5.728998231055639e-32,4.3193919403566583e-14,4.187670472695774e-14
-75.0,false,3.5e-13,0.5692349207060252,2.2799571973669904e-11,2.3e-12,9.138087401115654e-15,9.033694623542535e-12,1.3925582396746201e-11,2.7302529729730053e-15,9.138087401115654e-15,3.5044802038484554e-13,1.9841590146612164e-11,0.00043520142175916554,8.931855191927223e-12,2.204061943223479e-12,2.0490762023913588e-12,1.236232357652449e-12,0.044865038007957374,2.2618987196124615e-13,1.8989031374671843,9.61565957288989e-12,9.768485090729945e-12,7.398166861769859e-13,0.06180286682042525,1.5416237029371128e-13,8.845561161353999e-13,5.816708408052663e-12,1.4960542264923837,7.82388713617596e-12,2.853883306529847e-11,7.556414665276515e-13,2.152800997999364e-12,1.498888270744798,0.00040663895434879933,3686.0420151953986,0.36,1.3134958240255452,0.00014635031964492832,1.0e6,0.29921410944748766,0.31917647816673383,0.9374566420623951,0.4,1.2553838110134876,6.093635545178624e-12,2.0e-12,3.046817772589312,0.53,1.1001696456069978,6.20786450398738e-11,1.8e-11,3.448813613326322,0.36,1.3134958240255452,16.447949547921166,4.529092654700504,3.631621342709939,0.36,1.3134958240255452,2.1029336267191144e-9,9.04912546199078e-12,232.39081340535145,0.48,1.1548236285330042,1.961234927871725e-7,3.0192741515839634e-11,6495.716617329457,0.5,1.1323080944932562,1.2101718538314754e-10,1.0e-12,121.01718538314753,0.3752241147107387,1.290650758144229,0.8851324687744629,0.5080574795257167,0.0005442176816377707,933.5556279552818,0.3,1.4140560065060288,8.216492012206144e-9,1.1329894153189592e-11,725.2046577940039,0.3,2.421894232551939e-12,5.009615483926082e-11,0.04834491270483455,0.85,0.8396379643428482,3.146446819961836e-12,2.296467615329507e-11,0.13701246205078185,0.6,1.0317479120127726,8.859534616255455e-11,1.8975679745063937e-12,46.68889196741449,0.35,1.32903358367515,2.9987754238681155,0.06974268179428592,42.997707382594626,0.35,1.32903358367515,1.801407340535816e-11,3.3063462193912146e-11,0.5448332452212166,0.81,0.8662240260241147,7.895341230542318e-11,3.0e-11,2.631780410180773,0.41,1.241764501965936,3.423380322566e-12,4.0e-12,0.8558450806415,0.4,1.2553838110134876,0.4001829159755752,0.587438711273367,0.4168494904145056,0.421277841659558,0.8683219287109114,0.9453671683061247,0.7618855504908939,0.8005392192608815,1.4140560065060288,0.7894311627739911,0.9540536883933114,0.7404622773312672,0.6654362097365709,0.6582549657676228,0.8246103059906235,0.44934084232378524,0.4010612401338255,1.1230724751083975e-13,5.727172666028885e-32,4.3171249983499614e-14,4.185512278287153e-14
-60.0,false,3.5e-13,0.56740403785412,2.281759526770971e-11,2.3e-12,9.13642119207494e-15,9.035671629351713e-12,1.3933880165406035e-11,2.7271679182457308e-15,9.13642119207494e-15,3.505257805500637e-13,1.9845088029556206e-11,0.000431549864683243,8.934323529425181e-12,2.2051675665470217e-12,2.0498529271189272e-12,1.2363781673912769e-12,0.04456967531473214,2.2620995772946473e-13,1.9041253023932576,9.619748141260982e-12,9.773094525452575e-12,7.401177999406309e-13,0.061401941477498945,1.5424940094634903e-13,8.848104400467585e-13,5.819795262526319e-12,1.4869672830090874,7.825327469621604e-12,2.854424113451036e-11,7.55727706181442e-13,2.159815543933594e-12,1.4890101148327395,0.00040320791570962216,3692.9089356099803,0.36,1.3134958240255452,0.00014511555392506407,1.0e6,0.2973560405410187,0.31701673027418886,0.9379821698489996,0.4,1.2553838110134876,6.0979965045873495e-12,2.0e-12,3.048998252293675,0.53,1.1001696456069978,6.215572024110912e-11,1.8e-11,3.4530955689505065,0.36,1.3134958240255452,16.355351635706864,4.500114244388706,3.634430316097135,0.36,1.3134958240255452,2.1046292503395173e-9,9.050519106845205e-12,232.54237966833495,0.48,1.1548236285330042,1.9629585466997132e-7,3.019821211671572e-11,6500.247561388411,0.5,1.1323080944932562,1.210796599199013e-10,1.0e-12,121.0796599199013,0.375281082192733,1.2905670261666247,0.8851755654323014,0.5050713531415776,0.0005395733360625074,936.0569164282557,0.3,1.4140560065060288,8.228735565856109e-9,1.133216257985242e-11,726.1399144136946,0.3,2.4231884249380077e-12,5.0098877732350066e-11,0.04836811790243548,0.85,0.8396379643428482,3.1480711579174337e-12,2.2963677636750398e-11,0.1370891547823922,0.6,1.0317479120127726,8.868284724948437e-11,1.8974992181887173e-12,46.736697648886384,0.35,1.32903358367515,2.981409517099234,0.0692732937172778,43.03836813746919,0.35,1.32903358367515,1.8026312134693262e-11,3.3065259303351046e-11,0.5451737719433629,0.81,0.8662240260241147,7.903711809274393e-11,3.0e-11,2.6345706030914644,0.41,1.241764501965936,3.4261406400875863e-12,4.0e-12,0.8565351600218966,0.4,1.2553838110134876,0.4001797560964289,0.5875037682729791,0.4169544556031783,0.4213450379371234,0.8683456236506266,0.945374920827641,0.7619692805852798,0.800652784937807,1.4140560065060288,0.7894898547337866,0.9540435847284713,0.740410688133183,0.665524535882386,0.6583381980974329,0.8245825551844256,0.4494217770157423,0.40105029608846027,1.1233865396119537e-13,5.731821995085971e-32,4.322899342394491e-14,4.1910746985153656e-14
-45.0,false,3.5e-13,0.5732653861656606,2.2760149024498647e-11,2.3e-12,9.141737613156317e-15,9.029366310635201e-12,1.390742678080582e-11,2.7370217222497593e-15,9.141737613156317e-15,3.502777787529234e-13,1.9833931616053924e-11,0.0004433060680177784,8.926434000143062e-12,2.2015831649468897e-12,2.0473312287218634e-12,1.235907359220535e-12,0.04551854788251011,2.2614354457543256e-13,1.9370299687482233,9.606543880941033e-12,9.758267056891775e-12,7.391467596680935e-13,0.06268919433152856,1.5397201682327694e-13,8.839888661092685e-13,5.8098775269970984e-12,1.516131223431548,7.820722143565091e-12,2.8526979177218268e-11,7.55450520694968e-13,2.1374549238826845e-12,1.520708268020653,0.00041425557776812803,3670.9421662195255,0.36,1.3134958240255452,0.00014909139406492103,1.0e6,0.303315414397143,0.32395806245595166,0.9362798755421763,0.4,1.2553838110134876,6.0839193105555345e-12,2.0e-12,3.0419596552777675,0.53,1.1001696456069978,6.190836318039067e-11,1.8e-11,3.439353510021704,0.36,1.3134958240255452,16.652105577084445,4.59321156424047,3.6253730846464998,0.36,1.3134958240255452,2.09916390199017e-9,9.046073119736434e-12,232.0525021415404,0.48,1.1548236285330042,1.9574084299039845e-7,3.018076039866922e-11,6485.616677803432,0.5,1.1323080944932562,1.2087698696369796e-10,1.0e-12,120.87698696369796,0.37509933024482245,1.2908342133498873,0.885037339649456,0.5146444345763083,0.0005545293487962732,928.0742952441673,0.3,1.4140560065060288,8.189499882100058e-9,1.1324926241716918e-11,723.1393571406154,0.3,2.418992456196881e-12,5.009019024726782e-11,0.04829273844350842,0.85,0.8396379643428482,3.142801661056147e-12,2.2966863779923766e-11,0.13684069758812228,0.6,1.0317479120127726,8.84014364141873e-11,1.8977186093789386e-12,46.583005497911095,0.35,1.32903358367515,3.037074235785096,0.07078182588042238,42.90754297460308,0.35,1.32903358367515,1.7986777897399634e-11,3.305952556319676e-11,0.5440724750576356,0.81,0.8662240260241147,7.876809976702328e-11,3.0e-11,2.6256033255674427,0.41,1.241764501965936,3.4172435613793465e-12,4.0e-12,0.8543108903448366,0.4,1.2553838110134876,0.40019009795248567,0.587293675366339,0.41661738200244286,0.42112827841440303,0.8682689628873632,0.945349861946656,0.7617002671493682,0.8002889860455912,1.4140560065060288,0.789301211487917,0.9540764126737987,0.7405779025431568,0.6652401709081454,0.6580700510194124,0.8246724383658984,0.44916159711718623,0.40108580538590793,1.122384951756275e-13,5.71700337932503e-32,4.3045055857543425e-14,4.173352164764943e-14
