I,J,V
1,1,-1
2,1,1
1,2,-1
2,2,1
1,3,-1
2,3,-1
1,4,-1
3,4,-1
4,4,1
1,5,-1
3,5,1
4,5,-1
1,6,-1
4,6,-1
5,6,1
1,7,1
6,7,-1
1,8,1
6,8,-1
2,9,-1
3,9,-1
4,9,1
2,10,-1
4,10,-1
5,10,1
3,11,-2
4,11,2
3,12,-1
4,12,2
5,12,-1
3,13,1
4,13,1
5,13,-1
4,14,-1
5,14,-1
7,14,1
6,15,-1
8,15,2
2,16,-1
8,16,-1
9,16,1
8,17,-1
9,17,1
10,17,-1
8,18,-1
9,18,1
11,18,-1
8,19,-1
9,19,1
12,19,-1
2,20,-1
8,20,1
9,20,-1
8,21,-1
9,21,-1
9,22,-2
12,22,1
9,23,-2
12,23,1
3,24,-1
8,24,-1
13,24,1
4,25,-1
8,25,-1
14,25,1
4,26,1
5,26,-1
8,26,-1
9,26,1
3,27,-1
4,27,1
8,27,1
9,27,-1
4,28,-1
9,28,-1
15,28,1
4,29,1
8,29,-1
15,29,-1
4,30,1
5,30,-1
8,30,1
9,30,-1
4,31,1
8,31,-1
13,31,-1
5,32,1
8,32,-1
14,32,-1
1,33,-1
16,33,-1
17,33,1
8,34,-1
16,34,-1
18,34,1
9,35,1
17,35,1
18,35,-1
14,36,-1
19,36,1
7,37,-1
19,37,2
17,38,-1
20,38,1
2,39,-1
6,39,1
1,40,1
2,40,-1
8,41,2
12,41,-1
1,42,1
3,42,1
4,42,-1
3,43,1
5,43,-1
1,44,1
4,44,1
5,44,-1
3,45,1
8,45,1
13,45,-1
4,46,1
8,46,1
14,46,-1
4,47,1
5,47,1
7,47,-1
4,48,1
9,48,1
15,48,-1
21,49,-1
22,49,-1
23,49,1
8,50,-1
22,50,-1
23,50,1
9,51,-1
23,51,-1
24,51,1
9,52,-1
23,52,-1
25,52,1
3,53,-1
23,53,-1
26,53,1
3,54,-1
4,54,1
23,54,-1
27,54,1
4,55,-1
23,55,-1
28,55,1
4,56,1
5,56,-1
23,56,-1
27,56,1
23,57,-1
27,57,1
23,58,-1
29,58,1
23,59,-1
25,59,1
8,60,1
24,60,-1
27,60,1
8,61,-1
23,61,1
24,61,-1
8,62,1
24,62,-1
25,62,1
9,63,2
11,63,1
25,63,-1
10,64,1
11,64,1
25,64,-1
5,65,-1
9,65,1
11,65,1
14,65,1
25,65,-1
8,66,-1
9,66,1
11,66,1
25,66,-1
4,67,1
26,67,-1
27,67,1
4,68,1
8,68,-1
25,68,1
26,68,-1
9,69,1
25,69,1
27,69,-1
4,70,1
23,70,1
28,70,-1
8,71,-1
9,71,1
25,71,1
29,71,-1
