t,w_ap,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30,k_31,k_32,k_33,k_34,k_35,k_36,k_37,k_38,k_39,k_40,k_41,k_42,k_43,k_44,k_45,k_46,k_47,k_48,k_49,k_50,k_51,k_52,k_53,k_54,k_55,k_56,k_57,k_58,k_59,k_60,k_61,k_62,k_63,k_64,k_65,k_66,k_67,k_68,k_69,k_70,k_71
-180.0,false,53129.44728201615,15271.69091375663,8.020858360571866e-15,2.1957967173307317e-12,1.0328705449490414e-11,2.0430974515542104e-12,2.006312327230648e8,5.773018413105543e8,1.7341241430833896e-14,3.5513754766323794e-17,9.767427104215173e-20,2.6025932202693843e-11,6.591021809204884e-16,1.235274934503795e-12,8.443147755368195e7,7.278349499381675e-14,6.751357674159423e-15,2.2596750248327528e-13,1.6961963446892271e-12,2.01951196471902e-15,1.1096388841617704e-10,3.0919349500558744e-12,2.2818086508463887e-12,9.588102514648361e-12,9.740765018431309e-12,2.0e-11,8.528541341704816e-12,7.378629554739435e-13,3.2331478414960346e-12,4.0e-12,5.976377959580878e-12,1.5376992062397648e-13,3.3483185879885635e-14,8.828397575647903e-13,2.1540437178973085e6,6.0e-6,0.0004,473.44753768419787,7.764050869846702e-15,5.286644499361255e-15,9.933272451966725e-17,4.592552081171806e-15,0.0,2.2077095588457538e-12,1.9243411007629194e-15,1.3156251525964412e-17,0.04620612029078356,0.06358723185915875,1.0337116357060843e-13,6.411127655407597e-15,4.7277556965563845e-12,4.635635468229873e-13,7.687799612029432e-15,7.680111812417402e-12,5.798827465541671e-12,1.2e-12,2.588186520809694e-13,2.2068917546029036e-13,2.2068917546029036e-13,4.384333494161323e-18,6.0120397929418255e-12,4.008026528627884e-12,2.7506973661126716e-17,2.5218354277955e-17,5.5e-16,8.490271765065607e-12,1.9936466409391166e-17,2.3547312061731142e-14,9656.558343048015,1.5365676011710023,8.966172029191155e-13
-165.0,false,53162.78102412169,15281.272466595537,8.013640861866713e-15,2.196524518688427e-12,1.0329554074254096e-11,2.043606257619397e-12,2.006660273070995e8,5.774178573424797e8,1.7331316641645886e-14,3.547544113722061e-17,9.771097879469709e-20,2.6027183335858075e-11,6.587393553819607e-16,1.235374257061126e-12,8.459764401084195e7,7.27536022569789e-14,6.745164614507483e-15,2.2597931736569176e-13,1.6960777473240312e-12,2.018920502800581e-15,1.1097601223724808e-10,3.096992266748756e-12,2.286249960725601e-12,9.590858571889276e-12,9.743939117246536e-12,2.0e-11,8.529547713053005e-12,7.380673008905297e-13,3.234122908034684e-12,4.0e-12,5.977057054052512e-12,1.5383217478307133e-13,3.347338069033501e-14,8.830114388526782e-13,2.1540435379448617e6,6.0e-6,0.0004,474.3793122103287,9.259572389477969e-15,5.4403375637420485e-15,1.2175542932858482e-16,4.696595726988704e-15,0.0,2.2041802906958016e-12,2.2065562621044572e-15,1.5031732124902356e-17,0.045987005714158403,0.06328939211398231,1.0331516234362611e-13,6.40639445511337e-15,4.729153391304816e-12,4.639357184523099e-13,7.689009187126104e-15,7.681320177938977e-12,5.800966874834325e-12,1.2e-12,2.587598430954057e-13,2.2077442849924824e-13,2.2077442849924824e-13,4.689602141401319e-18,6.012539007907298e-12,4.0083593386048654e-12,3.037330131143045e-17,2.7078249940656824e-17,5.5e-16,8.490772678050347e-12,2.2961054816900856e-17,2.3538618214951883e-14,9653.393025800575,1.5298319169017092,8.964820306694295e-13
-150.0,false,53134.08434210068,15273.02380449768,8.021997938301284e-15,2.195872471924372e-12,1.0328571535496649e-11,2.0431609317949524e-12,2.0064442731683922e8,5.773372994022491e8,1.734280816795798e-14,3.5519804769051467e-17,9.767757568406596e-20,2.6025734768501308e-11,6.591594561975776e-16,1.235276641442663e-12,8.530404525118563e7,7.278821344941582e-14,6.752335512127154e-15,2.2597327187517064e-13,1.6962150611417795e-12,2.0196053327091698e-15,1.1096197529284762e-10,3.1065491831132514e-12,2.2926950519102364e-12,9.588198171211166e-12,9.740668600648623e-12,2.0e-11,8.528382538407471e-12,7.378654165022901e-13,3.232993994380673e-12,4.0e-12,5.9762707996201625e-12,1.5376021837568267e-13,3.348785202892586e-14,8.828457603199024e-13,2.1542443594214073e6,6.0e-6,0.0004,478.3404406608539,1.1071387388964576e-14,5.635045043200362e-15,1.4555944382834362e-16,4.795323706343172e-15,0.0,2.2040352534534977e-12,2.501009355366352e-15,1.7634992331421815e-17,0.0462414694347532,0.06363733713951658,1.0338000382363452e-13,6.411874914957025e-15,4.727535156891935e-12,4.635048413015421e-13,7.687608747950798e-15,7.679921139202848e-12,5.798721205635654e-12,1.2e-12,2.5882793387096063e-13,2.2067572199313262e-13,2.2067572199313262e-13,4.9811781279667335e-18,6.011961016268307e-12,4.0079740108455384e-12,3.364070193931259e-17,2.9065156323464515e-17,5.5e-16,8.490192719342897e-12,2.7027586012054756e-17,2.3548684319627552e-14,9657.95734576207,1.5376937860499467,8.966385361367901e-13
-135.0,false,53198.093488488055,15291.422789416396,8.018940117760975e-15,2.1971412010541443e-12,1.0328930912827579e-11,2.0441008542646038e-12,2.0075332601131743e8,5.776573813914965e8,1.733860397071745e-14,3.550357122759243e-17,9.773896448134673e-20,2.6026264608959773e-11,6.590057627303593e-16,1.235406274799972e-12,8.502114759682535e7,7.277555162900015e-14,6.749711692792338e-15,2.2601674542239698e-13,1.6961648338825967e-12,2.0193547876811843e-15,1.1096710945105817e-10,3.1026365758219027e-12,2.291182970814015e-12,9.592038599767679e-12,9.744050672982534e-12,2.0e-11,8.528808711768626e-12,7.381268322121586e-13,3.233406877123592e-12,4.0e-12,5.976558379883861e-12,1.537871701785268e-13,3.349941147378001e-14,8.830852057454352e-13,2.1552552023683414e6,6.0e-6,0.0004,476.7540986737869,1.3622549239757633e-14,5.906619842979807e-15,1.805201002867282e-16,5.0757177275041474e-15,0.0,2.202196310799712e-12,2.943553899562018e-15,2.1246210970318587e-17,0.04615187424116443,0.06352589535147084,1.0335628170852322e-13,6.409869755836358e-15,4.72812701780744e-12,4.63662400487023e-13,7.688120964084113e-15,7.680432843120028e-12,5.800792841153236e-12,1.2e-12,2.5880302588548155e-13,2.2071182602510467e-13,2.2071182602510467e-13,5.504536386946649e-18,6.012172424748927e-12,4.008114949832618e-12,3.818423942853212e-17,3.271322068183305e-17,5.5e-16,8.490404849178202e-12,3.272850833902601e-17,2.3545001890385987e-14,9661.148067539358,1.5351399215456527,8.965812871713477e-13
-120.0,false,53371.49702625469,15341.266432962455,7.98956785600966e-15,2.2008262487840387e-12,1.0332390591314003e-11,2.0467152264220685e-12,2.0096540195511904e8,5.783325188582796e8,1.7298190273031885e-14,3.5347700807993745e-17,9.792294621407662e-20,2.6031364922467617e-11,6.575282805332284e-16,1.23587576667985e-12,8.545941735051857e7,7.265379304204483e-14,6.724509272290411e-15,2.2609358946176416e-13,1.695681468054679e-12,2.016946294325611e-15,1.110165383328053e-10,3.1192445251331645e-12,2.3071667264577025e-12,9.605267044564484e-12,9.758509180666404e-12,2.0e-11,8.532911757696356e-12,7.390904444273825e-13,3.2373836077534468e-12,4.0e-12,5.9793270734137245e-12,1.5404169052466493e-13,3.3471121121651195e-14,8.839090065085322e-13,2.1560067549630324e6,6.0e-6,0.0004,479.21168607767413,1.3374829205743157e-14,6.0238519460353885e-15,1.782993270524657e-16,5.11340427549813e-15,0.0,2.276025654177335e-12,2.986392295884383e-15,2.085059535564686e-17,0.04526871077883546,0.06233263788262287,1.0312823238163981e-13,6.390601954897161e-15,4.733826614606952e-12,4.651815739163694e-13,7.693052835731309e-15,7.685359782895577e-12,5.8103828860206e-12,1.2e-12,2.585634068252968e-13,2.2105935101322534e-13,2.2105935101322534e-13,5.394876246595639e-18,6.0142076304996124e-12,4.009471753666408e-12,3.752527270903897e-17,3.190285930822233e-17,5.5e-16,8.492446888895044e-12,3.210282885804631e-17,2.3509587610435182e-14,9651.61366753159,1.50811558038567,8.960304476191357e-13
-105.0,false,53437.14209858642,15360.135653440882,7.986935099909196e-15,2.2021186287129613e-12,1.0332701374045065e-11,2.04767442931095e-12,2.010786401292058e8,5.786642249814095e8,1.7294565188500434e-14,3.533373506652045e-17,9.798538096878344e-20,2.6031823048668084e-11,6.573957448285743e-16,1.2360052110139345e-12,8.552718601529524e7,7.264286744516032e-14,6.722250363893937e-15,2.2613896634086562e-13,1.695638061993241e-12,2.016730246893244e-15,1.1102097879378582e-10,3.121231693647776e-12,2.3100530735516887e-12,9.609127586070687e-12,9.761844872389722e-12,2.0e-11,8.53328036342602e-12,7.393519060075604e-13,3.2377410113419504e-12,4.0e-12,5.979575802385149e-12,1.5406518165967815e-13,3.3484264578339036e-14,8.841495152180427e-13,2.157084588788541e6,6.0e-6,0.0004,479.5916972820293,1.4390177968779153e-14,6.245355466435132e-15,1.9274906161305454e-16,5.308123677796593e-15,0.0,2.3327678352938256e-12,3.1702044106158216e-15,2.2316141252941237e-17,0.045193537195226424,0.06224120698250472,1.0310777510285747e-13,6.388874282303731e-15,4.734338771227479e-12,4.653182517230791e-13,7.693495939461178e-15,7.685802443521717e-12,5.8124092814407395e-12,1.2e-12,2.5854189664638974e-13,2.2109056528444253e-13,2.2109056528444253e-13,5.6433094475930055e-18,6.0143904532768744e-12,4.009593635517916e-12,3.9562321031216297e-17,3.38478784069321e-17,5.5e-16,8.492630315775883e-12,3.434246170848291e-17,2.3506409536131264e-14,9655.280087721196,1.5060097222967896,8.959809913262392e-13
-90.0,false,53530.206783014255,15386.886451129858,7.971892992089023e-15,2.204085053221599e-12,1.0334479160898937e-11,2.0490716114372466e-12,2.011946367458374e8,5.790314212202065e8,1.7273845116471858e-14,3.5253960146182583e-17,9.808345448131211e-20,2.603444358226421e-11,6.566381836955192e-16,1.236252357701521e-12,8.555470672485709e7,7.258040705958149e-14,6.709344491890834e-15,2.2618131114807777e-13,1.6953898104537587e-12,2.0154953516175117e-15,1.1104638064361791e-10,3.126396558214837e-12,2.315873683729428e-12,9.61612317916157e-12,9.769424834608091e-12,2.0e-11,8.535389011177032e-12,7.398601769905226e-13,3.2397860377499006e-12,4.0e-12,5.980998674914174e-12,1.5419628601271862e-13,3.347088323278395e-14,8.845848574150109e-13,2.157544979514818e6,6.0e-6,0.0004,479.7460190178902,1.5271721687796603e-14,6.338101724960359e-15,2.0499305903847462e-16,5.372457268952237e-15,0.0,2.3315562924363805e-12,3.331112821862064e-15,2.3476427785644245e-17,0.04474740107822383,0.061638900198166834,1.0299084204000594e-13,6.379001356550983e-15,4.737269001194385e-12,4.661007649458172e-13,7.696030883479266e-15,7.688334852595786e-12,5.817422865911399e-12,1.2e-12,2.5841889765436316e-13,2.2126910965354365e-13,2.2126910965354365e-13,5.794271484300808e-18,6.01543626518003e-12,4.010290843453354e-12,4.1018891956956807e-17,3.4745206116398546e-17,5.5e-16,8.493679552346467e-12,3.615700753527444e-17,2.3488239921727332e-14,9650.715001066257,1.4923526684237212,8.956981649287077e-13
-75.0,false,53531.454848160945,15387.245198794959,7.975814400100891e-15,2.204061943223479e-12,1.0334015347538572e-11,2.0490762023913588e-12,2.0121237676050937e8,5.790737670675302e8,1.727924811420879e-14,3.527475421464763e-17,9.808126112759214e-20,2.6033759919635984e-11,6.568357298387597e-16,1.236232357652449e-12,8.564673777784182e7,7.259669636403187e-14,6.712708947563769e-15,2.2618987196124615e-13,1.6954545700903345e-12,2.0158173684997106e-15,1.110397533225017e-10,3.126762503009033e-12,2.31617590243209e-12,9.61565957288989e-12,9.768485090729945e-12,2.0e-11,8.534838863043092e-12,7.398166861769859e-13,3.23925241269976e-12,4.0e-12,5.980627447420562e-12,1.5416237029371128e-13,3.348236217115458e-14,8.845561161353999e-13,2.1579397281724284e6,6.0e-6,0.0004,480.26208099724386,1.6763771253072216e-14,6.493627543051857e-15,2.190979045672177e-16,5.5615457595423406e-15,0.0,2.3309396009658415e-12,3.637355079045316e-15,2.5988887146835667e-17,0.044865038007957374,0.06180286682042525,1.0302133440669965e-13,6.381575504877627e-15,4.736504438451636e-12,4.658965025148158e-13,7.695369494128826e-15,7.687674124634697e-12,5.816708408052663e-12,1.2e-12,2.5845097963166645e-13,2.2122253056901234e-13,2.2122253056901234e-13,6.168204551441263e-18,6.015163419276075e-12,4.010108946184051e-12,4.3871570937464205e-17,3.677544020288967e-17,5.5e-16,8.493405818059236e-12,4.011586656634807e-17,2.3492978603512412e-14,9654.20912031053,1.4960542264923837,8.957719392497817e-13
-60.0,false,53582.8565797346,15402.020269818338,7.96583365633403e-15,2.2051675665470217e-12,1.0335196332282532e-11,2.0498529271189272e-12,2.0126974620977113e8,5.79261053853971e8,1.7265494534146118e-14,3.5221833281672095e-17,9.813684091137434e-20,2.603550067050679e-11,6.563328623757701e-16,1.2363781673912769e-12,8.602918111102042e7,7.255522835672951e-14,6.704145818691995e-15,2.2620995772946473e-13,1.6952896864593494e-12,2.0149976545062593e-15,1.110566283316366e-10,3.136505094352046e-12,2.3244974589508057e-12,9.619748141260982e-12,9.773094525452575e-12,2.0e-11,8.536239698899996e-12,7.401177999406309e-13,3.2406112813532336e-12,4.0e-12,5.981572697967192e-12,1.5424940094634903e-13,3.347019381619857e-14,8.848104400467585e-13,2.158034170242002e6,6.0e-6,0.0004,482.40662305245087,1.964963449108129e-14,6.814404976437167e-15,2.5759960222188364e-16,5.871577664724048e-15,0.0,2.3365372187628644e-12,4.0896308280843e-15,3.0251338689337365e-17,0.04456967531473214,0.061401941477498945,1.0294371367760279e-13,6.3750233509604044e-15,4.738451323348588e-12,4.664167582230473e-13,7.697053610188497e-15,7.689356556578309e-12,5.819795262526319e-12,1.2e-12,2.583693015717227e-13,2.213411297642023e-13,2.213411297642023e-13,6.808147276909807e-18,6.015858153400835e-12,4.010572102267224e-12,4.947002222991533e-17,4.058815640384796e-17,5.5e-16,8.494102807155601e-12,4.671991029708481e-17,2.3480915035276475e-14,9650.23125279497,1.4869672830090874,8.95584109866013e-13
-45.0,false,53415.97394800683,15354.051015459401,7.997716849932084e-15,2.2015831649468897e-12,1.033142935413553e-11,2.0473312287218634e-12,2.010810250266478e8,5.786472149496973e8,1.7309407999430755e-14,3.5390933838001685e-17,9.795683806158446e-20,2.602994792229625e-11,6.579384019850484e-16,1.235907359220535e-12,8.954128781597796e7,7.268759791125717e-14,6.731501211996402e-15,2.2614354457543256e-13,1.6958157363725093e-12,2.0176148399223824e-15,1.1100280446309762e-10,3.1869961157458424e-12,2.3582704920386933e-12,9.606543880941033e-12,9.758267056891775e-12,2.0e-11,8.531771707161961e-12,7.391467596680935e-13,3.2362783560151127e-12,4.0e-12,5.978557783892615e-12,1.5397201682327694e-13,3.350806684540371e-14,8.839888661092685e-13,2.157671050675494e6,6.0e-6,0.0004,502.1006793419325,1.9307303342637498e-14,6.873754736407334e-15,2.5231747656587695e-16,5.861321227554572e-15,0.0,2.384443222709854e-12,3.9408970256771286e-15,2.9980843054586816e-17,0.04551854788251011,0.06268919433152856,1.0319153542854418e-13,6.395948856477293e-15,4.732242706075977e-12,4.647590553434711e-13,7.69168241276332e-15,7.683990730350557e-12,5.8098775269970984e-12,1.2e-12,2.586299522778826e-13,2.2096280261398212e-13,2.2096280261398212e-13,6.867668199078472e-18,6.01364216814302e-12,4.0090947787620136e-12,4.974586431643359e-17,4.088401046416371e-17,5.5e-16,8.491879547857278e-12,4.628002512244257e-17,2.3519420578406735e-14,9662.64973900036,1.516131223431548,8.961834404337712e-13
