t,NO,CH4,C2H6,H2O2,HCHO,CH3OH,SO2,O3,CO,NO2,w_ap
-180.0,3.4756988098930945e9,2.4017928865298877e12,2.012253653599707e10,1.204922080209279e10,2.7566458676929096e10,2.6864106139251456e9,1.2735493733737586e9,6.32816077499431e9,3.741346607879112e11,1.0344059256746681e10,false
-165.0,3.1885058087489405e9,2.3995651127516733e12,2.0202821266954834e10,1.2748223847804455e10,2.8351204131990288e10,2.6771810806809688e9,1.1884788069014606e9,7.799857262439716e9,3.758358163190384e11,1.049389167567791e10,false
-150.0,3.0073587790198517e9,2.397105348258731e12,2.01967005673466e10,1.3420035938879766e10,2.8620770655526417e10,2.6895271427785788e9,9.894665199493735e8,9.969110402999346e9,3.686437321492745e11,1.0496097355967709e10,false
-135.0,2.777483786866091e9,2.396381292915496e12,2.0151632661411934e10,1.4186798890136505e10,2.7122250721165703e10,2.6728472785614867e9,8.917625454966165e8,7.993354742772778e9,3.697298213950431e11,1.0703401729942299e10,false
-120.0,2.8335504709412208e9,2.400860998639713e12,2.003397667941394e10,1.2906866109265043e10,2.5848786801772236e10,2.64549841905986e9,1.2004803754367223e9,8.109496943915396e9,3.7135328971197174e11,1.0853032935869205e10,false
-105.0,2.5884580640829687e9,2.411231264085751e12,1.9899430405758118e10,1.3616168508020433e10,2.5755864770243984e10,2.656373867891456e9,1.1830247099312768e9,7.48588519131319e9,3.689245715919776e11,1.0957112379189331e10,false
-90.0,2.5451903024441676e9,2.4202266540513804e12,1.9770958435997765e10,1.2926274387870834e10,2.6543316330048058e10,2.639047550226419e9,1.3364439025559354e9,6.634718450904393e9,3.7660441613702704e11,1.1307662056302769e10,false
-75.0,2.6822446537908554e9,2.4193830246599136e12,1.9609827612795002e10,1.3056385441819677e10,2.5880744830300713e10,2.6373164443922806e9,8.003959910443985e8,6.006920638156154e9,3.874423494495641e11,1.152294682199508e10,false
-60.0,2.6888491931397467e9,2.4248451772976646e12,1.9418985881302235e10,1.3862680987038794e10,2.7728517016955215e10,2.654613902477272e9,1.3446831428269856e9,5.252807055137108e9,4.026421158263623e11,1.202248721091909e10,false
-45.0,2.772925575058197e9,2.421848895494018e12,1.9172559265288944e10,1.4117555888846964e10,2.8844143877556652e10,2.651203487093204e9,1.6957252648289158e9,3.2041682687479944e9,4.1403788859407666e11,1.2545036283301876e10,false
