t,NO,CH4,C2H6,H2O2,HCHO,CH3OH,SO2,O3,CO,NO2,w_ap
-30.0,3.263820893989812e9,2.436620323530036e12,1.8882126659540302e10,1.3294248045754482e10,2.757562850545087e10,2.6214323683821487e9,1.1102332769724457e9,2.7051847667047324e9,4.265062810451866e11,1.2939143963855597e10,false
-15.0,3.5764654524093657e9,2.451104842896399e12,1.879517734232492e10,1.435752918969483e10,2.761775853761311e10,2.616537731995825e9,1.0505597344180036e9,2.5326789198822694e9,4.303125931650715e11,1.3156389982301893e10,false
0.0,4.0660423998294706e9,2.4447345889268584e12,1.8692831446720547e10,1.2660250313424343e10,2.69371624892913e10,2.59109518666538e9,1.1745570719681814e9,3.1667336321575155e9,4.3811248428638196e11,1.308217887792864e10,true
15.0,4.2803083550555224e9,2.445958929463291e12,1.859382913946036e10,1.5316199956154928e10,2.502664854137161e10,2.5876565546285357e9,9.9962285701162e8,4.706686470616506e9,4.277297969757215e11,1.282602148454312e10,true
30.0,4.512094671151086e9,2.447162545817999e12,1.847434603530423e10,1.6067962724724495e10,2.6451093229908085e10,2.5880040841816382e9,1.31445123815366e9,4.2393633591975226e9,4.335466761859126e11,1.2671441016339037e10,true
45.0,4.78703737054292e9,2.4458316664959053e12,1.849933213675394e10,1.639083990184527e10,2.672849182570123e10,2.584773826989753e9,1.4133358517919989e9,3.5458576305728755e9,4.366820813603186e11,1.2473140363620241e10,true
60.0,5.011253230848837e9,2.444199751968757e12,1.845577103923531e10,1.6536358526427748e10,2.5765534473293644e10,2.5941170570304933e9,1.2316010829775846e9,4.476733261165307e9,4.319040990758529e11,1.2241775749645014e10,true
75.0,4.703746726939442e9,2.442915856808716e12,1.8344905932185658e10,1.5941845397836792e10,2.6745958836778656e10,2.587827380714003e9,1.0132846467665446e9,3.3914543930859528e9,4.7378223505823627e11,1.221124863670899e10,true
90.0,4.633951583382265e9,2.443749787981036e12,1.8276528429906708e10,1.8120150833592113e10,2.561637818167901e10,2.5949334300753193e9,6.883366913348507e8,4.987397373155436e9,4.8638209745913885e11,1.2303529107487272e10,true
105.0,4.692322471769201e9,2.452558012577584e12,1.8099047786573544e10,1.6518001633332396e10,2.479377812299876e10,2.584842836805005e9,9.893790715487678e8,4.43473688494688e9,4.920376861085277e11,1.247907361297705e10,true
120.0,4.786105186972278e9,2.456199477205009e12,1.794621277061063e10,1.865689760909455e10,2.5651628178145462e10,2.6079662766384377e9,9.864497013906347e8,4.1061994784293513e9,4.886585717339075e11,1.257917185193648e10,true
135.0,4.550957311004341e9,2.457374672751122e12,1.77356363693924e10,1.8072937458813225e10,2.6949113922409172e10,2.599201874269845e9,6.282517070650003e8,5.711485456156106e9,4.6835408404196857e11,1.2746852926761997e10,true
150.0,4.263390455282093e9,2.4576242768505566e12,1.738827403664329e10,1.6303501820807415e10,2.559386883486162e10,2.586252880517021e9,1.162647405837754e9,6.629843191231216e9,4.591902830786863e11,1.2733564504455393e10,true
165.0,3.8789452509293633e9,2.455791602760366e12,1.6753528602903042e10,1.5894814464454739e10,2.5622181298890854e10,2.586776104627847e9,6.254236270983608e8,8.025203549290155e9,4.488565693740131e11,1.2372703246627993e10,true
180.0,3.398394363902271e9,2.4563993841007837e12,1.6157941277226526e10,1.6434747723537622e10,2.7863421873097813e10,2.5816793843830776e9,3.839765341199982e8,8.610215838003944e9,4.434473324042702e11,1.2113295248019753e10,true
195.0,3.238241493315622e9,2.4578003901625923e12,1.5732966183309675e10,1.7478470765016895e10,2.9179238752970024e10,2.590325630693604e9,8.303941284667532e8,9.59885854953199e9,4.428084190245398e11,1.1972854242534945e10,true
210.0,2.948103915334e9,2.4567834657548413e12,1.4960751163268276e10,1.677281966343454e10,2.6877250034987907e10,2.5855088819736485e9,5.966092586579072e8,1.1846308114180878e10,4.3706427994326636e11,1.1670322468882772e10,true
225.0,2.5455159253939586e9,2.456107231621224e12,1.4448014201140354e10,1.7982735602464417e10,2.9862884395593132e10,2.5833884582693977e9,8.402515009797319e8,1.2418425254373814e10,4.246397622637594e11,1.1474173539729025e10,true
240.0,2.398786366477788e9,2.4554650284300503e12,1.3781850204918747e10,1.5238940066851408e10,2.913956228318851e10,2.5972550548529406e9,1.3402988475794122e9,1.4004737556973133e10,4.155412446255794e11,1.1342152410231823e10,true
255.0,2.2524758348193426e9,2.458948261903821e12,1.31442813515193e10,1.553848162483721e10,3.0061308033914394e10,2.5962659234642367e9,7.46468056436213e8,1.4936019868844336e10,4.075486608729816e11,1.1134431405408165e10,true
270.0,2.2821853847901874e9,2.4635555066420947e12,1.0402148577423761e10,2.320844403761799e10,3.24905114961753e10,2.613355150457971e9,1.6328664122279078e8,1.740888202166146e10,4.0491957333919696e11,1.107469882945121e10,true
285.0,2.4544382890373406e9,2.4687418807873403e12,8.970276914524483e9,1.3802064849567675e10,3.2129936388002823e10,2.615202751500701e9,4.4055642302525854e8,1.875485167435942e10,3.981441337356469e11,1.0769777704624454e10,true
300.0,2.656780475883712e9,2.4736992838068354e12,6.471925117192409e9,2.126618330734767e10,3.3062189646249435e10,2.6192751668575683e9,7.282239796296827e8,1.9541110305637672e10,3.974706977878097e11,1.0758027100554873e10,true
315.0,2.382553118824557e9,2.476015781370784e12,5.489258403043355e9,1.4733091309801502e10,3.341006614522134e10,2.6081032850134754e9,1.1400322955984447e9,2.0467778372841316e10,3.935843094374596e11,1.0943087296074337e10,true
330.0,2.15864906745709e9,2.477322979726991e12,4.493735202469411e9,1.3627647679830297e10,3.530851941685847e10,2.6043466860959086e9,3.600100015707932e8,2.0617126158950626e10,3.87817891828395e11,1.0932992590963802e10,true
345.0,2.084110606311019e9,2.4787242688641113e12,3.5723202294931126e9,1.4499777430030687e10,3.43380806059602e10,2.6178322492820864e9,3.36666916117407e8,2.150628640095877e10,3.889059829714096e11,1.1157870335927608e10,true
360.0,2.283292425138053e9,2.4800685975563633e12,3.805797729134027e9,1.5058295446207876e10,3.386063857386502e10,2.6107103626688137e9,8.287139483085358e7,2.1847533726423283e10,3.87318033247692e11,1.1291594571190527e10,true
375.0,2.4493005991589985e9,2.475398066498564e12,5.595174243070441e9,1.4530029523492561e10,3.541043403841924e10,2.6050215906694193e9,2.2008382077795452e8,2.0940148940151756e10,3.781912984890591e11,1.1393409219146168e10,true
390.0,2.351083922828846e9,2.468080200169655e12,6.952122982312368e9,1.6097170865633606e10,3.564001529448415e10,2.6044818690091844e9,6.213799506408391e8,2.028666615927806e10,3.723431899786874e11,1.1348215445462118e10,true
405.0,2.4889811307018256e9,2.4623847261599077e12,7.564915935156129e9,1.311990264211639e10,3.472478914819617e10,2.6001944526917114e9,2.2017571099134204e8,2.0543993754386192e10,3.6523409674421155e11,1.1213796707140484e10,true
420.0,5.052295772333651e9,2.45613267104572e12,9.285371448916693e9,1.4172110991038567e10,3.476945786305579e10,2.593364219583361e9,1.3210519028009646e8,2.0873313988761887e10,3.592995660547245e11,9.8696701991615e9,true
435.0,2.290205873129983e9,2.4514391521079717e12,1.0586933214080353e10,1.4636517200840082e10,3.2977842698751812e10,2.5937317223081203e9,4.5857611516675806e8,2.184769919364748e10,3.5698682039087e11,1.0365412295919466e10,true
450.0,2.4893290594522696e9,2.446993781572442e12,1.17618078117132e10,1.456483657928698e10,3.590129242837229e10,2.6105221825189295e9,3.652837882765453e8,2.2882903726519028e10,3.560020953444063e11,1.003464306641811e10,true
465.0,2.5045181477168593e9,2.444167284771177e12,1.2722238924695759e10,1.5945790717604908e10,3.3330947187654926e10,2.604680271604847e9,4.404690216392889e7,2.2710514181012695e10,3.578689158066437e11,1.0351215147333338e10,true
480.0,1.9696321535368745e9,2.4430553752476636e12,1.3551369139703924e10,1.4197358016336092e10,3.5178288241484634e10,2.6046586845765867e9,3.6283542684920676e7,2.3043038730390408e10,3.549967463618014e11,1.0589004281628e10,true
495.0,1.4396011290011396e10,2.443309166205966e12,1.4363023009556864e10,1.3982476975953796e10,3.587987075866752e10,2.6112424760488667e9,1.9970589523382327e8,2.2754377744865177e10,3.552288543317428e11,1.0793286644527676e10,true
510.0,2.4466303630468345e9,2.443708129006499e12,1.5036184715869371e10,1.3953279731311577e10,3.331916685397834e10,2.6326784778627653e9,2.388185776528294e8,2.371600299162106e10,3.513224246269509e11,1.0984506112290659e10,true
525.0,3.1407390237932787e9,2.4447042258764634e12,1.5472378243515224e10,1.4748217963085136e10,3.3036817446055676e10,2.622719831981191e9,4.156982507915466e7,2.4424646268455544e10,3.491121028536658e11,1.103881778448141e10,true
540.0,1.9672512819716873e9,2.4456320037964907e12,1.6025391347129791e10,1.4368722385290762e10,3.385989681560469e10,2.62178606272868e9,5.746739039680938e8,2.524631287181483e10,3.485906351390718e11,1.0851226722256577e10,true
555.0,1.422544014806902e9,2.4482047428801973e12,1.6434735263024534e10,1.3543559751045053e10,3.267460789226745e10,2.6422555867934165e9,6.716348263451779e8,2.7442690592381218e10,3.4922230885832214e11,1.1272764755990826e10,true
570.0,1.1278905829407284e9,2.453191362424282e12,1.6668294416267082e10,1.4233823127490608e10,3.520971452031679e10,2.663131179507824e9,3.700574106814879e8,2.927490637594516e10,3.5536813381009265e11,1.1434476944295662e10,true
585.0,1.2185826841334014e9,2.457331932904171e12,1.6807142425359827e10,1.3634798707399622e10,3.3960766656641037e10,2.6962299607128606e9,9.936658763472227e8,3.0182810936427605e10,3.614390982700568e11,1.1865462351893532e10,true
600.0,1.2341359888403826e9,2.4616742247508486e12,1.6914422539410625e10,1.2108009445741653e10,3.3212665588886963e10,2.687695148113078e9,1.137645970514104e9,3.0565369821160194e10,3.6338085814989197e11,1.2008862085585182e10,true
