species,τ_seconds,τ_minutes,τ_hours,τ_days,τ_weeks,τ_years
H2,3.1600546418123486e11,5.266757736353914e9,8.777929560589857e7,3.657470650245774e6,522495.80717796774,10020.46753491993
CH4,1.4418404525238192e10,2.403067420873032e8,4.00511236812172e6,166879.68200507166,23839.954572153096,457.20460823307303
CO,9.441456191625095e9,1.573576031937516e8,2.62262671989586e6,109276.11332899418,15610.873332713454,299.38661186025803
CH3OH,2.3794581500108576e9,3.9657635833514296e7,660960.5972252382,27540.024884384926,3934.2892691978464,75.4521229709176
SO2,2.377228924161172e9,3.9620482069352865e7,660341.3678225478,27514.223659272826,3930.603379896118,75.38143468293924
CH3NO3,2.2736946119444245e6,37894.91019907374,631.581836651229,26.315909860467873,3.7594156943525534,0.07209838317936404
CH3OOH,2.0009538262974797e6,33349.23043829133,555.8205073048555,23.15918780436898,3.30845540062414,0.06344982960101091
HNO3,138272.6854108309,2304.5447568471814,38.40907928078636,1.6003783033660983,0.22862547190944263,0.004384598091413968
HCHO,128545.80913555647,2142.4301522592746,35.70716920432124,1.4877987168467184,0.21254267383524547,0.004076160868073201
H2O2,58696.65441529974,978.277573588329,16.30462622647215,0.6793594261030061,0.09705134658614374,0.0018612587016520717
NO2,4174.228037537913,69.57046729229856,1.159507788204976,0.048312824508540665,0.006901832072648667,0.0001323639027631251
HONO,2840.4723224756854,47.34120537459476,0.7890200895765793,0.032875837065690805,0.004696548152241543,9.007078648134467e-5
O3,1053.790472004526,17.563174533408766,0.29271957555681277,0.012196648981533866,0.0017423784259334094,3.3415476661736616e-5
NO,611.178121980466,10.186302033007767,0.16977170055012944,0.007073820856255394,0.0010105458366079134,1.9380331113028476e-5
N2O5,23.18840701948237,0.38647345032470615,0.0064412241720784354,0.00026838434050326814,3.834062007189545e-5,7.352995630226525e-7
HO2NO2,16.975377480834858,0.2829229580139143,0.004715382633565238,0.0001964742763985516,2.8067753771221656e-5,5.38285688763155e-7
HO2,3.8851625710786686,0.0647527095179778,0.0010792118252996301,4.4967159387484586e-5,6.423879912497798e-6,1.2319769695201257e-7
NO3,1.4795848529332876,0.024659747548888125,0.00041099579248146873,1.7124824686727864e-5,2.446403526675409e-6,4.691732790884346e-8
CH3O2,1.3959611222626984,0.02326601870437831,0.00038776697840630514,1.6156957433596047e-5,2.308136776228007e-6,4.426563680437273e-8
CH3O2NO2,0.6992992122346327,0.01165498687057721,0.00019424978117628684,8.093740882345284e-6,1.1562486974778979e-6,2.2174632554370643e-8
OH,0.2571591649719428,0.004285986082865714,7.143310138109523e-5,2.976379224212301e-6,4.2519703203032876e-7,8.154463627978908e-9
O,1.442619193979606e-5,2.4043653232993434e-7,4.007275538832239e-9,1.6696981411800996e-10,2.3852830588287138e-11,4.574515455287944e-13
O1D,1.1636775485108666e-9,1.9394625808514443e-11,3.2324376347524074e-13,1.3468490144801697e-14,1.924070020685957e-15,3.6899972999456705e-17
