MCM Name,Smiles String,InChl Identifier,formula,idx_species
C5H8, C=CC(=C)C ," InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3 ",C5H8,34
NISOPO2, [O]OCC=C(C)CON(=O)=O ," InChI=1S/C5H8NO5/c1-5(2-3-11-9)4-10-6(7)8/h2H,3-4H2,1H3 ",C5H8NO5,35
CH2OOE, [O-][O+]=C , InChI=1S/CH2O2/c1-3-2/h1H2 ,CH2O2,36
MACR, CC(=C)C=O ," InChI=1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3 ",C4H6O,37
MVK, CC(=O)C=C ," InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3 ",C4H6O,38
MACROOA, [O-][O+]=CC(=C)C ," InChI=1S/C4H6O2/c1-4(2)3-6-5/h3H,1H2,2H3 ",C4H6O2,39
MVKOOA, [O-][O+]=C(C)C=C ," InChI=1S/C4H6O2/c1-3-4(2)6-5/h3H,1H2,2H3 ",C4H6O2,40
CISOPA, C/C(=C/[CH2])/CO ," InChI=1S/C5H9O/c1-3-5(2)4-6/h3,6H,1,4H2,2H3 ",C5H9O,41
CISOPC, OC/C=C(\[CH2])/C ," InChI=1S/C5H9O/c1-5(2)3-4-6/h3,6H,1,4H2,2H3 ",C5H9O,42
ISOP34O2, CC(=C)C(CO[O])O ," InChI=1S/C5H9O3/c1-4(2)5(6)3-8-7/h5-6H,1,3H2,2H3 ",C5H9O3,43
ME3BU3ECHO, CC(=C)CC=O ," InChI=1S/C5H8O/c1-5(2)3-4-6/h4H,1,3H2,2H3 ",C5H8O,44
PE4E2CO, CC(=O)CC=C ," InChI=1S/C5H8O/c1-3-4-5(2)6/h3H,1,4H2,2H3 ",C5H8O,45
TISOPA, C/C(=C\[CH2])/CO ," InChI=1S/C5H9O/c1-3-5(2)4-6/h3,6H,1,4H2,2H3 ",C5H9O,46
TISOPC, OC/C=C(\C)/[CH2] ," InChI=1S/C5H9O/c1-5(2)3-4-6/h3,6H,1,4H2,2H3 ",C5H9O,47
CH3OCHO, COC=O ," InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3 ",C2H4O2,48
CHOOCH2O2, [O]OCOC=O ," InChI=1S/C2H3O4/c3-1-5-2-6-4/h1H,2H2 ",C2H3O4,49
METHACET, COC(=O)C , InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3 ,C3H6O2,50
METHACETO2, CC(=O)OCO[O] ," InChI=1S/C3H5O4/c1-3(4)6-2-7-5/h2H2,1H3 ",C3H5O4,51
MOCOCH2O2, [O]OCC(=O)OC ," InChI=1S/C3H5O4/c1-6-3(4)2-7-5/h2H2,1H3 ",C3H5O4,52
CH3OCH3, COC , InChI=1S/C2H6O/c1-3-2/h1-2H3 ,C2H6O,53
CH3OCH2O2, COCO[O] ," InChI=1S/C2H5O3/c1-4-2-5-3/h2H2,1H3 ",C2H5O3,54
CH3BR, CBr , InChI=1S/CH3Br/c1-2/h1H3 ,CH3Br,55
CH2BRO2, [O]OCBr , InChI=1S/CH2BrO2/c2-1-4-3/h1H2 ,CH2BrO2,56
HCOOH, OC=O ," InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3) ",CH2O2,57
DMM, COCOC ," InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3 ",C3H8O2,58
DMMAO2, COCOCO[O] ," InChI=1S/C3H7O4/c1-5-2-6-3-7-4/h2-3H2,1H3 ",C3H7O4,59
DMMBO2, COC(OC)O[O] ," InChI=1S/C3H7O4/c1-5-3(6-2)7-4/h3H,1-2H3 ",C3H7O4,60
CH3OOH, COO ," InChI=1S/CH4O2/c1-3-2/h2H,1H3 ",CH4O2,61
CH3NO3, CON(=O)=O , InChI=1S/CH3NO3/c1-5-2(3)4/h1H3 ,CH3NO3,62
CH3O, C[O] , InChI=1S/CH3O/c1-2/h1H3 ,CH3O,63
CH3O2NO2, COON(=O)=O , InChI=1S/CH3NO4/c1-5-6-2(3)4/h1H3 ,CH3NO4,64
CH2CLOOH, OOCCl ," InChI=1S/CH3ClO2/c2-1-4-3/h3H,1H2 ",CH3ClO2,65
CHOCL, ClC=O , InChI=1S/CHClO/c2-1-3/h1H ,CHClO,66
CH2CLO, [O]CCl , InChI=1S/CH2ClO/c2-1-3/h1H2 ,CH2ClO,67
CH2CLOH, OCCl ," InChI=1S/CH3ClO/c2-1-3/h3H,1H2 ",CH3ClO,68
CHCL2OOH, OOC(Cl)Cl ," InChI=1S/CH2Cl2O2/c2-1(3)5-4/h1,4H ",CH2Cl2O2,69
CHCL2O, [O]C(Cl)Cl , InChI=1S/CHCl2O/c2-1(3)4/h1H ,CHCl2O,70
CHCL2OH, OC(Cl)Cl ," InChI=1S/CH2Cl2O/c2-1(3)4/h1,4H ",CH2Cl2O,71
COCL2, ClC(=O)Cl , InChI=1S/CCl2O/c2-1(3)4 ,CCl2O,72
CCL3OOH, OOC(Cl)(Cl)Cl ," InChI=1S/CHCl3O2/c2-1(3,4)6-5/h5H ",CHCl3O2,73
CCL3O, [O]C(Cl)(Cl)Cl ," InChI=1S/CCl3O/c2-1(3,4)5 ",CCl3O,74
CCL3OH, OC(Cl)(Cl)Cl ," InChI=1S/CHCl3O/c2-1(3,4)5/h5H ",CHCl3O,75
CCL3CH2OOH, OOCC(Cl)(Cl)Cl ," InChI=1S/C2H3Cl3O2/c3-2(4,5)1-7-6/h6H,1H2 ",C2H3Cl3O2,76
CCL3CH2O, [O]CC(Cl)(Cl)Cl ," InChI=1S/C2H2Cl3O/c3-2(4,5)1-6/h1H2 ",C2H2Cl3O,77
CCL3CH2OH, OCC(Cl)(Cl)Cl ," InChI=1S/C2H3Cl3O/c3-2(4,5)1-6/h6H,1H2 ",C2H3Cl3O,78
CCL3CHO, O=CC(Cl)(Cl)Cl ," InChI=1S/C2HCl3O/c3-2(4,5)1-6/h1H ",C2HCl3O,79
NISOPOOH, OOCC=C(C)CON(=O)=O ," InChI=1S/C5H9NO5/c1-5(2-3-11-9)4-10-6(7)8/h2,9H,3-4H2,1H3 ",C5H9NO5,80
NISOPNO3, CC(=CCON(=O)=O)CON(=O)=O ," InChI=1S/C5H8N2O6/c1-5(4-13-7(10)11)2-3-12-6(8)9/h2H,3-4H2,1H3 ",C5H8N2O6,81
NISOPO, [O]CC=C(C)CON(=O)=O ," InChI=1S/C5H8NO4/c1-5(2-3-7)4-10-6(8)9/h2H,3-4H2,1H3 ",C5H8NO4,82
ISOPCNO3, OCC=C(C)CON(=O)=O ," InChI=1S/C5H9NO4/c1-5(2-3-7)4-10-6(8)9/h2,7H,3-4H2,1H3 ",C5H9NO4,83
NC4CHO, O=CC=C(C)CON(=O)=O ," InChI=1S/C5H7NO4/c1-5(2-3-7)4-10-6(8)9/h2-3H,4H2,1H3 ",C5H7NO4,84
CH2OO, [O-][O+]=C , InChI=1S/CH2O2/c1-3-2/h1H2 ,CH2O2,85
CH3C2H2O2, CC(=C)O[O] ," InChI=1S/C3H5O2/c1-3(2)5-4/h1H2,2H3 ",C3H5O2,86
MACO3, CC(=C)C(=O)O[O] ," InChI=1S/C4H5O3/c1-3(2)4(5)7-6/h1H2,2H3 ",C4H5O3,87
MGLYOOB, [O-][O+]=C(C)C=O ," InChI=1S/C3H4O3/c1-3(2-4)6-5/h2H,1H3 ",C3H4O3,88
MGLYOX, O=CC(=O)C ," InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3 ",C3H4O2,89
CH2OOG, [O-][O+]=C , InChI=1S/CH2O2/c1-3-2/h1H2 ,CH2O2,90
MACRO2, OCC(C)(O[O])C=O ," InChI=1S/C4H7O4/c1-4(2-5,3-6)8-7/h2,6H,3H2,1H3 ",C4H7O4,91
MACROHO2, CC(O)(CO[O])C=O ," InChI=1S/C4H7O4/c1-4(6,2-5)3-8-7/h2,6H,3H2,1H3 ",C4H7O4,92
C3H6, CC=C ," InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3 ",C3H6,93
CH3CO3, CC(=O)O[O] , InChI=1S/C2H3O3/c1-2(3)5-4/h1H3 ,C2H3O3,94
MGLOOA, [O-][O+]=CC(=O)C ," InChI=1S/C3H4O3/c1-3(4)2-6-5/h2H,1H3 ",C3H4O3,95
CH2OOB, [O-][O+]=C , InChI=1S/CH2O2/c1-3-2/h1H2 ,CH2O2,96
HMVKAO2, CC(=O)C(O)CO[O] ," InChI=1S/C4H7O4/c1-3(5)4(6)2-8-7/h4,6H,2H2,1H3 ",C4H7O4,97
HMVKBO2, OCC(O[O])C(=O)C ," InChI=1S/C4H7O4/c1-3(6)4(2-5)8-7/h4-5H,2H2,1H3 ",C4H7O4,98
MACROO, [O-][O+]=CC(=C)C ," InChI=1S/C4H6O2/c1-4(2)3-6-5/h3H,1H2,2H3 ",C4H6O2,99
MVKOO, [O-][O+]=C(C)C=C ," InChI=1S/C4H6O2/c1-3-4(2)6-5/h3H,1H2,2H3 ",C4H6O2,100
MVKO2, [O]OCC(=O)C=C ," InChI=1S/C4H5O3/c1-2-4(5)3-7-6/h2H,1,3H2 ",C4H5O3,101
CISOPAO2, [O]OC/C=C(\CO)/C ," InChI=1S/C5H9O3/c1-5(4-6)2-3-8-7/h2,6H,3-4H2,1H3/b5-2- ",C5H9O3,102
ISOPBO2, OCC(C)(O[O])C=C ," InChI=1S/C5H9O3/c1-3-5(2,4-6)8-7/h3,6H,1,4H2,2H3 ",C5H9O3,103
CISOPCO2, [O]OC/C(=C\CO)/C ," InChI=1S/C5H9O3/c1-5(2-3-6)4-8-7/h2,6H,3-4H2,1H3/b5-2- ",C5H9O3,104
ISOPDO2, OCC(O[O])C(=C)C ," InChI=1S/C5H9O3/c1-4(2)5(3-6)8-7/h5-6H,1,3H2,2H3 ",C5H9O3,105
ISOP34OOH, CC(=C)C(COO)O ," InChI=1S/C5H10O3/c1-4(2)5(6)3-8-7/h5-7H,1,3H2,2H3 ",C5H10O3,106
ISOP34NO3, [O-][N+](=O)OCC(C(=C)C)O ," InChI=1S/C5H9NO4/c1-4(2)5(7)3-10-6(8)9/h5,7H,1,3H2,2H3 ",C5H9NO4,107
ISOP34O, CC(=C)C(C[O])O ," InChI=1S/C5H9O2/c1-4(2)5(7)3-6/h5,7H,1,3H2,2H3 ",C5H9O2,108
HC4CHO, CC(=C)C(C=O)O ," InChI=1S/C5H8O2/c1-4(2)5(7)3-6/h3,5,7H,1H2,2H3 ",C5H8O2,109
ISOPDOH, CC(=C)C(O)CO ," InChI=1S/C5H10O2/c1-4(2)5(7)3-6/h5-7H,1,3H2,2H3 ",C5H10O2,110
NC526O2, O=CCC(CO[N+](=O)[O-])(O[O])C ," InChI=1S/C5H8NO6/c1-5(12-10,2-3-7)4-11-6(8)9/h3H,2,4H2,1H3 ",C5H8NO6,111
CH2OOC, [O-][O+]=C , InChI=1S/CH2O2/c1-3-2/h1H2 ,CH2O2,112
CO2C3CHO, O=CCC(=O)C ," InChI=1S/C4H6O2/c1-4(6)2-3-5/h3H,2H2,1H3 ",C4H6O2,113
CO2C3OOB, [O-][O+]=C(CC=O)C ," InChI=1S/C4H6O3/c1-4(7-6)2-3-5/h3H,2H2,1H3 ",C4H6O3,114
C530O2, O=CCC(O[O])(CO)C ," InChI=1S/C5H9O4/c1-5(4-7,9-8)2-3-6/h3,7H,2,4H2,1H3 ",C5H9O4,115
M3BU3ECO3, CC(=C)CC(=O)O[O] ," InChI=1S/C5H7O3/c1-4(2)3-5(6)8-7/h1,3H2,2H3 ",C5H7O3,116
C45O2, CC(=C)CO[O] ," InChI=1S/C4H7O2/c1-4(2)3-6-5/h1,3H2,2H3 ",C4H7O2,117
NC51O2, [O]OC(CC(=O)C)CO[N+](=O)[O-] ," InChI=1S/C5H8NO6/c1-4(7)2-5(12-10)3-11-6(8)9/h5H,2-3H2,1H3 ",C5H8NO6,118
CO2C3OOA, [O-][O+]=CCC(=O)C ," InChI=1S/C4H6O3/c1-4(5)2-3-7-6/h3H,2H2,1H3 ",C4H6O3,119
C51O2, OCC(O[O])CC(=O)C ," InChI=1S/C5H9O4/c1-4(7)2-5(3-6)9-8/h5-6H,2-3H2,1H3 ",C5H9O4,120
CH2CHCH2O2, [O]OCC=C ," InChI=1S/C3H5O2/c1-2-3-5-4/h2H,1,3H2 ",C3H5O2,121
ISOPAO2, [O]OC/C=C(/CO)C ," InChI=1S/C5H9O3/c1-5(4-6)2-3-8-7/h2,6H,3-4H2,1H3/b5-2+ ",C5H9O3,122
ISOPCO2, [O]OC/C(=C/CO)/C ," InChI=1S/C5H9O3/c1-5(2-3-6)4-8-7/h2,6H,3-4H2,1H3/b5-2+ ",C5H9O3,123
CHOOCH2OOH, OOCOC=O ," InChI=1S/C2H4O4/c3-1-5-2-6-4/h1,4H,2H2 ",C2H4O4,124
CHOOCH2NO3, O=COCON(=O)=O ," InChI=1S/C2H3NO5/c4-1-7-2-8-3(5)6/h1H,2H2 ",C2H3NO5,125
CHOOCH2O, [O]COC=O ," InChI=1S/C2H3O3/c3-1-5-2-4/h1H,2H2 ",C2H3O3,126
CHOOCH2OH, OCOC=O ," InChI=1S/C2H4O3/c3-1-5-2-4/h1,4H,2H2 ",C2H4O3,127
CHOOCHO, O=COC=O , InChI=1S/C2H2O3/c3-1-5-2-4/h1-2H ,C2H2O3,128
METACETHO, O=COC(=O)C ," InChI=1S/C3H4O3/c1-3(5)6-2-4/h2H,1H3 ",C3H4O3,129
METACETO2H, CC(=O)OCOO ," InChI=1S/C3H6O4/c1-3(4)6-2-7-5/h5H,2H2,1H3 ",C3H6O4,130
METACETNO3, CC(=O)OCON(=O)=O ," InChI=1S/C3H5NO5/c1-3(5)8-2-9-4(6)7/h2H2,1H3 ",C3H5NO5,131
METHACETO, CC(=O)OC[O] ," InChI=1S/C3H5O3/c1-3(5)6-2-4/h2H2,1H3 ",C3H5O3,132
METACETOH, CC(=O)OCO ," InChI=1S/C3H6O3/c1-3(5)6-2-4/h4H,2H2,1H3 ",C3H6O3,133
MOCOCH2OOH, OOCC(=O)OC ," InChI=1S/C3H6O4/c1-6-3(4)2-7-5/h5H,2H2,1H3 ",C3H6O4,134
MOCOCH2O, COC(=O)C[O] ," InChI=1S/C3H5O3/c1-6-3(5)2-4/h2H2,1H3 ",C3H5O3,135
MOXCOCH2OH, COC(=O)CO ," InChI=1S/C3H6O3/c1-6-3(5)2-4/h4H,2H2,1H3 ",C3H6O3,136
MOXYCOCHO, COC(=O)C=O ," InChI=1S/C3H4O3/c1-6-3(5)2-4/h2H,1H3 ",C3H4O3,137
CH3OCH2OOH, COCOO ," InChI=1S/C2H6O3/c1-4-2-5-3/h3H,2H2,1H3 ",C2H6O3,138
CH3OCH2NO3, COCON(=O)=O ," InChI=1S/C2H5NO4/c1-6-2-7-3(4)5/h2H2,1H3 ",C2H5NO4,139
CH3OCH2O, COC[O] ," InChI=1S/C2H5O2/c1-4-2-3/h2H2,1H3 ",C2H5O2,140
CH3OCH2OH, COCO ," InChI=1S/C2H6O2/c1-4-2-3/h3H,2H2,1H3 ",C2H6O2,141
CH2BROOH, OOCBr ," InChI=1S/CH3BrO2/c2-1-4-3/h3H,1H2 ",CH3BrO2,142
CH2BRO, [O]CBr , InChI=1S/CH2BrO/c2-1-3/h1H2 ,CH2BrO,143
CH2BROH, OCBr ," InChI=1S/CH3BrO/c2-1-3/h3H,1H2 ",CH3BrO,144
CHOBR, BrC=O , InChI=1S/CHBrO/c2-1-3/h1H ,CHBrO,145
DMMAOOH, COCOCOO ," InChI=1S/C3H8O4/c1-5-2-6-3-7-4/h4H,2-3H2,1H3 ",C3H8O4,146
DMMANO3, COCOCON(=O)=O ," InChI=1S/C3H7NO5/c1-7-2-8-3-9-4(5)6/h2-3H2,1H3 ",C3H7NO5,147
DMMAO, COCOC[O] ," InChI=1S/C3H7O3/c1-5-3-6-2-4/h2-3H2,1H3 ",C3H7O3,148
DMMAOH, COCOCO ," InChI=1S/C3H8O3/c1-5-3-6-2-4/h4H,2-3H2,1H3 ",C3H8O3,149
MMF, COCOC=O ," InChI=1S/C3H6O3/c1-5-3-6-2-4/h2H,3H2,1H3 ",C3H6O3,150
DMMBOOH, COC(OC)OO ," InChI=1S/C3H8O4/c1-5-3(6-2)7-4/h3-4H,1-2H3 ",C3H8O4,151
DMMBNO3, COC(OC)ON(=O)=O ," InChI=1S/C3H7NO5/c1-7-3(8-2)9-4(5)6/h3H,1-2H3 ",C3H7NO5,152
DMMBO, COC([O])OC ," InChI=1S/C3H7O3/c1-5-3(4)6-2/h3H,1-2H3 ",C3H7O3,153
DMC, COC(=O)OC , InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3 ,C3H6O3,154
DMMBOH, COC(O)OC ," InChI=1S/C3H8O3/c1-5-3(4)6-2/h3-4H,1-2H3 ",C3H8O3,155
CCL3CO3, [O]OC(=O)C(Cl)(Cl)Cl ," InChI=1S/C2Cl3O3/c3-2(4,5)1(6)8-7 ",C2Cl3O3,156
CISOPCO, OC/C=C(\C[O])/C ," InChI=1S/C5H9O2/c1-5(4-7)2-3-6/h2,6H,3-4H2,1H3/b5-2- ",C5H9O2,157
GAOOB, [O-][O+]=CCO ," InChI=1S/C2H4O3/c3-1-2-5-4/h2-3H,1H2 ",C2H4O3,158
NOA, CC(=O)CON(=O)=O ," InChI=1S/C3H5NO4/c1-3(5)2-8-4(6)7/h2H2,1H3 ",C3H5NO4,159
HOCH2CHO, OCC=O ," InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2 ",C2H4O2,160
NC3OOA, [O-][O+]=C(C)CON(=O)=O ," InChI=1S/C3H5NO5/c1-3(9-7)2-8-4(5)6/h2H2,1H3 ",C3H5NO5,161
INCO2, OCC(O[O])C(C)(O)CON(=O)=O ," InChI=1S/C5H10NO7/c1-5(8,3-12-6(9)10)4(2-7)13-11/h4,7-8H,2-3H2,1H3 ",C5H10NO7,162
ACETOL, CC(=O)CO ," InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3 ",C3H6O2,163
HMAC, OC=C(C=O)C ," InChI=1S/C4H6O2/c1-4(2-5)3-6/h2-3,5H,1H3 ",C4H6O2,164
NC4CO3, [O]OC(=O)C=C(C)CON(=O)=O ," InChI=1S/C5H6NO6/c1-4(2-5(7)12-10)3-11-6(8)9/h2H,3H2,1H3 ",C5H6NO6,165
GLYOOC, [O-][O+]=CC=O , InChI=1S/C2H2O3/c3-1-2-5-4/h1-2H ,C2H2O3,166
NOAOOA, [O-][O+]=C(C)CON(=O)=O ," InChI=1S/C3H5NO5/c1-3(9-7)2-8-4(5)6/h2H2,1H3 ",C3H5NO5,167
GLYOX, O=CC=O , InChI=1S/C2H2O2/c3-1-2-4/h1-2H ,C2H2O2,168
C510O2, O=CC(O)C(C)(O[O])CON(=O)=O ," InChI=1S/C5H8NO7/c1-5(13-11,4(8)2-7)3-12-6(9)10/h2,4,8H,3H2,1H3 ",C5H8NO7,169
MACO2H, CC(=C)C(=O)O ," InChI=1S/C4H6O2/c1-3(2)4(5)6/h1H2,2H3,(H,5,6) ",C4H6O2,170
MACO3H, CC(=C)C(=O)OO ," InChI=1S/C4H6O3/c1-3(2)4(5)7-6/h6H,1H2,2H3 ",C4H6O3,171
MPAN, O=N(=O)OOC(=O)C(=C)C ," InChI=1S/C4H5NO5/c1-3(2)4(6)9-10-5(7)8/h1H2,2H3 ",C4H5NO5,172
MGLYOO, [O-][O+]=C(C)C=O ," InChI=1S/C3H4O3/c1-3(2-4)6-5/h2H,1H3 ",C3H4O3,173
MACROOH, OCC(C)(OO)C=O ," InChI=1S/C4H8O4/c1-4(2-5,3-6)8-7/h2,6-7H,3H2,1H3 ",C4H8O4,174
MACRNO3, OCC(C)(C=O)ON(=O)=O ," InChI=1S/C4H7NO5/c1-4(2-6,3-7)10-5(8)9/h2,7H,3H2,1H3 ",C4H7NO5,175
MACRO, CC([O])(CO)C=O ," InChI=1S/C4H7O3/c1-4(7,2-5)3-6/h2,6H,3H2,1H3 ",C4H7O3,176
MACROH, CC(O)(CO)C=O ," InChI=1S/C4H8O3/c1-4(7,2-5)3-6/h2,6-7H,3H2,1H3 ",C4H8O3,177
MACROHOOH, CC(O)(COO)C=O ," InChI=1S/C4H8O4/c1-4(6,2-5)3-8-7/h2,6-7H,3H2,1H3 ",C4H8O4,178
MACRNB, O=CC(C)(O)CON(=O)=O ," InChI=1S/C4H7NO5/c1-4(7,2-6)3-10-5(8)9/h2,7H,3H2,1H3 ",C4H7NO5,179
MACROHO, CC(O)(C[O])C=O ," InChI=1S/C4H7O3/c1-4(7,2-5)3-6/h2,7H,3H2,1H3 ",C4H7O3,180
C3MDIALOH, O=CC(C)(O)C=O ," InChI=1S/C4H6O3/c1-4(7,2-5)3-6/h2-3,7H,1H3 ",C4H6O3,181
PRONO3AO2, [O]OCC(C)ON(=O)=O ," InChI=1S/C3H6NO5/c1-3(2-8-7)9-4(5)6/h3H,2H2,1H3 ",C3H6NO5,182
PRONO3BO2, [O]OC(C)CON(=O)=O ," InChI=1S/C3H6NO5/c1-3(9-7)2-8-4(5)6/h3H,2H2,1H3 ",C3H6NO5,183
CH3CHO, CC=O ," InChI=1S/C2H4O/c1-2-3/h2H,1H3 ",C2H4O,184
CH3CHOOA, [O-][O+]=CC ," InChI=1S/C2H4O2/c1-2-4-3/h2H,1H3 ",C2H4O2,185
HYPROPO2, OCC(C)O[O] ," InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3 ",C3H7O3,186
IPROPOLO2, [O]OCC(C)O ," InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-4H,2H2,1H3 ",C3H7O3,187
CH3CO2H, CC(=O)O ," InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4) ",C2H4O2,188
CH3CO3H, CC(=O)OO ," InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3 ",C2H4O3,189
PAN, CC(=O)OON(=O)=O , InChI=1S/C2H3NO5/c1-2(4)7-8-3(5)6/h1H3 ,C2H3NO5,190
MGLOO, [O-][O+]=CC(=O)C ," InChI=1S/C3H4O3/c1-3(4)2-6-5/h2H,1H3 ",C3H4O3,191
HMVKAOOH, CC(=O)C(O)COO ," InChI=1S/C4H8O4/c1-3(5)4(6)2-8-7/h4,6-7H,2H2,1H3 ",C4H8O4,192
HMVKANO3, O=N(=O)OCC(O)C(=O)C ," InChI=1S/C4H7NO5/c1-3(6)4(7)2-10-5(8)9/h4,7H,2H2,1H3 ",C4H7NO5,193
HMVKAO, CC(=O)C(O)C[O] ," InChI=1S/C4H7O3/c1-3(6)4(7)2-5/h4,7H,2H2,1H3 ",C4H7O3,194
CO2H3CHO, O=CC(O)C(=O)C ," InChI=1S/C4H6O3/c1-3(6)4(7)2-5/h2,4,7H,1H3 ",C4H6O3,195
HO12CO3C4, CC(=O)C(O)CO ," InChI=1S/C4H8O3/c1-3(6)4(7)2-5/h4-5,7H,2H2,1H3 ",C4H8O3,196
MVKNO3, OCC(ON(=O)=O)C(=O)C ," InChI=1S/C4H7NO5/c1-3(7)4(2-6)10-5(8)9/h4,6H,2H2,1H3 ",C4H7NO5,197
HMVKBOOH, OCC(OO)C(=O)C ," InChI=1S/C4H8O4/c1-3(6)4(2-5)8-7/h4-5,7H,2H2,1H3 ",C4H8O4,198
HMVKBO, CC(=O)C([O])CO ," InChI=1S/C4H7O3/c1-3(6)4(7)2-5/h4-5H,2H2,1H3 ",C4H7O3,199
BIACETOH, CC(=O)C(=O)CO ," InChI=1S/C4H6O3/c1-3(6)4(7)2-5/h5H,2H2,1H3 ",C4H6O3,200
MVKOOH, OOCC(=O)C=C ," InChI=1S/C4H6O3/c1-2-4(5)3-7-6/h2,6H,1,3H2 ",C4H6O3,201
MVKO, [O]CC(=O)C=C ," InChI=1S/C4H5O2/c1-2-4(6)3-5/h2H,1,3H2 ",C4H5O2,202
MVKOH, OCC(=O)C=C ," InChI=1S/C4H6O2/c1-2-4(6)3-5/h2,5H,1,3H2 ",C4H6O2,203
VGLYOX, C=CC(=O)C=O ," InChI=1S/C4H4O2/c1-2-4(6)3-5/h2-3H,1H2 ",C4H4O2,204
ISOPAOOH, OOCC=C(C)CO ," InChI=1S/C5H10O3/c1-5(4-6)2-3-8-7/h2,6-7H,3-4H2,1H3 ",C5H10O3,205
CISOPAO, [O]C/C=C(\CO)/C ," InChI=1S/C5H9O2/c1-5(4-7)2-3-6/h2,7H,3-4H2,1H3/b5-2- ",C5H9O2,206
ISOPANO3, OCC(=CCON(=O)=O)C ," InChI=1S/C5H9NO4/c1-5(4-7)2-3-10-6(8)9/h2,7H,3-4H2,1H3 ",C5H9NO4,207
C536O2, OOCC(C(C=O)(O[O])C)OO ," InChI=1S/C5H9O7/c1-5(3-6,12-9)4(11-8)2-10-7/h3-4,7-8H,2H2,1H3 ",C5H9O7,208
