I,J,V
1,1,-1
2,1,1
1,2,-1
2,2,1
1,3,-1
2,3,-1
1,4,-1
3,4,-1
4,4,1
1,5,-1
3,5,1
4,5,-1
1,6,-1
4,6,-1
5,6,1
1,7,1
6,7,-1
1,8,1
6,8,-1
2,9,-1
3,9,-1
4,9,1
2,10,-1
4,10,-1
5,10,1
3,11,-2
4,11,2
3,12,-1
4,12,2
5,12,-1
3,13,1
4,13,1
5,13,-1
4,14,-1
5,14,-1
7,14,1
6,15,-1
8,15,2
2,16,-1
8,16,-1
9,16,1
8,17,-1
9,17,1
10,17,-1
8,18,-1
9,18,1
11,18,-1
8,19,-1
9,19,1
12,19,-1
2,20,-1
8,20,1
9,20,-1
8,21,-1
9,21,-1
9,22,-2
12,22,1
9,23,-2
12,23,1
3,24,-1
8,24,-1
13,24,1
4,25,-1
8,25,-1
14,25,1
4,26,1
5,26,-1
8,26,-1
9,26,1
3,27,-1
4,27,1
8,27,1
9,27,-1
4,28,-1
9,28,-1
15,28,1
4,29,1
8,29,-1
15,29,-1
4,30,1
5,30,-1
8,30,1
9,30,-1
4,31,1
8,31,-1
13,31,-1
5,32,1
8,32,-1
14,32,-1
1,33,-1
16,33,-1
17,33,1
8,34,-1
16,34,-1
18,34,1
9,35,1
17,35,1
18,35,-1
14,36,-1
19,36,1
7,37,-1
19,37,2
17,38,-1
20,38,1
2,39,-1
6,39,1
1,40,1
2,40,-1
8,41,2
12,41,-1
1,42,1
3,42,1
4,42,-1
3,43,1
5,43,-1
1,44,1
4,44,1
5,44,-1
3,45,1
8,45,1
13,45,-1
4,46,1
8,46,1
14,46,-1
4,47,1
5,47,1
7,47,-1
4,48,1
9,48,1
15,48,-1
8,49,-1
9,49,1
21,49,-1
22,49,1
9,50,2
11,50,1
22,50,-1
10,51,1
11,51,1
22,51,-1
5,52,-1
9,52,1
11,52,1
14,52,1
22,52,-1
8,53,-1
9,53,1
11,53,1
22,53,-1
23,54,-1
24,54,-1
25,54,1
8,55,-1
24,55,-1
25,55,1
8,56,-1
26,56,-1
27,56,1
8,57,-1
28,57,-1
29,57,1
8,58,-1
30,58,-1
31,58,1
8,59,-1
32,59,-1
33,59,1
5,60,-1
34,60,-1
35,60,1
2,61,-1
34,61,-1
36,61,1
37,61,1
2,62,-1
34,62,-1
36,62,1
38,62,1
2,63,-1
22,63,1
34,63,-1
39,63,1
2,64,-1
22,64,1
34,64,-1
40,64,1
8,65,-1
34,65,-1
41,65,1
8,66,-1
34,66,-1
42,66,1
8,67,-1
34,67,-1
43,67,1
8,68,-1
9,68,1
34,68,-1
44,68,1
8,69,-1
9,69,1
34,69,-1
45,69,1
8,70,-1
34,70,-1
46,70,1
8,71,-1
34,71,-1
47,71,1
8,72,-1
25,72,1
48,72,-1
8,73,-1
48,73,-1
49,73,1
8,74,-1
50,74,-1
51,74,1
8,75,-1
50,75,-1
52,75,1
5,76,-1
14,76,1
53,76,-1
54,76,1
8,77,-1
53,77,-1
54,77,1
8,78,-1
55,78,-1
56,78,1
8,79,-1
9,79,1
57,79,-1
5,80,-1
14,80,1
58,80,-1
59,80,1
8,81,-1
58,81,-1
59,81,1
8,82,-1
58,82,-1
60,82,1
9,83,-1
25,83,-1
61,83,1
9,84,-1
22,84,1
25,84,-1
3,85,-1
25,85,-1
62,85,1
3,86,-1
4,86,1
25,86,-1
63,86,1
4,87,-1
25,87,-1
64,87,1
4,88,1
5,88,-1
25,88,-1
63,88,1
25,89,-1
63,89,1
21,90,1
25,90,-1
22,91,1
25,91,-1
9,92,-1
27,92,-1
65,92,1
9,93,-1
27,93,-1
66,93,1
3,94,-1
4,94,1
27,94,-1
67,94,1
4,95,1
5,95,-1
27,95,-1
67,95,1
27,96,-1
67,96,1
27,97,-1
68,97,1
27,98,-1
66,98,1
9,99,-1
29,99,-1
69,99,1
3,100,-1
4,100,1
29,100,-1
70,100,1
4,101,1
5,101,-1
29,101,-1
70,101,1
29,102,-1
70,102,1
29,103,-1
71,103,1
29,104,-1
72,104,1
9,105,-1
31,105,-1
73,105,1
3,106,-1
4,106,1
31,106,-1
