I,J,V
74,106,1
4,107,1
5,107,-1
31,107,-1
74,107,1
31,108,-1
74,108,1
31,109,-1
75,109,1
9,110,-1
33,110,-1
76,110,1
3,111,-1
4,111,1
33,111,-1
77,111,1
4,112,1
5,112,-1
33,112,-1
77,112,1
33,113,-1
77,113,1
33,114,-1
78,114,1
33,115,-1
79,115,1
9,116,-1
35,116,-1
80,116,1
3,117,-1
35,117,-1
81,117,1
3,118,-1
4,118,1
35,118,-1
82,118,1
4,119,1
5,119,-1
35,119,-1
82,119,1
35,120,-1
83,120,1
35,121,-1
84,121,1
35,122,-1
82,122,1
36,123,-1
85,123,1
11,124,1
36,124,-1
8,125,1
9,125,1
11,125,1
36,125,-1
9,126,1
11,126,1
37,126,-1
86,126,1
9,127,1
37,127,-1
87,127,1
5,128,-1
14,128,1
37,128,-1
87,128,1
2,129,-1
22,129,1
37,129,-1
88,129,1
2,130,-1
37,130,-1
89,130,1
90,130,1
8,131,-1
37,131,-1
87,131,1
8,132,-1
37,132,-1
91,132,1
8,133,-1
37,133,-1
92,133,1
11,134,1
38,134,-1
93,134,1
9,135,1
11,135,1
22,135,1
38,135,-1
94,135,1
2,136,-1
22,136,1
38,136,-1
95,136,1
2,137,-1
38,137,-1
89,137,1
96,137,1
8,138,-1
38,138,-1
97,138,1
8,139,-1
38,139,-1
98,139,1
39,140,-1
93,140,1
9,141,1
22,141,1
39,141,-1
94,141,1
39,142,-1
99,142,1
8,143,1
11,143,1
22,143,1
39,143,-1
94,143,1
40,144,-1
93,144,1
9,145,1
11,145,1
22,145,1
25,145,1
40,145,-1
40,146,-1
100,146,1
8,147,1
40,147,-1
101,147,1
41,148,-1
102,148,1
41,149,-1
103,149,1
42,150,-1
104,150,1
42,151,-1
105,151,1
9,152,-1
43,152,-1
106,152,1
3,153,-1
43,153,-1
107,153,1
3,154,-1
4,154,1
43,154,-1
108,154,1
4,155,1
5,155,-1
43,155,-1
108,155,1
43,156,-1
109,156,1
43,157,-1
108,157,1
43,158,-1
110,158,1
5,159,-1
44,159,-1
111,159,1
2,160,-1
44,160,-1
112,160,1
113,160,1
2,161,-1
22,161,1
44,161,-1
114,161,1
8,162,-1
44,162,-1
115,162,1
8,163,-1
44,163,-1
116,163,1
9,164,1
11,164,1
44,164,-1
117,164,1
5,165,-1
45,165,-1
118,165,1
2,166,-1
45,166,-1
96,166,1
113,166,1
2,167,-1
22,167,1
45,167,-1
119,167,1
8,168,-1
45,168,-1
120,168,1
45,169,-1
94,169,1
121,169,1
46,170,-1
122,170,1
46,171,-1
103,171,1
47,172,-1
123,172,1
47,173,-1
105,173,1
9,174,-1
49,174,-1
124,174,1
3,175,-1
49,175,-1
125,175,1
3,176,-1
4,176,1
49,176,-1
126,176,1
4,177,1
5,177,-1
49,177,-1
126,177,1
49,178,-1
126,178,1
49,179,-1
127,179,1
49,180,-1
128,180,1
9,181,-1
51,181,-1
129,181,1
9,182,-1
51,182,-1
130,182,1
3,183,-1
51,183,-1
131,183,1
3,184,-1
4,184,1
51,184,-1
132,184,1
4,185,1
5,185,-1
51,185,-1
132,185,1
51,186,-1
129,186,1
51,187,-1
133,187,1
51,188,-1
132,188,1
9,189,-1
52,189,-1
134,189,1
3,190,-1
4,190,1
52,190,-1
135,190,1
4,191,1
5,191,-1
52,191,-1
135,191,1
52,192,-1
135,192,1
52,193,-1
136,193,1
52,194,-1
137,194,1
9,195,-1
54,195,-1
138,195,1
9,196,-1
48,196,1
54,196,-1
3,197,-1
54,197,-1
139,197,1
3,198,-1
4,198,1
54,198,-1
140,198,1
4,199,1
5,199,-1
54,199,-1
140,199,1
54,200,-1
140,200,1
54,201,-1
141,201,1
48,202,1
54,202,-1
9,203,-1
56,203,-1
142,203,1
3,204,-1
4,204,1
56,204,-1
143,204,1
4,205,1
5,205,-1
56,205,-1
143,205,1
56,206,-1
143,206,1
56,207,-1
144,207,1
56,208,-1
145,208,1
9,209,-1
59,209,-1
146,209,1
3,210,-1
59,210,-1
147,210,1
3,211,-1
4,211,1
59,211,-1
148,211,1
4,212,1
5,212,-1
59,212,-1
148,212,1
59,213,-1
148,213,1
59,214,-1
149,214,1
59,215,-1
150,215,1
9,216,-1
60,216,-1
151,216,1
3,217,-1
60,217,-1
152,217,1
3,218,-1
4,218,1
60,218,-1
153,218,1
4,219,1
5,219,-1
60,219,-1
153,219,1
60,220,-1
154,220,1
60,221,-1
153,221,1
60,222,-1
155,222,1
8,223,1
61,223,-1
63,223,1
8,224,-1
25,224,1
61,224,-1
8,225,1
22,225,1
61,225,-1
4,226,1
62,226,-1
63,226,1
4,227,1
8,227,-1
22,227,1
62,227,-1
9,228,1
22,228,1
63,228,-1
4,229,1
25,229,1
64,229,-1
8,230,-1
27,230,1
65,230,-1
8,231,1
65,231,-1
66,231,1
8,232,1
65,232,-1
67,232,1
5,233,-1
11,233,1
14,233,1
23,233,1
66,233,-1
8,234,-1
11,234,1
23,234,1
66,234,-1
9,235,1
11,235,1
23,235,1
66,235,-1
9,236,1
66,236,1
67,236,-1
8,237,-1
9,237,1
66,237,1
68,237,-1
8,238,-1
29,238,1
69,238,-1
8,239,1
69,239,-1
72,239,1
8,240,1
69,240,-1
70,240,1
23,241,1
66,241,1
70,241,-1
8,242,-1
9,242,1
71,242,-1
72,242,1
11,243,1
23,243,2
72,243,-1
8,244,-1
31,244,1
73,244,-1
8,245,1
73,245,-1
74,245,1
23,246,1
72,246,1
74,246,-1
8,247,-1
74,247,1
75,247,-1
8,248,-1
33,248,1
76,248,-1
8,249,1
76,249,-1
79,249,1
8,250,1
76,250,-1
77,250,1
9,251,1
77,251,-1
79,251,1
8,252,-1
9,252,1
78,252,-1
79,252,1
5,253,-1
14,253,1
79,253,-1
156,253,1
8,254,-1
79,254,-1
156,254,1
9,255,1
11,255,1
31,255,1
79,255,-1
8,256,1
80,256,-1
82,256,1
8,257,1
80,257,-1
84,257,1
4,258,1
81,258,-1
82,258,1
4,259,1
8,259,-1
81,259,-1
84,259,1
9,260,1
82,260,-1
84,260,1
4,261,1
83,261,-1
157,261,1
2,262,-1
83,262,-1
158,262,1
159,262,1
2,263,-1
83,263,-1
160,263,1
161,263,1
8,264,-1
83,264,-1
162,264,1
4,265,1
9,265,1
11,265,2
84,265,-1
163,265,1
4,266,1
8,266,1
11,266,1
84,266,-1
164,266,1
5,267,-1
14,267,1
84,267,-1
165,267,1
2,268,-1
84,268,-1
159,268,1
166,268,1
2,269,-1
84,269,-1
167,269,1
168,269,1
8,270,-1
84,270,-1
169,270,1
8,271,-1
84,271,-1
165,271,1
11,272,-1
22,272,1
85,272,-1
3,273,-1
4,273,1
22,273,1
85,273,-1
4,274,-1
5,274,1
22,274,1
85,274,-1
16,275,-1
17,275,1
22,275,1
85,275,-1
12,276,1
22,276,1
85,276,-1
57,277,1
85,277,-1
22,278,1
86,278,-1
94,278,1
11,279,1
22,279,1
25,279,1
86,279,-1
8,280,1
9,280,-1
86,280,1
87,280,-1
2,281,1
9,281,-1
87,281,-1
170,281,1
9,282,-1
87,282,-1
171,282,1
3,283,-1
4,283,1
86,283,1
87,283,-1
4,284,-1
87,284,-1
172,284,1
4,285,1
5,285,-1
86,285,1
87,285,-1
86,286,1
87,286,-1
87,287,-1
170,287,1
88,288,-1
173,288,1
8,289,1
11,289,1
88,289,-1
94,289,1
9,290,1
11,290,1
89,290,-1
94,290,1
5,291,-1
11,291,1
14,291,1
89,291,-1
94,291,1
8,292,-1
11,292,1
89,292,-1
94,292,1
85,293,1
90,293,-1
11,294,1
90,294,-1
8,295,1
9,295,1
11,295,1
90,295,-1
9,296,-1
91,296,-1
174,296,1
3,297,-1
91,297,-1
175,297,1
3,298,-1
4,298,1
91,298,-1
176,298,1
4,299,1
5,299,-1
91,299,-1
176,299,1
8,300,1
11,300,1
91,300,-1
163,300,1
91,301,-1
176,301,1
91,302,-1
177,302,1
9,303,-1
92,303,-1
178,303,1
3,304,-1
92,304,-1
179,304,1
3,305,-1
4,305,1
92,305,-1
180,305,1
4,306,1
5,306,-1
92,306,-1
180,306,1
92,307,-1
181,307,1
92,308,-1
177,308,1
92,309,-1
180,309,1
5,310,-1
93,310,-1
182,310,1
5,311,-1
93,311,-1
183,311,1
2,312,-1
93,312,-1
96,312,1
184,312,1
2,313,-1
22,313,1
93,313,-1
185,313,1
8,314,-1
93,314,-1
186,314,1
8,315,-1
93,315,-1
187,315,1
2,316,1
9,316,-1
94,316,-1
188,316,1
9,317,-1
94,317,-1
189,317,1
8,318,1
9,318,-1
25,318,1
94,318,-1
3,319,-1
4,319,1
25,319,1
94,319,-1
4,320,-1
94,320,-1
190,320,1
4,321,1
5,321,-1
25,321,1
94,321,-1
94,322,-1
188,322,1
25,323,1
94,323,-1
95,324,-1
184,324,1
9,325,1
22,325,1
94,325,1
95,325,-1
95,326,-1
191,326,1
8,327,1
11,327,1
94,327,1
95,327,-1
85,328,1
96,328,-1
11,329,1
96,329,-1
8,330,1
9,330,1
11,330,1
96,330,-1
9,331,-1
97,331,-1
192,331,1
3,332,-1
97,332,-1
193,332,1
3,333,-1
4,333,1
97,333,-1
194,333,1
4,334,1
5,334,-1
97,334,-1
194,334,1
97,335,-1
195,335,1
97,336,-1
194,336,1
97,337,-1
196,337,1
3,338,-1
98,338,-1
197,338,1
9,339,-1
98,339,-1
198,339,1
3,340,-1
4,340,1
98,340,-1
199,340,1
4,341,1
5,341,-1
98,341,-1
199,341,1
98,342,-1
200,342,1
98,343,-1
199,343,1
98,344,-1
196,344,1
11,345,-1
37,345,1
99,345,-1
3,346,-1
4,346,1
37,346,1
99,346,-1
4,347,-1
5,347,1
37,347,1
99,347,-1
16,348,-1
17,348,1
37,348,1
99,348,-1
99,349,-1
170,349,1
12,350,1
37,350,1
99,350,-1
11,351,-1
38,351,1
100,351,-1
3,352,-1
4,352,1
38,352,1
100,352,-1
4,353,-1
5,353,1
38,353,1
100,353,-1
16,354,-1
17,354,1
38,354,1
100,354,-1
12,355,1
38,355,1
100,355,-1
9,356,-1
101,356,-1
201,356,1
3,357,-1
4,357,1
101,357,-1
202,357,1
4,358,1
5,358,-1
101,358,-1
202,358,1
101,359,-1
202,359,1
101,360,-1
203,360,1
101,361,-1
204,361,1
9,362,-1
102,362,-1
205,362,1
3,363,-1
4,363,1
102,363,-1
206,363,1
3,364,-1
102,364,-1
207,364,1
4,365,1
5,365,-1
102,365,-1
206,365,1
102,366,-1
208,366,1
9,367,1
102,367,-1
209,367,1
41,368,1
102,368,-1
102,369,-1
206,369,1
102,370,-1
210,370,1
102,371,-1
211,371,1
9,372,-1
103,372,-1
212,372,1
3,373,-1
103,373,-1
213,373,1
3,374,-1
4,374,1
103,374,-1
214,374,1
4,375,1
5,375,-1
103,375,-1
214,375,1
41,376,1
103,376,-1
103,377,-1
214,377,1
103,378,-1
215,378,1
8,379,1
22,379,1
38,379,1
103,379,-1
46,380,1
103,380,-1
9,381,-1
104,381,-1
216,381,1
3,382,-1
4,382,1
104,382,-1
157,382,1
3,383,-1
83,383,1
104,383,-1
4,384,1
5,384,-1
104,384,-1
157,384,1
104,385,-1
217,385,1
9,386,1
104,386,-1
218,386,1
42,387,1
104,387,-1
104,388,-1
157,388,1
104,389,-1
219,389,1
104,390,-1
211,390,1
9,391,-1
105,391,-1
220,391,1
3,392,-1
105,392,-1
221,392,1
3,393,-1
4,393,1
105,393,-1
222,393,1
4,394,1
5,394,-1
105,394,-1
222,394,1
42,395,1
105,395,-1
105,396,-1
223,396,1
105,397,-1
222,397,1
105,398,-1
110,398,1
8,399,1
22,399,1
37,399,1
105,399,-1
47,400,1
105,400,-1
8,401,1
106,401,-1
109,401,1
8,402,1
106,402,-1
108,402,1
8,403,-1
107,403,-1
224,403,1
2,404,-1
107,404,-1
112,404,1
193,404,1
2,405,-1
22,405,1
107,405,-1
225,405,1
9,406,1
22,406,1
37,406,1
108,406,-1
8,407,-1
109,407,-1
226,407,1
8,408,-1
109,408,-1
227,408,1
9,409,2
11,409,1
37,409,1
109,409,-1
8,410,-1
9,410,1
110,410,-1
223,410,1
9,411,-1
111,411,-1
228,411,1
3,412,-1
4,412,1
111,412,-1
229,412,1
4,413,1
5,413,-1
111,413,-1
229,413,1
111,414,-1
229,414,1
85,415,1
112,415,-1
8,416,1
9,416,1
11,416,1
112,416,-1
5,417,-1
14,417,1
113,417,-1
230,417,1
8,418,-1
113,418,-1
230,418,1
22,419,1
113,419,-1
231,419,1
8,420,1
114,420,-1
232,420,1
114,421,-1
233,421,1
9,422,-1
115,422,-1
234,422,1
3,423,-1
115,423,-1
235,423,1
3,424,-1
4,424,1
115,424,-1
236,424,1
4,425,1
5,425,-1
115,425,-1
236,425,1
115,426,-1
236,426,1
4,427,1
8,427,1
9,427,-1
116,427,-1
117,427,1
9,428,-1
116,428,-1
237,428,1
3,429,-1
4,429,1
116,429,-1
117,429,1
4,430,-1
116,430,-1
238,430,1
4,431,1
5,431,-1
116,431,-1
117,431,1
116,432,-1
117,432,1
9,433,-1
117,433,-1
239,433,1
3,434,-1
117,434,-1
240,434,1
3,435,-1
4,435,1
117,435,-1
241,435,1
4,436,1
5,436,-1
117,436,-1
241,436,1
117,437,-1
241,437,1
9,438,-1
118,438,-1
242,438,1
3,439,-1
4,439,1
118,439,-1
243,439,1
4,440,1
5,440,-1
118,440,-1
243,440,1
118,441,-1
243,441,1
8,442,1
119,442,-1
232,442,1
9,443,1
119,443,-1
231,443,1
119,444,-1
244,444,1
119,445,-1
233,445,1
9,446,-1
120,446,-1
245,446,1
3,447,-1
120,447,-1
246,447,1
3,448,-1
4,448,1
120,448,-1
247,448,1
4,449,1
5,449,-1
120,449,-1
247,449,1
120,450,-1
247,450,1
120,451,-1
248,451,1
120,452,-1
249,452,1
9,453,-1
121,453,-1
250,453,1
3,454,-1
121,454,-1
251,454,1
3,455,-1
4,455,1
121,455,-1
252,455,1
4,456,1
5,456,-1
121,456,-1
252,456,1
121,457,-1
253,457,1
121,458,-1
254,458,1
121,459,-1
252,459,1
9,460,-1
122,460,-1
205,460,1
3,461,-1
122,461,-1
207,461,1
3,462,-1
4,462,1
122,462,-1
255,462,1
4,463,1
5,463,-1
122,463,-1
255,463,1
122,464,-1
210,464,1
122,465,-1
255,465,1
122,466,-1
211,466,1
46,467,1
122,467,-1
9,468,-1
123,468,-1
216,468,1
3,469,-1
4,469,1
123,469,-1
157,469,1
3,470,-1
83,470,1
123,470,-1
4,471,1
5,471,-1
123,471,-1
157,471,1
123,472,-1
157,472,1
123,473,-1
219,473,1
123,474,-1
211,474,1
47,475,1
123,475,-1
8,476,-1
49,476,1
124,476,-1
8,477,1
124,477,-1
128,477,1
8,478,1
124,478,-1
126,478,1
4,479,1
8,479,-1
125,479,-1
128,479,1
4,480,1
125,480,-1
126,480,1
9,481,1
126,481,-1
128,481,1
9,482,1
11,482,1
57,482,1
126,482,-1
8,483,-1
9,483,1
127,483,-1
128,483,1
8,484,-1
9,484,1
11,484,1
128,484,-1
8,485,-1
94,485,1
129,485,-1
8,486,1
129,486,1
130,486,-1
8,487,-1
51,487,1
130,487,-1
8,488,1
130,488,-1
132,488,1
4,489,1
8,489,-1
129,489,1
131,489,-1
4,490,1
131,490,-1
132,490,1
22,491,1
25,491,1
132,491,-1
8,492,-1
9,492,1
129,492,1
133,492,-1
8,493,-1
52,493,1
134,493,-1
8,494,1
134,494,-1
137,494,1
8,495,1
134,495,-1
135,495,1
25,496,1
135,496,-1
8,497,-1
9,497,1
136,497,-1
137,497,1
8,498,-1
137,498,-1
256,498,1
9,499,1
11,499,1
25,499,1
137,499,-1
8,500,1
48,500,1
138,500,-1
8,501,1
138,501,-1
140,501,1
4,502,1
8,502,-1
48,502,1
139,502,-1
4,503,1
139,503,-1
140,503,1
9,504,1
48,504,1
140,504,-1
8,505,-1
9,505,1
48,505,1
141,505,-1
8,506,-1
56,506,1
142,506,-1
8,507,1
142,507,-1
145,507,1
8,508,1
142,508,-1
143,508,1
9,509,1
143,509,-1
145,509,1
8,510,-1
9,510,1
144,510,-1
145,510,1
5,511,-1
11,511,1
14,511,1
145,511,-1
257,511,1
8,512,-1
11,512,1
145,512,-1
257,512,1
9,513,1
11,513,1
145,513,-1
257,513,1
8,514,1
146,514,-1
150,514,1
8,515,1
146,515,-1
148,515,1
4,516,1
8,516,-1
147,516,-1
150,516,1
4,517,1
147,517,-1
148,517,1
9,518,1
148,518,-1
150,518,1
8,519,-1
9,519,1
149,519,-1
150,519,1
8,520,-1
150,520,-1
258,520,1
8,521,1
151,521,-1
154,521,1
8,522,1
151,522,-1
153,522,1
4,523,1
8,523,-1
152,523,-1
154,523,1
4,524,1
152,524,-1
153,524,1
9,525,1
153,525,-1
154,525,1
8,526,-1
154,526,-1
259,526,1
8,527,-1
9,527,1
154,527,1
155,527,-1
9,528,-1
156,528,-1
260,528,1
8,529,1
9,529,-1
31,529,1
156,529,-1
3,530,-1
4,530,1
31,530,1
156,530,-1
4,531,-1
156,531,-1
261,531,1
4,532,1
5,532,-1
31,532,1
156,532,-1
31,533,1
156,533,-1
157,534,-1
262,534,1
9,535,1
157,535,-1
210,535,1
9,536,1
157,536,-1
263,536,1
158,537,-1
264,537,1
8,538,1
9,538,1
158,538,-1
168,538,1
4,539,1
8,539,-1
89,539,1
159,539,-1
4,540,1
159,540,-1
265,540,1
5,541,-1
14,541,1
160,541,-1
266,541,1
8,542,-1
9,542,1
160,542,-1
168,542,1
8,543,-1
160,543,-1
266,543,1
9,544,2
11,544,1
22,544,1
160,544,-1
161,545,-1
267,545,1
4,546,1
8,546,1
89,546,1
161,546,-1
9,547,-1
162,547,-1
268,547,1
3,548,-1
162,548,-1
269,548,1
3,549,-1
4,549,1
162,549,-1
270,549,1
4,550,1
5,550,-1
162,550,-1
270,550,1
162,551,-1
271,551,1
162,552,-1
270,552,1
162,553,-1
272,553,1
8,554,-1
9,554,1
89,554,1
163,554,-1
9,555,1
22,555,1
94,555,1
163,555,-1
8,556,-1
9,556,1
164,556,-1
181,556,1
8,557,1
9,557,1
11,557,1
89,557,1
164,557,-1
2,558,1
9,558,-1
165,558,-1
273,558,1
9,559,-1
165,559,-1
274,559,1
8,560,1
9,560,1
11,560,1
159,560,1
165,560,-1
3,561,-1
4,561,1
9,561,1
11,561,1
159,561,1
165,561,-1
4,562,-1
165,562,-1
275,562,1
4,563,1
5,563,-1
9,563,1
11,563,1
159,563,1
165,563,-1
165,564,-1
273,564,1
9,565,1
11,565,1
159,565,1
165,565,-1
166,566,-1
276,566,1
8,567,1
9,567,1
11,567,2
166,567,-1
167,568,-1
277,568,1
4,569,1
8,569,1
89,569,1
167,569,-1
10,570,1
11,570,2
168,570,-1
9,571,2
11,571,2
168,571,-1
11,572,1
22,572,1
168,572,-1
5,573,-1
14,573,1
168,573,-1
278,573,1
8,574,-1
168,574,-1
278,574,1
9,575,-1
169,575,-1
279,575,1
3,576,-1
4,576,1
169,576,-1
280,576,1
4,577,1
5,577,-1
169,577,-1
280,577,1
169,578,-1
280,578,1
169,579,-1
281,579,1
8,580,-1
86,580,1
170,580,-1
8,581,1
86,581,1
171,581,-1
8,582,1
11,582,1
163,582,1
171,582,-1
8,583,1
171,583,-1
282,583,1
8,584,-1
87,584,1
171,584,-1
4,585,1
87,585,1
172,585,-1
2,586,-1
5,586,1
22,586,1
94,586,1
172,586,-1
5,587,1
8,587,-1
11,587,1
163,587,1
172,587,-1
5,588,1
8,588,-1
172,588,-1
282,588,1
5,589,1
8,589,-1
172,589,-1
283,589,1
11,590,-1
89,590,1
173,590,-1
3,591,-1
4,591,1
89,591,1
173,591,-1
4,592,-1
5,592,1
89,592,1
173,592,-1
16,593,-1
17,593,1
89,593,1
173,593,-1
12,594,1
89,594,1
173,594,-1
8,595,1
9,595,1
11,595,1
163,595,1
174,595,-1
8,596,1
174,596,-1
176,596,1
8,597,1
11,597,1
163,597,1
174,597,-1
8,598,-1
9,598,1
175,598,-1
284,598,1
8,599,-1
175,599,-1
285,599,1
4,600,1
9,600,1
11,600,1
163,600,1
175,600,-1
9,601,1
11,601,1
163,601,1
176,601,-1
9,602,2
11,602,1
163,602,1
177,602,-1
8,603,-1
9,603,1
177,603,-1
181,603,1
8,604,1
178,604,-1
181,604,1
8,605,1
9,605,1
11,605,1
178,605,-1
286,605,1
8,606,1
178,606,-1
180,606,1
4,607,1
9,607,1
179,607,-1
181,607,1
8,608,-1
179,608,-1
287,608,1
9,609,1
22,609,1
89,609,1
180,609,-1
8,610,-1
181,610,-1
288,610,1
9,611,2
11,611,1
89,611,1
181,611,-1
9,612,-1
182,612,-1
289,612,1
3,613,-1
4,613,1
182,613,-1
290,613,1
4,614,1
5,614,-1
182,614,-1
290,614,1
182,615,-1
291,615,1
182,616,-1
290,616,1
182,617,-1
292,617,1
9,618,-1
183,618,-1
293,618,1
3,619,-1
4,619,1
183,619,-1
294,619,1
4,620,1
5,620,-1
183,620,-1
294,620,1
159,621,1
183,621,-1
183,622,-1
295,622,1
183,623,-1
294,623,1
9,624,1
11,624,1
25,624,1
184,624,-1
5,625,-1
14,625,1
94,625,1
184,625,-1
8,626,-1
94,626,1
184,626,-1
8,627,-1
184,627,-1
296,627,1
185,628,-1
297,628,1
8,629,1
11,629,1
25,629,1
185,629,-1
9,630,1
25,630,1
185,630,-1
24,631,1
185,631,-1
9,632,-1
186,632,-1
298,632,1
4,633,1
5,633,-1
186,633,-1
299,633,1
163,634,1
186,634,-1
186,635,-1
299,635,1
186,636,-1
300,636,1
3,637,-1
4,637,1
186,637,-1
299,637,1
3,638,-1
186,638,-1
292,638,1
9,639,-1
187,639,-1
301,639,1
3,640,-1
4,640,1
187,640,-1
302,640,1
3,641,-1
187,641,-1
295,641,1
4,642,1
5,642,-1
187,642,-1
302,642,1
187,643,-1
303,643,1
187,644,-1
302,644,1
187,645,-1
300,645,1
8,646,-1
25,646,1
188,646,-1
8,647,-1
94,647,1
189,647,-1
8,648,1
25,648,1
189,648,-1
4,649,1
8,649,-1
11,649,1
22,649,1
190,649,-1
4,650,1
94,650,1
190,650,-1
11,651,-1
89,651,1
191,651,-1
3,652,-1
4,652,1
89,652,1
191,652,-1
4,653,-1
5,653,1
89,653,1
191,653,-1
16,654,-1
17,654,1
89,654,1
191,654,-1
191,655,-1
304,655,1
12,656,1
89,656,1
191,656,-1
8,657,1
192,657,-1
194,657,1
8,658,1
192,658,-1
195,658,1
4,659,1
193,659,-1
194,659,1
4,660,1
8,660,-1
193,660,-1
195,660,1
9,661,1
22,661,1
89,661,1
194,661,-1
9,662,2
11,662,1
89,662,1
195,662,-1
5,663,-1
14,663,1
195,663,-1
305,663,1
8,664,-1
195,664,-1
305,664,1
9,665,1
94,665,1
160,665,1
196,665,-1
8,666,-1
9,666,1
196,666,-1
200,666,1
4,667,1
8,667,-1
197,667,-1
200,667,1
8,668,-1
9,668,1
197,668,-1
306,668,1
4,669,1
94,669,1
160,669,1
197,669,-1
8,670,1
198,670,-1
199,670,1
8,671,1
198,671,-1
200,671,1
94,672,1
160,672,1
199,672,-1
94,673,1
200,673,-1
266,673,1
8,674,-1
9,674,1
200,674,-1
307,674,1
8,675,1
22,675,1
201,675,-1
308,675,1
8,676,1
201,676,-1
202,676,1
8,677,-1
101,677,1
201,677,-1
8,678,1
201,678,-1
204,678,1
22,679,1
202,679,-1
308,679,1
2,680,-1
22,680,1
203,680,-1
309,680,1
2,681,-1
96,681,1
203,681,-1
310,681,1
8,682,-1
203,682,-1
311,682,1
8,683,-1
203,683,-1
312,683,1
11,684,1
203,684,-1
254,684,1
9,685,1
11,685,1
22,685,1
203,685,-1
266,685,1
5,686,-1
11,686,1
14,686,1
204,686,-1
308,686,1
8,687,-1
