J_1,J_2,J_3,J_4,J_5,J_6,J_7,J_8,J_11,J_12,J_13,J_14,J_15,J_16,J_17,J_18,J_19,J_20,J_21,J_22,J_23,J_24,J_31,J_32,J_33,J_34,J_35,J_41,J_51,J_52,J_53,J_54,J_55,J_56,w_ap,t
7.764050869846702e-15,5.286644499361255e-15,9.933272451966725e-17,4.592552081171806e-15,0.0,2.2077095588457538e-12,1.9243411007629194e-15,1.3156251525964412e-17,2.7506973661126716e-17,2.5218354277955e-17,3.676006803969861e-17,5.560245618203064e-17,9.638042230467787e-18,4.589543919270381e-18,5.459248342709634e-17,3.8395658860990815e-19,3.8395658860990815e-19,1.9690081467174882e-16,3.332789625088358e-17,3.570249352373134e-18,2.4894303960558635e-18,2.4894303960558635e-18,1.1731366425087159e-17,8.090273949174662e-17,2.85734310334458e-17,1.0580371968805529e-16,6.261290155150756e-16,4.384333494161323e-18,1.9936466409391166e-17,2.334873020817896e-18,1.885905137817645e-16,2.2558193064307246e-16,2.233433929198813e-17,8.181547446219671e-17,false,-180.0
9.259572389477969e-15,5.4403375637420485e-15,1.2175542932858482e-16,4.696595726988704e-15,0.0,2.2041802906958016e-12,2.2065562621044572e-15,1.5031732124902356e-17,3.037330131143045e-17,2.7078249940656824e-17,4.127913306314497e-17,6.19573692484921e-17,1.0539385094747141e-17,5.018754807022458e-18,6.018001348404602e-17,4.023650837257277e-19,4.023650837257277e-19,2.0634106857729685e-16,3.935864630725668e-17,3.983207713234701e-18,2.7125330089378912e-18,2.7125330089378912e-18,1.2914231064519013e-17,8.285384217479111e-17,3.072347018684982e-17,1.1602443125075028e-16,6.264812775852791e-16,4.689602141401319e-18,2.2961054816900856e-17,2.6002316798170688e-18,2.367019763056688e-16,2.8291173601339856e-16,2.3802797026903316e-17,9.326716198800939e-17,false,-165.0
1.1071387388964576e-14,5.635045043200362e-15,1.4555944382834362e-16,4.795323706343172e-15,0.0,2.2040352534534977e-12,2.501009355366352e-15,1.7634992331421815e-17,3.364070193931259e-17,2.9065156323464515e-17,5.172833177180638e-17,7.37933020829142e-17,1.1385398165941072e-17,5.421618174257653e-18,6.930492739736206e-17,4.1772890432729406e-19,4.1772890432729406e-19,2.142199509370741e-16,4.965537904756764e-17,4.553480771668328e-18,3.0990466375887845e-18,3.0990466375887845e-18,1.46140515011702e-17,8.5263390607995e-17,3.3563512738056576e-17,1.2602215394589833e-16,6.270129273381557e-16,4.9811781279667335e-18,2.7027586012054756e-17,2.8802032265896246e-18,2.848467927126972e-16,3.3994992640163765e-16,2.7650971762525433e-17,1.0888431586043618e-16,false,-150.0
1.3622549239757633e-14,5.906619842979807e-15,1.805201002867282e-16,5.0757177275041474e-15,0.0,2.202196310799712e-12,2.943553899562018e-15,2.1246210970318587e-17,3.818423942853212e-17,3.271322068183305e-17,6.042855543168735e-17,8.574985519483283e-17,1.2791589670089318e-17,6.0912331762329965e-18,8.047752859166651e-17,4.540186184191941e-19,4.540186184191941e-19,2.3283006072779185e-16,6.014285601926472e-17,5.134805557414875e-18,3.642274807718445e-18,3.642274807718445e-18,1.6989145613739546e-17,8.964506259393501e-17,3.791043089964165e-17,1.4291756742881167e-16,6.293111678509166e-16,5.504536386946649e-18,3.272850833902601e-17,3.2913737168511297e-18,3.579285468987518e-16,4.259876671855619e-16,3.1961689126307295e-17,1.298602700839366e-16,false,-135.0
1.3374829205743157e-14,6.0238519460353885e-15,1.782993270524657e-16,5.11340427549813e-15,0.0,2.276025654177335e-12,2.986392295884383e-15,2.085059535564686e-17,3.752527270903897e-17,3.190285930822233e-17,6.046625202784177e-17,8.477669965579112e-17,1.245090057406618e-17,5.9290002733648645e-18,7.8861375961427e-17,4.504666960867966e-19,4.504666960867966e-19,2.310085620957926e-16,5.974473122102083e-17,5.092668085994112e-18,3.522245778183893e-18,3.522245778183893e-18,1.662223244978071e-17,9.044531697010749e-17,3.7144106093923215e-17,1.447386711160266e-16,6.487653634009945e-16,5.394876246595639e-18,3.210282885804631e-17,3.1853134542358958e-18,3.492101755991061e-16,4.161736383445058e-16,3.113467268237087e-17,1.2734612381067102e-16,false,-120.0
1.4390177968779153e-14,6.245355466435132e-15,1.9274906161305454e-16,5.308123677796593e-15,0.0,2.3327678352938256e-12,3.1702044106158216e-15,2.2316141252941237e-17,3.9562321031216297e-17,3.38478784069321e-17,6.479346847336849e-17,9.078574353147902e-17,1.3025832044907867e-17,6.202777164241858e-18,8.4593147261935e-17,4.707979841118486e-19,4.707979841118486e-19,2.414348636471019e-16,6.473736637355236e-17,5.349752868567752e-18,3.770290291628698e-18,3.770290291628698e-18,1.7714358532984633e-17,9.373596691637798e-17,3.918055079170554e-17,1.549876009224635e-16,6.644542586279879e-16,5.6433094475930055e-18,3.434246170848291e-17,3.3797529902526977e-18,3.7638862249641393e-16,4.476758005630046e-16,3.4167326317258746e-17,1.35442646758417e-16,false,-105.0
1.5271721687796603e-14,6.338101724960359e-15,2.0499305903847462e-16,5.372457268952237e-15,0.0,2.3315562924363805e-12,3.331112821862064e-15,2.3476427785644245e-17,4.1018891956956807e-17,3.4745206116398546e-17,6.838606735426121e-17,9.540289236886848e-17,1.3451618062424057e-17,6.40553241067812e-18,8.874834980418767e-17,4.821324684297864e-19,4.821324684297864e-19,2.472474197075839e-16,6.830478070697763e-17,5.474081852112368e-18,3.9555307401826024e-18,3.9555307401826024e-18,1.8534764853367026e-17,9.514480388932886e-17,4.070604397655415e-17,1.6012147621982763e-16,6.650147601823414e-16,5.794271484300808e-18,3.615700753527444e-17,3.503438230932734e-18,4.054060827170941e-16,4.816595255592263e-16,3.567172676480467e-17,1.43047485817373e-16,false,-90.0
1.6763771253072216e-14,6.493627543051857e-15,2.190979045672177e-16,5.5615457595423406e-15,0.0,2.3309396009658415e-12,3.637355079045316e-15,2.5988887146835667e-17,4.3871570937464205e-17,3.677544020288967e-17,7.567658348180043e-17,1.0479940340003604e-16,1.4452829996901917e-17,6.88229999852475e-18,9.683768803960338e-17,5.022199373651666e-19,5.022199373651666e-19,2.5754868582829286e-16,7.61553412319599e-17,5.906910689592565e-18,4.2935267692188194e-18,4.2935267692188194e-18,2.0191586542155535e-17,9.795488580853108e-17,4.363506258172836e-17,1.7110515107976948e-16,6.6656443339224e-16,6.168204551441263e-18,4.011586656634807e-17,3.8555465284080526e-18,4.3846334369681226e-16,5.211607222147644e-16,3.8937141295763424e-17,1.5670822663043072e-16,false,-75.0
1.964963449108129e-14,6.814404976437167e-15,2.5759960222188364e-16,5.871577664724048e-15,0.0,2.3365372187628644e-12,4.0896308280843e-15,3.0251338689337365e-17,4.947002222991533e-17,4.058815640384796e-17,8.849790664648829e-17,1.220102704414107e-16,1.6131080151640697e-17,7.681466738876504e-18,1.1267892603275077e-16,5.401783593133132e-19,5.401783593133132e-19,2.770145432375943e-16,8.923327583674368e-17,6.778321733018577e-18,4.9735388102978564e-18,4.9735388102978564e-18,2.3213855013206393e-17,1.0319638111052015e-16,4.907401880134257e-17,1.904010405865943e-16,6.690958213778983e-16,6.808147276909807e-18,4.671991029708481e-17,4.4356218074222664e-18,5.013402948911803e-16,5.955701715701747e-16,4.514843410345088e-17,1.8188002096763158e-16,false,-60.0
1.9307303342637498e-14,6.873754736407334e-15,2.5231747656587695e-16,5.861321227554572e-15,0.0,2.384443222709854e-12,3.9408970256771286e-15,2.9980843054586816e-17,4.974586431643359e-17,4.088401046416371e-17,8.602311070044959e-17,1.2021438594143492e-16,1.621475682067242e-17,7.721312771748775e-18,1.121857530304925e-16,5.384296576503576e-19,5.384296576503576e-19,2.761177731540295e-16,8.7037715808698e-17,6.6811787085546974e-18,4.957418735819032e-18,4.957418735819032e-18,2.3136859018540082e-17,1.034294306615495e-16,4.9063047930836145e-17,1.876462944089679e-16,6.704489789286107e-16,6.867668199078472e-18,4.628002512244257e-17,4.494154120377306e-18,4.778172494764887e-16,5.675785990170241e-16,4.525372310885982e-17,1.8035062653951636e-16,false,-45.0
