J_1,J_2,J_3,J_4,J_5,J_6,J_7,J_8,J_11,J_12,J_13,J_14,J_15,J_16,J_17,J_18,J_19,J_20,J_21,J_22,J_23,J_24,J_31,J_32,J_33,J_34,J_35,J_41,J_51,J_52,J_53,J_54,J_55,J_56,w_ap,t
1.96679669405208e-14,6.8890687792221295e-15,2.60374892605093e-16,5.948073089172002e-15,0.0,2.37353062304845e-12,4.13769261518255e-15,3.0265404427180195e-17,5.063220374374658e-17,4.113949140852604e-17,8.979665633578884e-17,1.2397058960800408e-16,1.6477864920196157e-17,7.846602342950575e-18,1.142638971839477e-16,5.441623991077858e-19,5.441623991077858e-19,2.79057640568094e-16,8.998109251839595e-17,6.840415438028346e-18,4.96622408540019e-18,4.96622408540019e-18,2.340556047937153e-17,1.0435984653332466e-16,4.9626292865124603e-17,1.9233969655740348e-16,6.759415110235538e-16,6.951758078198188e-18,4.67130411901763e-17,4.5961926178205524e-18,5.063050644592984e-16,6.01296918838696e-16,4.597526047658624e-17,1.8205434638281874e-16,false,-30.0
2.0997453714454027e-14,7.0547618737302226e-15,2.8363892574190397e-16,6.015149382008984e-15,0.0,2.3849967113075296e-12,4.407095737819513e-15,3.1385500549581045e-17,5.047633737269709e-17,4.1326149169976174e-17,9.443732743385935e-17,1.2713985839216917e-16,1.630522421876373e-17,7.764392485125582e-18,1.1507622086984401e-16,5.466217752956548e-19,5.466217752956548e-19,2.8031885912597613e-16,9.643842469187963e-17,6.88821556728509e-18,5.107326600024369e-18,5.107326600024369e-18,2.3714892681207302e-17,1.0478679960937501e-16,4.9764462832648134e-17,1.9846507716734458e-16,6.797256123242557e-16,6.851577729026987e-18,4.860956499856754e-17,4.436718435850911e-18,5.469265631966692e-16,6.493905668518361e-16,4.622073659325842e-17,1.8864962705246184e-16,false,-15.0
2.2062001192614923e-14,7.170137957655997e-15,3.0037421647620613e-16,6.1825582424046495e-15,0.0,2.385525687207286e-12,4.5576813045244085e-15,3.286919124974227e-17,5.2571032005150484e-17,4.294115189396888e-17,9.812470336554317e-17,1.3257632348340593e-16,1.685817983424173e-17,8.02770468297229e-18,1.2070281187630052e-16,5.6605695973445e-19,5.6605695973445e-19,2.9028562037663955e-16,9.993523967847635e-17,7.1294596364739e-18,5.3419753017650864e-18,5.3419753017650864e-18,2.4825064272921947e-17,1.0706680059433781e-16,5.187261572556429e-17,2.0527992161951146e-16,6.814845788798512e-16,7.084291875731228e-18,5.086072461576368e-17,4.630490013057608e-18,5.701321332933258e-16,6.772717533036715e-16,4.820091427720758e-17,1.9786187514279268e-16,false,0.0
2.090959148782295e-14,7.008773493973958e-15,2.7946989838244885e-16,6.094999201488088e-15,0.0,2.3674927190478745e-12,4.375135216970299e-15,3.1805289976197376e-17,5.15729818075102e-17,4.203738003093557e-17,9.476193601936924e-17,1.2877452255434507e-16,1.669829814814023e-17,7.951570546733456e-18,1.1745000268726985e-16,5.525635855788276e-19,5.525635855788276e-19,2.833659413224772e-16,9.593108689416002e-17,7.082678955233861e-18,5.121177319837714e-18,5.121177319837714e-18,2.415927260977971e-17,1.0602892942861698e-16,5.075459716702131e-17,2.0012034187520372e-16,6.820372545664509e-16,7.016809701673697e-18,4.9177734249925123e-17,4.61456721904646e-18,5.412841017612329e-16,6.430401764724381e-16,4.689560127700765e-17,1.9079372942828088e-16,false,15.0
2.3189708214543454e-14,7.231814145359214e-15,3.080706316945686e-16,6.2959487293693415e-15,0.0,2.356774053698603e-12,4.762360678336417e-15,3.528414444314509e-17,5.606324232495349e-17,4.521514398926588e-17,1.0636459294419603e-16,1.430288391946496e-16,1.8148544315502607e-17,8.642163959763163e-18,1.296586954077888e-16,5.820436716729427e-19,5.820436716729427e-19,2.984839341912531e-16,1.0750502199794143e-16,7.554196281374448e-18,5.6921938273762e-18,5.6921938273762e-18,2.6621414233708343e-17,1.1001916658728915e-16,5.52183069620519e-17,2.1643873012335764e-16,6.820707586636198e-16,7.572983467532019e-18,5.4622350673983556e-17,5.136286468039251e-18,5.784514026460358e-16,6.866808768178174e-16,5.195157834538617e-17,2.1267652651300758e-16,false,30.0
2.2201396533172554e-14,7.125490468864422e-15,2.98532813151537e-16,6.153417056221136e-15,0.0,2.3557930223650345e-12,4.602351722896671e-15,3.328904565585225e-17,5.331363924776482e-17,4.333629039293027e-17,9.985703845261879e-17,1.3476471828126246e-16,1.7159783249846717e-17,8.171325357069884e-18,1.2239832458485927e-16,5.666716975910839e-19,5.666716975910839e-19,2.906008705595307e-16,1.0138763052465373e-16,7.205790584021968e-18,5.392711148253591e-18,5.392711148253591e-18,2.5132083846825498e-17,1.0733725515107682e-16,5.242542148771415e-17,2.0783764344772418e-16,6.812499752839417e-16,7.182752780381353e-18,5.1540469936330676e-17,4.7519594779112825e-18,5.780118798168678e-16,6.861213678324112e-16,4.8647534940233167e-17,2.0089366427343391e-16,false,45.0
2.0889729984609397e-14,6.993278272957558e-15,2.7812444239781777e-16,5.960829525963148e-15,0.0,2.361850321009672e-12,4.429651037062427e-15,3.1590265894114684e-17,5.0308134286695066e-17,4.114561935083861e-17,9.534096933436389e-17,1.2782204949780678e-16,1.6008157503492194e-17,7.622932144520083e-18,1.1557794591464039e-16,5.372793316948721e-19,5.372793316948721e-19,2.7552786240762626e-16,9.666063351398705e-17,6.919103262508766e-18,5.054901746106291e-18,5.054901746106291e-18,2.3741558404725872e-17,1.0434621727303635e-16,4.9477138670222345e-17,2.0098009512573597e-16,6.809151262880982e-16,6.738852796154413e-18,4.8886899709659585e-17,4.380461595126861e-18,5.489297744731564e-16,6.514455399547587e-16,4.614708545964925e-17,1.8924958733458146e-16,false,60.0
2.070516730921355e-14,6.989233217016704e-15,2.778256084900072e-16,6.006176301204071e-15,0.0,2.3698796109151613e-12,4.430297175449512e-15,3.0897829702579763e-17,4.9430560639798994e-17,4.084147333267873e-17,9.272588629076376e-17,1.2408377274186717e-16,1.5747097441070077e-17,7.49861782908099e-18,1.1187538784544423e-16,5.384514118317404e-19,5.384514118317404e-19,2.761289291444828e-16,9.477676678223865e-17,6.684636680961889e-18,4.96307037893369e-18,4.96307037893369e-18,2.3133868791940464e-17,1.0393626948994241e-16,4.8491596691480615e-17,1.977722671144923e-16,6.829050068858723e-16,6.634636840090142e-18,4.7888643460824895e-17,4.230786224932206e-18,5.558404599955686e-16,6.598993449102255e-16,4.415224977451366e-17,1.8539181334693804e-16,false,75.0
2.212757038747258e-14,7.191892642641126e-15,2.9585398033758503e-16,6.200517863020812e-15,0.0,2.3947599682399296e-12,4.5355952913934374e-15,3.323351904994245e-17,5.2184376494558306e-17,4.276061124673618e-17,9.807258841214695e-17,1.3244513693072725e-16,1.667111262343992e-17,7.938625058780909e-18,1.2041128364726278e-16,5.591835834934296e-19,5.591835834934296e-19,2.867608120479134e-16,1.0067006677546432e-16,7.169060699529142e-18,5.333867286674281e-18,5.333867286674281e-18,2.4756506541738948e-17,1.0719042298321059e-16,5.1362657477153954e-17,2.045103810481624e-16,6.887811105731319e-16,7.026734462790108e-18,5.148111265345711e-17,4.628043272251872e-18,5.768590659736896e-16,6.850113356775523e-16,4.8240889216182106e-17,1.9970910485831137e-16,false,90.0
2.089248928552537e-14,7.067113249897663e-15,2.7801050037953835e-16,6.0632541137904e-15,0.0,2.3996129536119405e-12,4.42589792932085e-15,3.135484268842688e-17,4.9398171391056676e-17,4.093521293573149e-17,9.356401671310565e-17,1.2465036650260435e-16,1.5704098817404355e-17,7.478142294002057e-18,1.1215103268022907e-16,5.393577961943895e-19,5.393577961943895e-19,2.7659374163814884e-16,9.631372944597677e-17,6.696738262177477e-18,5.0296177096816704e-18,5.0296177096816704e-18,2.3305327335146754e-17,1.046881956217734e-16,4.867050614502806e-17,1.998571428180295e-16,6.882516006643945e-16,6.619437950509137e-18,4.862538850723031e-17,4.185475580867382e-18,5.377542000761462e-16,6.384911339471858e-16,4.476870669665093e-17,1.8775656332589526e-16,false,105.0
2.0598861730676953e-14,7.028113681953455e-15,2.741315241142648e-16,6.078695592184977e-15,0.0,2.3954519824882114e-12,4.37366073437719e-15,3.1239470006813244e-17,5.035403842527956e-17,4.110266061208808e-17,9.443781809623483e-17,1.2643659301627846e-16,1.6152837200757604e-17,7.691827238455987e-18,1.1406127993376533e-16,5.426605287657675e-19,5.426605287657675e-19,2.7828745064911306e-16,9.526425656189699e-17,6.877522351523368e-18,5.04336927894949e-18,5.04336927894949e-18,2.355466530159638e-17,1.0531694726290008e-16,4.9481756692495183e-17,1.9737863799467733e-16,6.872552525964592e-16,6.806351582741866e-18,4.8362002362676094e-17,4.405456591200308e-18,5.342665190066774e-16,6.340290997213092e-16,4.5526542517385697e-17,1.872425790165207e-16,false,120.0
2.0189385910031998e-14,6.851049732577385e-15,2.6763432391349934e-16,5.8701610295919685e-15,0.0,2.32674314299619e-12,4.187631146073742e-15,3.075950228196894e-17,4.9175086171623355e-17,4.012596718412573e-17,9.147093116146559e-17,1.234927070889783e-16,1.568387772535643e-17,7.468513202550688e-18,1.1228102615216526e-16,5.300696012482745e-19,5.300696012482745e-19,2.7183056474270554e-16,9.245870973130013e-17,6.971727905578263e-18,4.962439293459603e-18,4.962439293459603e-18,2.3142922662720428e-17,1.0268135736830926e-16,4.844862450218834e-17,1.9235826084877997e-16,6.70392017778175e-16,6.592044649032773e-18,4.7606440367351827e-17,4.2289781019725236e-18,5.180783893733263e-16,6.151423405240266e-16,4.468534500956575e-17,1.846358701788304e-16,false,135.0
1.9598510035997966e-14,6.656406711150265e-15,2.586805635379925e-16,5.739042789686815e-15,0.0,2.260707330561504e-12,4.14323555072339e-15,3.0099997302457827e-17,4.937992977451418e-17,4.0137535534816507e-17,8.87328272510747e-17,1.2083483822544923e-16,1.582913705039063e-17,7.537684309709814e-18,1.1034692993900165e-16,5.214644074703496e-19,5.214644074703496e-19,2.6741764485658977e-16,8.984034193243946e-17,6.6669451701491536e-18,4.82258986615661e-18,4.82258986615661e-18,2.282959204007932e-17,1.0062907464685875e-16,4.806740316295625e-17,1.9049402570124622e-16,6.501137042543799e-16,6.612058204406106e-18,4.662110619941995e-17,4.298091882632311e-18,5.069872426483772e-16,6.020090063391833e-16,4.385472522355407e-17,1.8053728980283395e-16,false,150.0
1.9629567961624012e-14,6.586874740232103e-15,2.6019622586511265e-16,5.631739710988458e-15,0.0,2.223760798044996e-12,4.132176611840935e-15,2.986865028230666e-17,4.8245729489181114e-17,3.905590197321453e-17,8.817831223037068e-17,1.2002351379966218e-16,1.5611795261481465e-17,7.434188219753064e-18,1.0939296255560847e-16,5.123427287952116e-19,5.123427287952116e-19,2.627398609206198e-16,8.980481150305113e-17,6.73639671632297e-18,4.782711386804266e-18,4.782711386804266e-18,2.2563540967370915e-17,9.908592334696516e-17,4.730887718730447e-17,1.8858725289368449e-16,6.435275840166603e-16,6.517914595343366e-18,4.626046219109247e-17,4.258065650497851e-18,5.129420133454165e-16,6.094050432306953e-16,4.341120210538912e-17,1.7899840028270703e-16,false,165.0
1.937571365600595e-14,6.575379475578642e-15,2.62221338742329e-16,5.5948359985056095e-15,0.0,2.2313283900110524e-12,4.023527392889066e-15,2.9178174772075666e-17,4.723632642498862e-17,3.8551344136950317e-17,8.539474880621356e-17,1.1670862578863409e-16,1.540804009018382e-17,7.33716194770659e-18,1.0657092723799938e-16,5.095171322862335e-19,5.095171322862335e-19,2.6129083706986255e-16,8.780470856962048e-17,6.514999954651041e-18,4.694699407376706e-18,4.694699407376706e-18,2.2036257311996674e-17,9.84322412144829e-17,4.64119720862631e-17,1.8470614487239948e-16,6.437348459685338e-16,6.4488914847946374e-18,4.523582550951901e-17,4.164777694591083e-18,4.984256904213162e-16,5.918053615969844e-16,4.170190114461211e-17,1.7508139385160415e-16,false,180.0
1.8686411225049116e-14,6.614526263137361e-15,2.514700762208733e-16,5.721295450551002e-15,0.0,2.289701588683777e-12,3.942482624808677e-15,2.8336126895553965e-17,4.608916548438383e-17,3.776287547276741e-17,8.517952262114036e-17,1.1485579107502508e-16,1.481682316498856e-17,7.055630078565989e-18,1.039731556870926e-16,5.055501746605086e-19,5.055501746605086e-19,2.592564998259015e-16,8.591991826534486e-17,6.3767551098734754e-18,4.569578512139876e-18,4.569578512139876e-18,2.1453608657392915e-17,9.870600612271856e-17,4.5327732230442934e-17,1.792108550552447e-16,6.546511505596279e-16,6.264231636318417e-18,4.3871650816587206e-17,4.004049722641171e-18,4.849085523277945e-16,5.759734704864441e-16,4.106223250196954e-17,1.7070776850782633e-16,false,195.0
1.9786931025532774e-14,7.0131338665498984e-15,2.6538779249896596e-16,6.187721802683713e-15,0.0,2.4318073216753882e-12,4.17261701114525e-15,2.999035065757071e-17,4.866001837751016e-17,4.048085151725107e-17,8.894675395605282e-17,1.2121938762170853e-16,1.5836081891680906e-17,7.540991376990921e-18,1.1079367371474287e-16,5.449471240955381e-19,5.449471240955381e-19,2.794600636387378e-16,9.020970879601916e-17,6.774251985112668e-18,4.908651672334593e-18,4.908651672334593e-18,2.2838455784661376e-17,1.054147560752427e-16,4.835183027903857e-17,1.9261097485042377e-16,6.94837021768391e-16,6.754274792888474e-18,4.636804336154816e-17,4.381631547933009e-18,5.120119985591877e-16,6.077975971600865e-16,4.418958775326903e-17,1.804935030685486e-16,false,210.0
1.82589098606273e-14,6.871080445396311e-15,2.4034004578247396e-16,6.061363871033718e-15,0.0,2.443489045180534e-12,3.95752641393289e-15,2.787678559523352e-17,4.5722661144633065e-17,3.816568442449871e-17,8.27440109368336e-17,1.1286420295330485e-16,1.501926404014665e-17,7.152030495307937e-18,1.0278000544932181e-16,5.243938667402421e-19,5.243938667402421e-19,2.6891993166166435e-16,8.403930400353282e-17,6.245013964475011e-18,4.53987261895321e-18,4.53987261895321e-18,2.1252455881056967e-17,1.0276414156278817e-16,4.5382735300598034e-17,1.8209956226629396e-16,6.955085534045218e-16,6.446889756324453e-18,4.313500831398446e-17,4.1296397025717166e-18,4.809117527760606e-16,5.704877457962944e-16,4.0576471963664593e-17,1.6889796635233048e-16,false,225.0
1.6026437712248593e-14,6.652082558024334e-15,2.105518141452551e-16,6.038601854470237e-15,0.0,2.455348503375849e-12,3.815956178280509e-15,2.4036298732070596e-17,4.431265566831654e-17,3.724280268431517e-17,7.853909943777478e-17,1.0720197263185782e-16,1.4522699340749928e-17,6.915571114642851e-18,9.763683086294054e-17,5.181120297688514e-19,5.181120297688514e-19,2.6569847680454006e-16,7.697214086321344e-17,6.129226088214623e-18,4.22313819926553e-18,4.22313819926553e-18,1.97921600004343e-17,1.015175076166205e-16,4.367083669821582e-17,1.7637931451099848e-16,6.976718276106799e-16,6.265340897190272e-18,3.6728659792035714e-17,3.934808551148439e-18,4.445774198378939e-16,5.289686368518681e-16,3.9402170286906327e-17,1.463606637053451e-16,false,240.0
1.4955124830813163e-14,6.552008918116597e-15,1.9565890483502304e-16,5.9418079885603026e-15,0.0,2.461837158635853e-12,3.589942190895464e-15,2.2739985961216308e-17,4.3014751652663186e-17,3.637743865104466e-17,7.303302838206271e-17,1.0116694169282674e-16,1.4039829061433277e-17,6.685632886396809e-18,9.329472191194055e-17,5.084075305778955e-19,5.084075305778955e-19,2.607218105527672e-16,7.162907608913635e-17,5.951265503631989e-18,3.994323270475097e-18,3.994323270475097e-18,1.8964261176968084e-17,1.003087378963385e-16,4.226615253285582e-17,1.6990015172043028e-16,6.981171199478209e-16,6.086859581480705e-18,3.465217984348984e-17,3.7573860611650055e-18,4.180368817541967e-16,4.975184515544619e-16,3.8178670812694973e-17,1.3655162126946433e-16,false,255.0
1.470944865094539e-14,6.545291002962149e-15,1.9108570152207537e-16,5.960247208895618e-15,0.0,2.470819000905354e-12,3.4872367679411594e-15,2.257466568742036e-17,4.3084011223568366e-17,3.622144342843608e-17,7.147603258477861e-17,1.0083185146605972e-16,1.403933223964222e-17,6.6853963045915325e-18,9.439650271419565e-17,5.118114292768842e-19,5.118114292768842e-19,2.6246739962917264e-16,6.938763885248698e-17,5.973701458054899e-18,4.002813862038462e-18,4.002813862038462e-18,1.9053436915448476e-17,1.0076560115157322e-16,4.2567143285204594e-17,1.6804825359260446e-16,6.999234469250848e-16,6.089178214945594e-18,3.4330023232965485e-17,3.7511839607832845e-18,4.17186655253711e-16,4.9636246955862995e-16,3.8848573572559726e-17,1.3582703211106623e-16,false,270.0
1.3840795132258294e-14,6.4622211973710004e-15,1.8013720237456795e-16,5.846174039897412e-15,0.0,2.4758999236334378e-12,3.325060265562669e-15,2.12824358222289e-17,4.068199382961365e-17,3.4513819473686347e-17,6.732435217138918e-17,9.519867143457471e-17,1.3460259799439885e-17,6.4096475235428166e-18,8.896316916051474e-17,4.898263366886677e-19,4.898263366886677e-19,2.511929931736776e-16,6.557419021146998e-17,5.5439519790265245e-18,3.805715714007549e-18,3.805715714007549e-18,1.797663731393687e-17,9.863759486808844e-17,4.0379698606562723e-17,1.6152162247172379e-16,6.992688175315732e-16,5.899155671211883e-18,3.234908550925638e-17,3.658181215611725e-18,3.848649698371146e-16,4.581454047306153e-16,3.65635378017657e-17,1.2878981458399775e-16,false,285.0
1.2779439844958306e-14,6.358786414491286e-15,1.6728333629028604e-16,5.783991620670064e-15,0.0,2.4810533441728714e-12,3.1992584871190797e-15,1.933779102924185e-17,3.856819354045322e-17,3.317303426982134e-17,6.438218895152598e-17,8.914983803791333e-17,1.26577910158399e-17,6.0275195313523455e-18,8.2110997385445e-17,4.773079404213066e-19,4.773079404213066e-19,2.44773302780157e-16,6.150345814132354e-17,5.216158255934172e-18,3.581916784616487e-18,3.581916784616487e-18,1.6667511541386708e-17,9.680322129016127e-17,3.815770340881303e-17,1.520416557456073e-16,6.997740321074814e-16,5.575106933813865e-18,2.932943571385719e-17,3.299058348498908e-18,3.7038552286024507e-16,4.409530837022812e-16,3.383411146538235e-17,1.187465549230079e-16,false,300.0
1.2116697094181963e-14,6.297357496358781e-15,1.5688809497207797e-16,5.676295052881841e-15,0.0,2.4848711801617423e-12,2.958605816186097e-15,1.901666646649645e-17,3.8098399905478844e-17,3.246093640110636e-17,6.184504736595708e-17,8.706360109040604e-17,1.2599664059618924e-17,5.999840028389961e-18,8.111387850915923e-17,4.698711244540017e-19,4.698711244540017e-19,2.4095955100205254e-16,5.8650046340303e-17,5.140771113440452e-18,3.4650779945306614e-18,3.4650779945306614e-18,1.6454261095294572e-17,9.622272447464605e-17,3.7725443513477794e-17,1.4822489524281859e-16,6.993479624742232e-16,5.561890178987893e-18,2.880581758631953e-17,3.3432715205249576e-18,3.30419504870336e-16,3.940434676660352e-16,3.330039717197637e-17,1.147596739872751e-16,false,315.0
1.207491684610737e-14,6.290545790810691e-15,1.5566514075649588e-16,5.759727314923359e-15,0.0,2.4840224729109626e-12,3.000967577238544e-15,1.9037665052499327e-17,3.8954594143777845e-17,3.316023528721949e-17,6.144738234616369e-17,8.840567347451825e-17,1.3126353713117012e-17,6.250644625293827e-18,8.343614708882044e-17,4.784161403366472e-19,4.784161403366472e-19,2.4534161042905027e-16,5.764187768431786e-17,5.32781914541211e-18,3.543809493861303e-18,3.543809493861303e-18,1.682334162080757e-17,9.73105028832943e-17,3.8807177041937406e-17,1.50478845701866e-16,6.990760518766173e-16,5.770789736055593e-18,2.8791532909793195e-17,3.5378194120239765e-18,3.3077811141141506e-16,3.9492982695172444e-16,3.427796839576215e-17,1.1687052456249475e-16,false,330.0
