t,NO,CH4,C2H6,H2O2,HCHO,CH3OH,SO2,O3,CO,NO2,w_ap
285.0,1.9786353731019203e10,4.9115513163565734e13,NaN,1.0198099681907642e10,1.937577771159095e11,1.734026421226013e10,4.0771880415433517e9,1.487933800572644e11,3.9058395506471196e12,8.682012182580548e10,true
300.0,2.1417527547538e10,4.9207491682330305e13,NaN,1.0051192040312603e10,1.9991757075651428e11,1.739799181667341e10,6.739445958407814e9,1.5503124083682602e11,3.885507781596094e12,8.67253971017888e10,true
315.0,1.920686065372565e10,4.92492332631566e13,NaN,1.1482647533508205e10,2.0490374678439706e11,1.730303324543571e10,1.0550585128138935e10,1.623830965630838e11,3.8575772778373716e12,8.821727883277988e10,true
330.0,1.7401874295074986e10,4.927170764345151e13,NaN,8.519968308010934e9,2.0921733470394635e11,1.730051241385902e10,3.3317638113160095e9,1.635680305641759e11,3.8039634306176353e12,8.813593909502855e10,true
345.0,1.6800985003460123e10,4.929544703917278e13,1.2607914155209951e8,1.2378209793492413e10,2.070171692242919e11,1.7393549883856087e10,3.1157318836659284e9,1.7062227138321344e11,3.806652086415608e12,8.994878276460176e10,true
360.0,1.840668072878101e10,4.9318372163115625e13,6.471436599172411e9,9.598929156634138e9,2.1525664076290485e11,1.7353793353969246e10,7.669450303658754e8,1.733295768626878e11,3.776005922941989e12,9.102678829154985e10,true
375.0,1.974495546788978e10,4.921895759667709e13,NaN,1.0016144580067654e10,2.176912597502234e11,1.7272850194933537e10,NaN,1.661307964306794e11,3.699649793744098e12,9.18475901801232e10,true
390.0,1.8953180592783394e10,4.906733893738131e13,NaN,1.2507290045744223e10,2.1979810426615567e11,1.730022298123572e10,5.750648978847048e9,1.6094628829548175e11,3.648067945956093e12,9.148324083849179e10,true
405.0,2.0064835666800518e10,4.8950633120463984e13,NaN,9.998728692896158e9,2.1466257840924524e11,1.7250508707819736e10,2.037647588623709e9,1.6298783476532468e11,3.5695608526110596e12,9.039963596117653e10,true
420.0,4.0728913975381744e10,4.882146048902099e13,NaN,1.1482119805426205e10,2.086374886758673e11,1.7223740993979485e10,1.2225865878425362e9,1.6560055193757333e11,3.5085545051197324e12,7.956401735390936e10,true
435.0,1.846241175442469e10,4.87253261539806e13,NaN,9.601182598168196e9,2.0206690715493707e11,1.7161411526429739e10,4.243956987705416e9,1.7333087606848843e11,3.4946707963732407e12,8.356039605736371e10,true
450.0,2.0067626092512768e10,4.863459319753939e13,NaN,1.1415792728315851e10,2.0937153103690543e11,1.7341139522359478e10,3.380567836373119e9,1.8154368551076068e11,3.481265601711888e12,8.089387148881491e10,true
465.0,2.0190083670086895e10,4.857623648632453e13,NaN,8.740590642926022e9,2.0580262189913852e11,1.728385224397731e10,NaN,1.8017611484208185e11,3.487035535302433e12,8.34459515105729e10,true
480.0,1.5878101377133636e10,4.855097208773664e13,NaN,1.282181526545882e10,2.1339965639636612e11,1.7326726311361004e10,NaN,1.828140312636142e11,3.471036109205722e12,8.53627836876414e10,true
495.0,1.1605284468653786e11,4.8553827676437625e13,NaN,1.017034206491198e10,2.1607069972604614e11,1.7333388901057613e10,1.848204558606704e9,1.8052398032832498e11,3.457699770120633e12,8.70096301941468e10,true
510.0,1.9723320619252384e10,4.8557746317726805e13,NaN,1.0893539065356844e10,2.0848266556712207e11,1.743018194198442e10,2.2101650389418015e9,1.881523107064369e11,3.418972695150761e12,8.855074275586394e10,true
525.0,2.531888624509182e10,4.85761811212087e13,NaN,1.0406708418471802e10,2.0088307616765387e11,1.741027407115444e10,NaN,1.9377483784349002e11,3.4145899029072305e12,8.898879201622491e10,true
540.0,1.5858877396098576e10,4.859255338767621e13,NaN,1.0955868102528355e10,2.0329825973936462e11,1.7403147098729534e10,NaN,2.0029353045178824e11,3.399919581549666e12,8.747650885404906e10,true
555.0,1.1467755860640997e10,4.864171154629047e13,NaN,1.5429559153801325e10,2.0411652281869525e11,1.7529427177434864e10,NaN,2.177187178836401e11,3.404900678924561e12,9.087473761835681e10,true
570.0,9.09239805606046e9,4.873770434665903e13,NaN,1.3609159215613823e10,2.085797795886802e11,1.7690478204856663e10,NaN,2.322540935805364e11,3.4606315501315825e12,9.217810443040602e10,true
585.0,9.823528807814125e9,4.8819168129878805e13,NaN,1.3368928758126692e10,2.016088169428623e11,1.788771505092939e10,NaN,2.3945756585337573e11,3.5175601248301436e12,9.565268959549725e10,true
600.0,9.948908232200737e9,4.890376019081354e13,NaN,1.3839034941210764e10,1.9362343954979785e11,1.7866360862742958e10,NaN,2.4249256424213547e11,3.5373442947014307e12,9.68086725798368e10,true
