t,NO,CH4,C2H6,H2O2,HCHO,CH3OH,SO2,O3,CO,NO2,w_ap
-180.0,2.8019224598866272e10,4.781443997775738e13,NaN,9.095655102489542e9,1.591946098586249e11,1.7828537501847378e10,1.1786243794574291e10,5.02050952710061e10,3.654877808644301e12,8.338827252631873e10,false
-165.0,2.5703931799034603e10,4.776948945471313e13,NaN,7.899100647673156e9,1.5412447909933093e11,1.776974605263807e10,1.0998891746563644e10,6.188072139153632e10,3.6556554582002314e12,8.459582391161342e10,false
-150.0,2.4243595157081715e10,4.772368103548427e13,NaN,6.076156483365602e9,1.6007789977782285e11,1.7883228137129658e10,9.157097579055521e9,7.909054514756049e10,3.6000118318123237e12,8.46134943401501e10,false
-135.0,2.2390571500314377e10,4.770890224942754e13,NaN,6.382028529351547e9,1.5619377453201074e11,1.7745281085216354e10,8.252935008128696e9,6.341603103347588e10,3.613881830532103e12,8.628503354875424e10,false
-120.0,2.2842541267735878e10,4.7799571932134875e13,NaN,7.458339240949361e9,1.580033862261007e11,1.7554624801892895e10,1.1109999107158749e10,6.4337430174430084e10,3.618864053044225e12,8.749124296887515e10,false
-105.0,2.0866719907510746e10,4.8002045773898195e13,NaN,5.021735541337841e9,1.608109322462501e11,1.7626964658983982e10,1.0948439721851217e10,5.938989512137674e10,3.6042274211977964e12,8.833019092880841e10,false
-90.0,2.0517934016636753e10,4.818403585538831e13,NaN,5.825658592227374e9,1.5803903451960516e11,1.7537308032456757e10,1.2368287327785706e10,5.263712979034382e10,3.683054381049707e12,9.115619516970743e10,false
-75.0,2.1622785481804516e10,4.816869449226755e13,NaN,4.706574857125443e9,1.4951445822701944e11,1.750739963532723e10,7.407362210507311e9,4.765642742552924e10,3.771335546155089e12,9.28916782062001e10,false
-60.0,2.1676025521335537e10,4.827705058964208e13,NaN,6.916757719767363e9,1.56356147292284e11,1.761822907707645e10,1.2444532351297726e10,4.167359773902783e10,3.9323763113927334e12,9.691868933322812e10,false
-45.0,2.235331206758959e10,4.822974067828424e13,NaN,4.747210887553452e9,1.609071505756741e11,1.7606945712853374e10,1.569283966159826e10,2.5420004398405735e10,4.0370129511134473e12,1.011289713154294e11,false
-30.0,2.6311108930266014e10,4.850269520569525e13,NaN,3.3476216112916765e9,1.6137667410440448e11,1.736920653553922e10,1.0274776115103882e10,2.1461798707716988e10,4.1589773618408286e12,1.0430818275730458e11,false
-15.0,2.8831476719954063e10,4.880377905960026e13,NaN,4.453289383661051e9,1.560167218533912e11,1.7370595017278805e10,9.722521291907906e9,2.009321066994301e10,4.2219889845383047e12,1.0605950387073862e11,false
0.0,3.277816989572196e10,4.867895711719752e13,NaN,5.545793864378636e9,1.5639329612408948e11,1.722296642316842e10,1.0870066590601791e10,2.5123531391523346e10,4.287289387351396e12,1.0546124208762665e11,true
15.0,3.450543445014701e10,4.870094594844161e13,NaN,6.292404449391672e9,1.4898547565178796e11,1.7194099647166077e10,9.251108818458633e9,3.734083923086939e10,4.2026465775283486e12,1.0339615908007144e11,true
30.0,3.637400301719355e10,4.872438434828206e13,NaN,9.64533033973727e9,1.5072376767078375e11,1.719132248307584e10,1.2164735972703196e10,3.3633331276307846e10,4.262010107773402e12,1.0215012479845033e11,true
45.0,3.859043645452254e10,4.869807339750764e13,NaN,1.1908089500522038e10,1.4602169992045505e11,1.715709900167174e10,1.3079873788947203e10,2.813134620049306e10,4.290230661288869e12,1.0055152975253162e11,true
60.0,4.039795248034803e10,4.8663698079424836e13,NaN,1.0040160019949501e10,1.4377563094084067e11,1.724038597959922e10,1.1397993735526764e10,3.551653322230598e10,4.2472622460572227e12,9.868642677342162e10,true
75.0,3.791901427184075e10,4.863925347793567e13,NaN,9.371181105378992e9,1.4644170756458047e11,1.7152397294680271e10,9.377562185173046e9,2.690638996207343e10,4.484398327012236e12,9.844035791307295e10,true
90.0,3.735637804189304e10,4.8654223317265164e13,NaN,8.549686104286809e9,1.4519009781813028e11,1.722300337171936e10,6.370296126835042e9,3.9567952546303696e10,4.792011857926521e12,9.918430875215617e10,true
105.0,3.782691775231431e10,4.8828346211510516e13,NaN,1.0663473165990345e10,1.4121288988379053e11,1.7139283625590994e10,9.15632507219298e9,3.518335933252106e10,4.853199422196196e12,1.0059941404776852e11,true
120.0,3.858293401698673e10,4.8900357057279125e13,NaN,1.0479381807554237e10,1.491804945902404e11,1.731026001256748e10,9.1292122829732e9,3.2576873304504364e10,4.787364259911784e12,1.0140632906955229e11,true
135.0,3.668731891132437e10,4.892318896732859e13,NaN,9.641388607657156e9,1.4927596204343097e11,1.726405270740061e10,5.814231287845776e9,4.531256284659972e10,4.608005205470611e12,1.0275812900048091e11,true
150.0,3.436912490660242e10,4.89259777177328e13,NaN,1.0141484292984106e10,1.4593994008835416e11,1.718299931724436e10,1.0759865798852468e10,5.259845111492613e10,4.506341896093239e12,1.026510411256595e11,true
165.0,3.1269929160353394e10,4.889003184303646e13,NaN,1.0990076919709145e10,1.5521163683511746e11,1.7174662714213903e10,5.788059084212879e9,6.3668649926341675e10,4.3930808056180015e12,9.974194762131155e10,true
180.0,2.7395939342982895e10,4.890336625331409e13,NaN,9.739833251578432e9,1.525497465710492e11,1.714205441521314e10,3.5535486614912076e9,6.830976987798976e10,4.3729724388012856e12,9.765055679922124e10,true
195.0,2.610492187003075e10,4.892918941431121e13,NaN,1.077179360617551e10,1.4915564220396722e11,1.7201977919574112e10,7.684981599273083e9,7.615336453529669e10,4.346951136908266e12,9.651856577337035e10,true
210.0,2.376599957717265e10,4.8907028103276484e13,NaN,8.872717922924358e9,1.5397911291943112e11,1.714933251027461e10,5.521393841161324e9,9.398372560063731e10,4.264809957793638e12,9.407974984135315e10,true
225.0,2.0520552186289753e10,4.8890649906471625e13,NaN,7.1884783441223755e9,1.659599198917606e11,1.7164897902481928e10,7.776209249541382e9,9.852265114002275e10,4.162245334939705e12,9.249848903621135e10,true
240.0,1.9337700700681793e10,4.8874977754044516e13,NaN,1.0818997696852402e10,1.7037980205232895e11,1.7244135853555187e10,1.2403959382447254e10,1.1110780638319774e11,4.065342372282844e12,9.143421509962572e10,true
255.0,1.8158237500849358e10,4.893549805536606e13,NaN,1.3705287494576962e10,1.7919298348218616e11,1.7217479896107643e10,6.908285865580733e9,1.1849629227766953e11,4.0017700780443975e12,8.975974204514966e10,true
270.0,1.8397730246072453e10,4.902026765570184e13,NaN,1.1748240247848255e10,1.8907336331547482e11,1.7335122259131912e10,1.5111564608899148e9,1.3811490320324014e11,3.9577907309021626e12,8.927816424495654e10,true
