t,w_ap,K298CH3O2,KRO2HO2,KRO2NO3,KROPRIM,KRO2NO,KAPHO2,KNO3AL,KROSEC,KCH3O2,KAPNO,KBPAN,KFPAN,KMT01,KMT02,KMT03,KMT04,KMT05,KMT06,KMT07,KMT08,KMT09,KMT10,KMT11,KMT12,KMT13,KMT14,KMT15,KMT16,KMT17,KMT18,KPPN0,KPPNI,KRPPN,FCPPN,NCPPN,KBPPN,KDEC,K100,K10I,KR10,FC10,NC10,K120,K12I,KR12,FC12,NC12,K130,K13I,KR13,FC13,NC13,K140,K14I,KR14,FC14,NC14,K150,K15I,KR15,FC15,NC15,K160,K16I,KR16,FC16,NC16,K170,K17I,KR17,FC17,NC17,FPPN,KD0,KDI,KRD,FCD,NCD,KC0,KCI,KRC,FCC,K10,K1I,KR1,FC1,NC1,K20,K2I,KR2,FC2,NC2,K30,K3I,KR3,FC3,NC3,K40,K4I,KR4,FC4,NC4,K70,K7I,KR7,FC7,NC7,K80,K8I,KR8,FC8,NC8,K90,K9I,KR9,FC9,NC9,F10,F12,F13,F14,F15,F16,F17,FD,NC,FC,F1,F2,F3,F4,F7,F8,F9,K1,K3,K4,K2
-180.0,false,3.5e-13,2.2718686716554254e-11,2.3e-12,9.145585056903698e-15,9.024808240208464e-12,1.3888323616410758e-11,2.7441714368740128e-15,9.145585056903698e-15,3.5009850150077507e-13,1.9825865780082873e-11,0.00031303274707070015,9.35359330088066e-12,2.101872122675255e-12,2.0430974515542104e-12,1.235274934503795e-12,0.04620612029078356,2.2596750248327528e-13,1.8808347345790342,9.593760433465398e-12,1.137442924522523e-11,1.3610689640265828e-12,0.0852467489396682,1.5376992062397648e-13,7.987744629111989e-13,5.798827465541671e-12,1.6987393990821866,7.81682666870742e-12,2.8513962189182652e-11,7.55143309427109e-13,2.118280620459493e-12,1.5416480557038368,0.00042243484959464996,3649.4338882862885,0.36,1.3134958240255452,0.00015203488599924356,1.0e6,0.30722040505438486,0.26325876750258254,1.1669902125913854,0.6,1.0317479120127726,1.0995304048960917e-11,1.3050958809661688e-12,8.424901349639567,0.525,1.1053976846744347,6.163371121230693e-11,1.8e-11,3.424095067350385,0.36,1.3134958240255452,16.843795488295566,4.661749572717202,3.6131918340001676,0.4,1.2553838110134876,2.0919504336843936e-9,9.042856972851368e-12,231.33733508833387,0.48,1.1548236285330042,1.9503556879062619e-7,3.0168137084014914e-11,6464.952351796658,0.5,1.1323080944932562,1.205422690754246e-10,1.0e-12,120.5422690754246,0.37496782685094787,1.2910276126259719,0.8849009684157714,0.2844512123883593,0.00039738291887730785,715.8113720438591,0.3,1.4140560065060288,6.716231473621738e-9,1.2060512422952903e-11,556.8777874512011,0.3,2.412193160857588e-12,2.994974184437501e-11,0.0805413673811226,0.85,0.8396379643428482,3.134098995961039e-12,2.296916983039385e-11,0.1364480744886938,0.6,1.0317479120127726,8.80608104042166e-11,1.897877396052255e-12,46.399630759811195,0.35,1.32903358367515,3.0731820296455497,0.07189342459967352,42.74635749733788,0.35,1.32903358367515,1.7930218915326106e-11,3.305537674228521e-11,0.5424297249769158,0.8105111825143049,0.8658760558665397,8.022766549015801e-11,4.1e-11,1.9567723290282442,0.4,1.2553838110134876,4.380948701812574e-12,4.7e-12,0.9321167450665052,0.6,1.0317479120127726,0.601291019633917,0.684689616587804,0.41624240179773847,0.4652520703772382,0.8681566483658361,0.9453143445548161,0.7614078613989538,0.7888362684004138,1.4140560065060288,0.776947899414756,0.9415331302441532,0.7408426370078846,0.6648993520905212,0.6577382782102077,0.82529395412099,0.4192019977808947,0.6002681874585865,1.121661031929534e-13,5.706308544606383e-32,4.291249667139303e-14,4.160381743102309e-14
-165.0,false,3.5e-13,2.2731597246348096e-11,2.3e-12,9.144386114286584e-15,9.026228176191513e-12,1.3894272877422678e-11,2.7419417606266764e-15,9.144386114286584e-15,3.501543500469511e-13,1.9828378544642694e-11,0.0003111631379377141,9.355268891237569e-12,2.1025273934538837e-12,2.043606257619397e-12,1.235374257061126e-12,0.045987005714158403,2.2597931736569176e-13,1.8834172066695545,9.596764383377687e-12,1.1377295383243324e-11,1.3614547021492969e-12,0.08484704934257987,1.5383217478307133e-13,7.989606159524008e-13,5.800966874834325e-12,1.6912844175552986,7.817851020887293e-12,2.8517839596389927e-11,7.552032974130631e-13,2.123182331177174e-12,1.5342883178974591,0.0004198692170801393,3654.20529889576,0.36,1.3134958240255452,0.00015111156536404364,1.0e6,0.30583794389101726,0.26197681900773717,1.1674236867575092,0.6,1.0317479120127726,1.1002481406785261e-11,1.3052149832532853e-12,8.42963155338691,0.525,1.1053976846744347,6.168680909217816e-11,1.8e-11,3.4270449495654534,0.36,1.3134958240255452,16.775036282201903,4.640285839648615,3.615086842036479,0.4,1.2553838110134876,2.093097683132368e-9,9.043859066884493e-12,231.43855600277686,0.48,1.1548236285330042,1.951527046581706e-7,3.017207019886002e-11,6467.9918670461,0.5,1.1323080944932562,1.2058322154344234e-10,1.0e-12,120.58322154344233,0.37500880342141873,1.2909673419718404,0.884931309821503,0.28299183048250703,0.0003949884249407694,716.4560088689767,0.3,1.4140560065060288,6.723419802457527e-9,1.2061927543946495e-11,557.4084057428948,0.3,2.4130441254652398e-12,2.9948570551040484e-11,0.08057293156455525,0.85,0.8396379643428482,3.1351637601295e-12,2.2968451193395105e-11,0.13649870135915215,0.6,1.0317479120127726,8.812059101656896e-11,1.8978279134747397e-12,46.43234004037208,0.35,1.32903358367515,3.0602811263916063,0.0715452180919211,42.774083411972626,0.35,1.32903358367515,1.7938415002362674e-11,3.305666954330163e-11,0.5426564517900015,0.8105333799163712,0.8658609507102637,8.027061680394701e-11,4.1e-11,1.9578199220474881,0.4,1.2553838110134876,4.383408407761193e-12,4.7e-12,0.9326400867577006,0.6,1.0317479120127726,0.6012972169408836,0.684745918266403,0.4163149542628578,0.4653000047387226,0.8681725735898008,0.9453195780089736,0.7614662193000934,0.788877412720008,1.4140560065060288,0.7769945861394204,0.9415220240952753,0.7408084666613864,0.6649602682195771,0.6577954576258217,0.8252964651768944,0.4192317473499381,0.6002639245340984,1.121886537479632e-13,5.70963864500464e-32,4.2953755018353576e-14,4.164352103510814e-14
-150.0,false,3.5e-13,2.2716649992731837e-11,2.3e-12,9.145774274829068e-15,9.024584182377024e-12,1.3887385004062637e-11,2.7445234647654705e-15,9.145774274829068e-15,3.5008968892861296e-13,1.98254692730885e-11,0.0003133305434376407,9.35338539827507e-12,2.1019439881396183e-12,2.0431609317949524e-12,1.235276641442663e-12,0.0462414694347532,2.2597327187517064e-13,1.8898028190091432,9.593817404841851e-12,1.1374475621971598e-11,1.3610720880627263e-12,0.08531388334096393,1.5376021837568267e-13,7.987638764050491e-13,5.798721205635654e-12,1.6999842760861632,7.816698676439054e-12,2.8513381989942205e-11,7.551401974191784e-13,2.1176949624679904e-12,1.5429563943349442,0.00042284115848293,3649.0213012157215,0.36,1.3134958240255452,0.00015218111241585634,1.0e6,0.30746777241852924,0.2634616424120749,1.1670305005448391,0.6,1.0317479120127726,1.0995195683864465e-11,1.3050770851645834e-12,8.42493965211094,0.525,1.1053976846744347,6.163107492422605e-11,1.8e-11,3.423948606901447,0.36,1.3134958240255452,16.85624173721536,4.66514579450645,3.613229356532612,0.4,1.2553838110134876,2.0919642484538964e-9,9.04269883191345e-12,231.34290849883735,0.48,1.1548236285330042,1.950352516752004e-7,3.016751640430945e-11,6465.074852742585,0.5,1.1323080944932562,1.2054703330328554e-10,1.0e-12,120.54703330328555,0.3749613601156523,1.2910371248672066,0.8848983423869717,0.2847087154724581,0.0003977621146945528,715.7763521322033,0.3,1.4140560065060288,6.715723120120215e-9,1.206028910287582e-11,556.8459481223238,0.3,2.412283535591559e-12,2.994992670277871e-11,0.08054388778746997,0.85,0.8396379643428482,3.134222865885424e-12,2.2969283248171415e-11,0.13645279358618817,0.6,1.0317479120127726,8.805958016157464e-11,1.897885205540269e-12,46.39879161527413,0.35,1.32903358367515,3.0755092556652435,0.07194852923435074,42.74596421071645,0.35,1.32903358367515,1.7930595556290013e-11,3.305517271627077e-11,0.5424444673212682,0.8105076790981154,0.8658784399513035,8.02283603590689e-11,4.1e-11,1.956789277050461,0.4,1.2553838110134876,4.380968619097689e-12,4.7e-12,0.9321209827867424,0.6,1.0317479120127726,0.6012915951013394,0.6846900726334165,0.41623879886926834,0.46525301964375426,0.868157525485975,0.9453145555391513,0.761404475989347,0.7888340318776051,1.4140560065060288,0.7769450962059399,0.9415322433475513,0.7408394514499772,0.664897788605463,0.6577374668007938,0.8252894071551191,0.4192024790310424,0.6002681527933398,1.1216254493350628e-13,5.705783203287353e-32,4.290598936707164e-14,4.1597673442176395e-14
-135.0,false,3.5e-13,2.2722116184920637e-11,2.3e-12,9.145266495883805e-15,9.025185479577002e-12,1.38899040201958e-11,2.7435788599465355e-15,9.145266495883805e-15,3.5011333896784544e-13,1.9826533362547246e-11,0.00031254534754561366,9.354379760752555e-12,2.1031047103275144e-12,2.0441008542646038e-12,1.235406274799972e-12,0.04615187424116443,2.2601674542239698e-13,1.8872130920739254,9.597764969401777e-12,1.1378201937771516e-11,1.3615578858697889e-12,0.08516379102423338,1.537871701785268e-13,7.98937367293975e-13,5.800792841153236e-12,1.6971497567435225,7.817302043990842e-12,2.8515183687180772e-11,7.551976192190307e-13,2.120711672277514e-12,1.5405552099005733,0.00042175166424891357,3652.754311341266,0.36,1.3134958240255452,0.00015178904444744038,1.0e6,0.3070250799251797,0.26291755740975575,1.167761799363907,0.6,1.0317479120127726,1.1003395939358347e-11,1.3051275255703783e-12,8.430897152789377,0.525,1.1053976846744347,6.168248836831873e-11,1.8e-11,3.4268049093510404,0.36,1.3134958240255452,16.83496291565091,4.656037232221541,3.615727726390715,0.4,1.2553838110134876,2.0934319740990817e-9,9.043123219975204e-12,231.49435467991134,0.48,1.1548236285330042,1.9517639914565014e-7,3.016918206877904e-11,6469.396442392481,0.5,1.1323080944932562,1.2062095321475994e-10,1.0e-12,120.62095321475994,0.37497871416396084,1.2910115983086128,0.884922088362871,0.28422250814857514,0.0003967453161329421,716.3852894821256,0.3,1.4140560065060288,6.721919249825367e-9,1.2060888406623368e-11,557.3320159511593,0.3,2.413776084254195e-12,2.9949430625430425e-11,0.08059505753022991,0.85,0.8396379643428482,3.136144783583759e-12,2.2968978885222885e-11,0.1365382762226927,0.6,1.0317479120127726,8.812622843050984e-11,1.897864248327951e-12,46.43442148623141,0.35,1.32903358367515,3.071475692244259,0.07180074502267084,42.77776910635748,0.35,1.32903358367515,1.7942482226759684e-11,3.305572023661041e-11,0.5427950774730884,0.810517080621835,0.8658720422107292,8.028420544309012e-11,4.1e-11,1.9581513522704908,0.4,1.2553838110134876,4.3840665194504755e-12,4.7e-12,0.9327801105213778,0.6,1.0317479120127726,0.601302059481048,0.6847609759745834,0.4163090515092565,0.4653162128890531,0.8681813483993255,0.945321995340309,0.7614585349147841,0.7888729013259382,1.4140560065060288,0.7769878684468554,0.9415142399799872,0.7407817628484752,0.6649641427898548,0.6578030552079881,0.8252695676327745,0.41924116036104375,0.6002627901418163,1.1217209418179657e-13,5.707193125643122e-32,4.2923454686765806e-14,4.161507599673023e-14
-120.0,false,3.5e-13,2.277479607762281e-11,2.3e-12,9.140380519354796e-15,9.030975068032406e-12,1.3914173152584004e-11,2.734503561640809e-15,9.140380519354796e-15,3.5034105442587374e-13,1.98367782398201e-11,0.00030501217621957817,9.361420442869092e-12,2.1064357706120868e-12,2.0467152264220685e-12,1.23587576667985e-12,0.04526871077883546,2.2609358946176416e-13,1.8952882728518996,9.612007158210517e-12,1.1391759297667877e-11,1.3633709534525737e-12,0.08356206900397965,1.5404169052466493e-13,7.997664175524306e-13,5.8103828860206e-12,1.6672340744192513,7.821603334463094e-12,2.8531107524305704e-11,7.554657765315611e-13,2.141488084326414e-12,1.5113234394535697,0.0004114076687787559,3673.542216507197,0.36,1.3134958240255452,0.00014806645458014417,1.0e6,0.30153754304197666,0.257737805125883,1.1699391282342193,0.6,1.0317479120127726,1.103654880065177e-11,1.3056129762873314e-12,8.453154955640478,0.525,1.1053976846744347,6.192094782161154e-11,1.8e-11,3.440052656756197,0.36,1.3134958240255452,16.562366434492162,4.56927079044696,3.624728582319818,0.4,1.2553838110134876,2.098847184774676e-9,9.047207813434109e-12,231.98839112086256,0.48,1.1548236285330042,1.9572286214889176e-7,3.018521423862641e-11,6484.064038824533,0.5,1.1323080944932562,1.2083021816593772e-10,1.0e-12,120.83021816593772,0.3751457206883101,1.2907660040780027,0.8850537556674734,0.2784224435933724,0.00038709047558607826,719.2696828094881,0.3,1.4140560065060288,6.753643988945348e-9,1.2066656589759964e-11,559.694720630124,0.3,2.4180921995801015e-12,2.994465765639011e-11,0.08075204022458032,0.85,0.8396379643428482,3.141585672314381e-12,2.2966050429620776e-11,0.1367925966174174,0.6,1.0317479120127726,8.84011422231091e-11,1.8976626042514374e-12,46.584225259568896,0.35,1.32903358367515,3.020309116833092,0.07039374030987107,42.90593316305945,0.35,1.32903358367515,1.7982206562047806e-11,3.3060989087271686e-11,0.5439101206131448,0.8106075236454378,0.8658104994883022,8.048760543011986e-11,4.1e-11,1.963112327563899,0.4,1.2553838110134876,4.395640576933049e-12,4.7e-12,0.9352426759432019,0.6,1.0317479120127726,0.6013334238207987,0.685025365265826,0.4166345457787452,0.4655436834996375,0.8682589137988005,0.9453471983919618,0.7617180682843913,0.7890564445284426,1.4140560065060288,0.7771951006756114,0.9414590382808258,0.7406103030342299,0.6652424323445364,0.6580667451407939,0.8252644123379055,0.41938211762141225,0.6002432651360476,1.122640481345743e-13,5.720781582244149e-32,4.309192391229149e-14,4.177764239009063e-14
-105.0,false,3.5e-13,2.277953341916583e-11,2.3e-12,9.139941820206442e-15,9.031495233280514e-12,1.391635492380619e-11,2.7336899474716042e-15,9.139941820206442e-15,3.503615136076374e-13,1.9837698627706436e-11,0.00030435298755492534,9.362336741813203e-12,2.1076187475351657e-12,2.04767442931095e-12,1.2360052110139345e-12,0.045193537195226424,2.2613896634086562e-13,1.896313655943345,9.615961460169704e-12,1.139548882397689e-11,1.3638562188851617e-12,0.08343880623273203,1.5406518165967815e-13,7.999353262400522e-13,5.8124092814407395e-12,1.6648950796342192,7.822158819253995e-12,2.853269705029786e-11,7.55521773534928e-13,2.1443145752197174e-12,1.509432311573384,0.0004104911473238359,3677.1373059175744,0.36,1.3134958240255452,0.00014773663595760159,1.0e6,0.30119058384923586,0.2572776174547525,1.170683197508257,0.6,1.0317479120127726,1.1044703713688465e-11,1.3056565725559773e-12,8.459118535333644,0.525,1.1053976846744347,6.197143085095481e-11,1.8e-11,3.4428572694974897,0.36,1.3134958240255452,16.545850303008983,4.561557571111785,3.6272369788322707,0.4,1.2553838110134876,2.100317872590118e-9,9.047574649365371e-12,232.14153560340523,0.48,1.1548236285330042,1.9586374468592576e-7,3.018665414479532e-11,6488.421795487259,0.5,1.1323080944932562,1.209056572634718e-10,1.0e-12,120.90565726347181,0.37516071767713005,1.2907439553559605,0.8850764295927723,0.2780375734119458,0.00038623492446429624,719.8664745234548,0.3,1.4140560065060288,6.7596660041141516e-9,1.2067174635797854e-11,560.1697338547896,0.3,2.4196134522720588e-12,2.994422914036168e-11,0.08080399869137635,0.85,0.8396379643428482,3.1435470888502667e-12,2.2965787509004614e-11,0.136879568689631,0.6,1.0317479120127726,8.846730588001422e-11,1.8976445001699838e-12,46.61953588888206,0.35,1.32903358367515,3.01716860831688,0.07026872976509038,42.93757149735492,0.35,1.32903358367515,1.7994206061402236e-11,3.306146220560355e-11,0.5442652823247611,0.8106156424468954,0.8658049753168643,8.054361987281563e-11,4.1e-11,1.964478533483308,0.4,1.2553838110134876,4.398741638373495e-12,4.7e-12,0.9359024762496798,0.6,1.0317479120127726,0.6013442133376911,0.6850960666448236,0.41670338210281604,0.4656070215356871,0.8682829121506452,0.9453546720407574,0.7617706273159263,0.7890943028204892,1.4140560065060288,0.7772366289199146,0.94144077762252,0.7405517258732256,0.6653078662138845,0.6581316888489519,0.8252431581833182,0.4194209553850724,0.6002381700155047,1.1227231053415254e-13,5.722003592064185e-32,4.310708705404226e-14,4.1792871125525616e-14
-90.0,false,3.5e-13,2.2806648888948962e-11,2.3e-12,9.137432964533682e-15,9.034471037127835e-12,1.3928840739777308e-11,2.729040907801036e-15,9.137432964533682e-15,3.5047855848072523e-13,1.9842963859786034e-11,0.000300562741637115,9.36597342097341e-12,2.109396981313674e-12,2.0490716114372466e-12,1.236252357701521e-12,0.04474740107822383,2.2618131114807777e-13,1.8984089533199366,9.623479385520603e-12,1.1402641415704302e-11,1.3648118882842658e-12,0.08263029946858343,1.5419628601271862e-13,8.003680041394661e-13,5.817422865911399e-12,1.649776598113052,7.824380578618094e-12,2.8540889013703192e-11,7.556617100683287e-13,2.1551450083801564e-12,1.494701683932059,0.00040528795273259957,3687.9992949561756,0.36,1.3134958240255452,0.00014586411196967542,1.0e6,0.29842324554314836,0.2546611938625814,1.171844210014116,0.6,1.0317479120127726,1.1062160397329787e-11,1.3059059214019993e-12,8.4708708460818,0.525,1.1053976846744347,6.209647728292175e-11,1.8e-11,3.449804293495653,0.36,1.3134958240255452,16.408235380573167,4.51768925438045,3.6319973456924655,0.4,1.2553838110134876,2.1031784836851058e-9,9.049672817804291e-12,232.403814593973,0.48,1.1548236285330042,1.9615191172814154e-7,3.019489008365874e-11,6496.195587553987,0.5,1.1323080944932562,1.2101749692994233e-10,1.0e-12,121.01749692994234,0.3752464892767122,1.2906178700307693,0.8851447630964613,0.275117668621964,0.00038137757855379154,721.378717818777,0.3,1.4140560065060288,6.776262730933761e-9,1.2070137694929776e-11,561.407243413654,0.3,2.421917701591143e-12,2.994177863578497e-11,0.08088756954126244,0.85,0.8396379643428482,3.1464549201785e-12,2.2964283961120248e-11,0.13701515472921408,0.6,1.0317479120127726,8.861196717375046e-11,1.897540968814225e-12,46.698315678066315,0.35,1.32903358367515,2.991344281249695,0.06955795243162088,43.005065225149394,0.35,1.32903358367515,1.801527350109512e-11,3.306416803231588e-11,0.5448579103362757,0.8106620668430023,0.8657733884260311,8.065111928043208e-11,4.1e-11,1.967100470254441,0.4,1.2553838110134876,4.4048528399625354e-12,4.7e-12,0.9372027319069225,0.6,1.0317479120127726,0.6013611210009698,0.6852352275031983,0.41687378058290925,0.46572715750365257,0.8683239620655473,0.9453679881626987,0.7619059452346352,0.7891900546244367,1.4140560065060288,0.7773446076004421,0.9414114174201262,0.7404604656460132,0.6654536299795494,0.6582700344610695,0.8252391090690824,0.4194955136213175,0.6002282969675357,1.1231958128576088e-13,5.728998231055639e-32,4.3193919403566583e-14,4.187670472695774e-14
-75.0,false,3.5e-13,2.2799571973669904e-11,2.3e-12,9.138087401115654e-15,9.033694623542535e-12,1.3925582396746201e-11,2.7302529729730053e-15,9.138087401115654e-15,3.5044802038484554e-13,1.9841590146612164e-11,0.00030155121718302157,9.365169369059412e-12,2.1093834159645507e-12,2.0490762023913588e-12,1.236232357652449e-12,0.044865038007957374,2.2618987196124615e-13,1.8989031374671843,9.622880833028506e-12,1.1402055091443818e-11,1.3647268259968314e-12,0.08285012732526123,1.5416237029371128e-13,8.0030323518939e-13,5.816708408052663e-12,1.6538702536756984,7.82388713617596e-12,2.853883306529847e-11,7.556414665276515e-13,2.152800997999364e-12,1.498888270744798,0.00040663895434879933,3686.0420151953986,0.36,1.3134958240255452,0.00014635031964492832,1.0e6,0.29921410944748766,0.25534118253338706,1.171820802577994,0.6,1.0317479120127726,1.1060242866340226e-11,1.3058408739663218e-12,8.46982437664566,0.525,1.1053976846744347,6.20786450398738e-11,1.8e-11,3.448813613326322,0.36,1.3134958240255452,16.447949547921166,4.529092654700504,3.631621342709939,0.4,1.2553838110134876,2.1029336267191144e-9,9.04912546199078e-12,232.39081340535145,0.48,1.1548236285330042,1.961234927871725e-7,3.0192741515839634e-11,6495.716617329457,0.5,1.1323080944932562,1.2101718538314754e-10,1.0e-12,121.01718538314753,0.3752241147107387,1.290650758144229,0.8851324687744629,0.2759422725793874,0.0003826388281260892,721.1559630024202,0.3,1.4140560065060288,6.7735455477687985e-9,1.2069364708458919e-11,561.2180683397114,0.3,2.421894232551939e-12,2.9942417832524666e-11,0.0808850589854898,0.85,0.8396379643428482,3.146446819961836e-12,2.296467615329507e-11,0.13701246205078185,0.6,1.0317479120127726,8.859534616255455e-11,1.8975679745063937e-12,46.68889196741449,0.35,1.32903358367515,2.9987754238681155,0.06974268179428592,42.997707382594626,0.35,1.32903358367515,1.801407340535816e-11,3.3063462193912146e-11,0.5448332452212166,0.8106499579668365,0.8657816270610206,8.064230353034184e-11,4.1e-11,1.966885451959557,0.4,1.2553838110134876,4.4043086758557425e-12,4.7e-12,0.9370869523097325,0.6,1.0317479120127726,0.6013607792543509,0.6852228451844685,0.4168494904145056,0.46571767153587934,0.8683219287109114,0.9453671683061247,0.7618855504908939,0.7891759664214053,1.4140560065060288,0.77732812088068,0.9414122992420815,0.7404622773312672,0.6654362097365709,0.6582549657676228,0.8252295797375155,0.4194893981484294,0.6002291670875894,1.1230724751083975e-13,5.727172666028885e-32,4.3171249983499614e-14,4.185512278287153e-14
-60.0,false,3.5e-13,2.281759526770971e-11,2.3e-12,9.13642119207494e-15,9.035671629351713e-12,1.3933880165406035e-11,2.7271679182457308e-15,9.13642119207494e-15,3.505257805500637e-13,1.9845088029556206e-11,0.00029904978810431517,9.367525357511571e-12,2.1103801379506153e-12,2.0498529271189272e-12,1.2363781673912769e-12,0.04456967531473214,2.2620995772946473e-13,1.9041253023932576,9.627316099288502e-12,1.1406281473396736e-11,1.3652943059197962e-12,0.08231206016823028,1.5424940094634903e-13,8.005708520259703e-13,5.819795262526319e-12,1.6438126348018527,7.825327469621604e-12,2.854424113451036e-11,7.55727706181442e-13,2.159815543933594e-12,1.4890101148327395,0.00040320791570962216,3692.9089356099803,0.36,1.3134958240255452,0.00014511555392506407,1.0e6,0.2973560405410187,0.2536133842193511,1.1724777123112495,0.6,1.0317479120127726,1.1070765350174082e-11,1.3060064925160586e-12,8.476807285119953,0.525,1.1053976846744347,6.215572024110912e-11,1.8e-11,3.4530955689505065,0.36,1.3134958240255452,16.355351635706864,4.500114244388706,3.634430316097135,0.4,1.2553838110134876,2.1046292503395173e-9,9.050519106845205e-12,232.54237966833495,0.48,1.1548236285330042,1.9629585466997132e-7,3.019821211671572e-11,6500.247561388411,0.5,1.1323080944932562,1.210796599199013e-10,1.0e-12,121.0796599199013,0.375281082192733,1.2905670261666247,0.8851755654323014,0.273987126095083,0.00037943566119800587,722.0911319458314,0.3,1.4140560065060288,6.783921617467264e-9,1.20713328461018e-11,561.9861289516176,0.3,2.4231884249380077e-12,2.9940790450709305e-11,0.08093268041561012,0.85,0.8396379643428482,3.1480711579174337e-12,2.2963677636750398e-11,0.1370891547823922,0.6,1.0317479120127726,8.868284724948437e-11,1.8974992181887173e-12,46.736697648886384,0.35,1.32903358367515,2.981409517099234,0.0692732937172778,43.03836813746919,0.35,1.32903358367515,1.8026312134693262e-11,3.3065259303351046e-11,0.5451737719433629,0.8106807860866141,0.8657606524725918,8.0705864318034e-11,4.1e-11,1.968435715074,0.4,1.2553838110134876,4.407939788262374e-12,4.7e-12,0.9378595294175264,0.6,1.0317479120127726,0.601370383613362,0.6853054366846555,0.4169544556031783,0.4657885246610881,0.8683456236506266,0.945374920827641,0.7619692805852798,0.7892350741817973,1.4140560065060288,0.7773950137192908,0.9413955744152183,0.740410688133183,0.665524535882386,0.6583381980974329,0.8252312630379185,0.4195334947209269,0.6002233942104568,1.1233865396119537e-13,5.731821995085971e-32,4.322899342394491e-14,4.1910746985153656e-14
-45.0,false,3.5e-13,2.2760149024498647e-11,2.3e-12,9.141737613156317e-15,9.029366310635201e-12,1.390742678080582e-11,2.7370217222497593e-15,9.141737613156317e-15,3.502777787529234e-13,1.9833931616053924e-11,0.0003071023512897222,9.359991403543573e-12,2.107147516073843e-12,2.0473312287218634e-12,1.235907359220535e-12,0.04551854788251011,2.2614354457543256e-13,1.9370299687482233,9.613006629907432e-12,1.1392647220295323e-11,1.3634646152638249e-12,0.08403967783990436,1.5397201682327694e-13,7.997112599759693e-13,5.8098775269970984e-12,1.6760926004677326,7.820722143565091e-12,2.8526979177218268e-11,7.55450520694968e-13,2.1374549238826845e-12,1.520708268020653,0.00041425557776812803,3670.9421662195255,0.36,1.3134958240255452,0.00014909139406492103,1.0e6,0.303315414397143,0.2591664499647613,1.1703498444277205,0.6,1.0317479120127726,1.1036911248620538e-11,1.3054781227151912e-12,8.454305787725865,0.525,1.1053976846744347,6.190836318039067e-11,1.8e-11,3.439353510021704,0.36,1.3134958240255452,16.652105577084445,4.59321156424047,3.6253730846464998,0.4,1.2553838110134876,2.09916390199017e-9,9.046073119736434e-12,232.0525021415404,0.48,1.1548236285330042,1.9574084299039845e-7,3.018076039866922e-11,6485.616677803432,0.5,1.1323080944932562,1.2087698696369796e-10,1.0e-12,120.87698696369796,0.37509933024482245,1.2908342133498873,0.885037339649456,0.28026506359463693,0.00038974883551175037,719.0914713744855,0.3,1.4140560065060288,6.750677387305916e-9,1.2065054182103687e-11,559.5231720815077,0.3,2.418992456196881e-12,2.9945983287252897e-11,0.08077852822507162,0.85,0.8396379643428482,3.142801661056147e-12,2.2966863779923766e-11,0.13684069758812228,0.6,1.0317479120127726,8.84014364141873e-11,1.8977186093789386e-12,46.583005497911095,0.35,1.32903358367515,3.037074235785096,0.07078182588042238,42.90754297460308,0.35,1.32903358367515,1.7986777897399634e-11,3.305952556319676e-11,0.5440724750576356,0.8105824066183512,0.8658275898936887,8.050093892817134e-11,4.1e-11,1.9634375348334474,0.4,1.2553838110134876,4.396239009617448e-12,4.7e-12,0.9353700020462656,0.6,1.0317479120127726,0.6013393750136763,0.6850390134871598,0.41661738200244286,0.4655599597114719,0.8682689628873632,0.945349861946656,0.7617002671493682,0.7890451316566162,1.4140560065060288,0.77718009188759,0.9414497285187274,0.7405779025431568,0.6652401709081454,0.6580700510194124,0.8252272321621608,0.4193913616816745,0.6002422774240346,1.122384951756275e-13,5.71700337932503e-32,4.3045055857543425e-14,4.173352164764943e-14
