MCM Name,Smiles String,InChl Identifier,formula,idx_species
IBUTOL, OCC(C)C ," InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3 ",C4H10O,35
RI12O2,,,,36
IPRCHO, O=CC(C)C ," InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3 ",C4H8O,37
TBUTOL, CC(C)(C)O ," InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3 ",C4H10O,38
PECOH, CCC(O)CC ," InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3 ",C5H12O,39
RN15O2,,,,40
DIEK, CCC(=O)CC ," InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3 ",C5H10O,41
IPEAOH, CCC(C)CO ," InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3 ",C5H12O,42
RN15AO2,,,,43
ME3BUOL, OCCC(C)C ," InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3 ",C5H12O,44
RI15O2,,,,45
IPECOH, CCC(C)(C)O ," InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3 ",C5H12O,46
IPEBOH, CC(O)C(C)C ," InChI=1S/C5H12O/c1-4(2)5(3)6/h4-6H,1-3H3 ",C5H12O,47
MIPK, CC(=O)C(C)C ," InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3 ",C5H10O,48
CYHEXOL, OC1CCCCC1 ," InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2 ",C6H12O,49
RN17O2,,,,50
CYHEXONE, O=C1CCCCC1 , InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2 ,C6H10O,51
MIBKAOH, CC(=O)CC(C)(C)O ," InChI=1S/C6H12O2/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3 ",C6H12O2,52
RI16AO2,,,,53
RN16AO2,,,,54
CH3CO3, CC(=O)O[O] , InChI=1S/C2H3O3/c1-2(3)5-4/h1H3 ,C2H3O3,55
ETHGLY, OCCO ," InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2 ",C2H6O2,56
HOCH2CHO, OCC=O ," InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2 ",C2H4O2,57
PROPGLY, OCC(C)O ," InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3 ",C3H8O2,58
RN8O2,,,,59
CARB7,,,,60
CH3O2, CO[O] , InChI=1S/CH3O2/c1-3-2/h1H3 ,CH3O2,61
C2H5CO3, CCC(=O)O[O] ," InChI=1S/C3H5O3/c1-2-3(4)6-5/h2H2,1H3 ",C3H5O3,62
C2H5O2, CCO[O] ," InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3 ",C2H5O2,63
C3H7CHO, CCCC=O ," InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3 ",C4H8O,64
RN11O2,,,,65
RN10O2,,,,66
RI11O2,,,,67
IC3H7O2, [O]OC(C)C ," InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3 ",C3H7O2,68
C4H9CHO, CCCCC=O ," InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3 ",C5H10O,69
RN14O2,,,,70
RN13O2,,,,71
CH4, C , InChI=1S/CH4/h1H4 ,CH4,72
C2H6, CC , InChI=1S/C2H6/c1-2/h1-2H3 ,C2H6,73
C3H8, CCC ," InChI=1S/C3H8/c1-3-2/h3H2,1-2H3 ",C3H8,74
NC4H10, CCCC ," InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3 ",C4H10,75
IC4H10, CC(C)C ," InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3 ",C4H10,76
RI13O2,,,,77
NC5H12, CCCCC ," InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3 ",C5H12,78
RN16O2,,,,79
IC5H12, CCC(C)C ," InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3 ",C5H12,80
RI16O2,,,,81
NEOP, CC(C)(C)C ," InChI=1S/C5H12/c1-5(2,3)4/h1-4H3 ",C5H12,82
NC6H14, CCCCCC ," InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3 ",C6H14,83
RN19O2,,,,84
M2PE, CCCC(C)C ," InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3 ",C6H14,85
RN19BO2,,,,86
M3PE, CCC(C)CC ," InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3 ",C6H14,87
M22C4, CCC(C)(C)C ," InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3 ",C6H14,88
M23C4, CC(C)C(C)C ," InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3 ",C6H14,89
RI19O2,,,,90
RN19AO2,,,,91
NC7H16, CCCCCCC ," InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3 ",C7H16,92
RN22O2,,,,93
M2HEX, CCCCC(C)C ," InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3 ",C7H16,94
M3HEX, CCCC(C)CC ," InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3 ",C7H16,95
RN22AO2,,,,96
NC8H18, CCCCCCCC ," InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3 ",C8H18,97
RN25O2,,,,98
NC9H20, CCCCCCCCC ," InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3 ",C9H20,99
RN28O2,,,,100
NC10H22, CCCCCCCCCC ," InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3 ",C10H22,101
RN31O2,,,,102
NC11H24, CCCCCCCCCCC ," InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3 ",C11H24,103
RN34O2,,,,104
NC12H26, CCCCCCCCCCCC ," InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3 ",C12H26,105
RN37O2,,,,106
CHEX, C1CCCCC1 , InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2 ,C6H12,107
RC18O2,,,,108
C2H4, C=C , InChI=1S/C2H4/c1-2/h1-2H2 ,C2H4,109
NRN6O2,,,,110
HCOOH, OC=O ," InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3) ",CH2O2,111
C3H6, CC=C ," InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3 ",C3H6,112
NRN9O2,,,,113
CH3CO2H, CC(=O)O ," InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4) ",C2H4O2,114
BUT1ENE, CCC=C ," InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3 ",C4H8,115
NRN12O2,,,,116
PROPACID, CCC(=O)O ," InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5) ",C3H6O2,117
CBUT2ENE, CC=CC ," InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3 ",C4H8,118
TBUT2ENE, CC=CC ," InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3 ",C4H8,119
MEPROPENE, CC(=C)C ," InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3 ",C4H8,120
NRI12O2,,,,121
PENT1ENE, CCCC=C ," InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3 ",C5H10,122
NRN15O2,,,,123
CARB11,,,,124
CPENT2ENE, CC/C=C\C ," InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3- ",C5H10,125
TPENT2ENE, CC\C=C\C ," InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+ ",C5H10,126
ME2BUT1ENE, CCC(=C)C ," InChI=1S/C5H10/c1-4-5(2)3/h2,4H2,1,3H3 ",C5H10,127
ME3BUT1ENE, C=CC(C)C ," InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3 ",C5H10,128
NRI15O2,,,,129
ME2BUT2ENE, CC=C(C)C ," InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3 ",C5H10,130
HEX1ENE, CCCCC=C ," InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3 ",C6H12,131
RN18O2,,,,132
NRN18O2,,,,133
CARB14,,,,134
CHEX2ENE, CCC/C=C\C ," InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3- ",C6H12,135
THEX2ENE, CCC\C=C\C ," InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3+ ",C6H12,136
C2H2, C#C , InChI=1S/C2H2/c1-2/h1-2H ,C2H2,137
CARB3,,,,138
BENZENE, c1ccccc1 , InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H ,C6H6,139
RA13O2,,,,140
AROH14,,,,141
TOLUENE, Cc1ccccc1 ," InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3 ",C7H8,142
RA16O2,,,,143
AROH17,,,,144
OXYL, Cc1ccccc1C ," InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3 ",C8H10,145
RA19AO2,,,,146
RA19CO2,,,,147
MXYL, Cc1cccc(C)c1 ," InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3 ",C8H10,148
RA19BO2,,,,149
PXYL, Cc1ccc(C)cc1 ," InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3 ",C8H10,150
EBENZ, CCc1ccccc1 ," InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3 ",C8H10,151
PBENZ, CCCc1ccccc1 ," InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3 ",C9H12,152
RA22AO2,,,,153
IPBENZ, CC(C)c1ccccc1 ," InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3 ",C9H12,154
TM123B, Cc1cccc(C)c1C ," InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3 ",C9H12,155
RA22BO2,,,,156
TM124B, Cc1ccc(C)c(C)c1 ," InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3 ",C9H12,157
TM135B, Cc1cc(C)cc(C)c1 ," InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3 ",C9H12,158
OETHTOL, CCc1ccccc1C ," InChI=1S/C9H12/c1-3-9-7-5-4-6-8(9)2/h4-7H,3H2,1-2H3 ",C9H12,159
METHTOL, CCc1cccc(C)c1 ," InChI=1S/C9H12/c1-3-9-6-4-5-8(2)7-9/h4-7H,3H2,1-2H3 ",C9H12,160
PETHTOL, CCc1ccc(C)cc1 ," InChI=1S/C9H12/c1-3-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3 ",C9H12,161
DIME35EB, CCc1cc(C)cc(C)c1 ," InChI=1S/C10H14/c1-4-10-6-8(2)5-9(3)7-10/h5-7H,4H2,1-3H3 ",C10H14,162
RA25O2,,,,163
DIET35TOL, CCc1cc(CC)cc(C)c1 ," InChI=1S/C11H16/c1-4-10-6-9(3)7-11(5-2)8-10/h6-8H,4-5H2,1-3H3 ",C11H16,164
RA28O2,,,,165
STYRENE, C=Cc1ccccc1 ," InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2 ",C8H8,166
RUA20O2,,,,167
NRUA20O2,,,,168
BENZAL, O=Cc1ccccc1 , InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H ,C7H6O,169
RAROH14,,,,170
RA16BO2,,,,171
C4H6, C=CC=C ," InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2 ",C4H6,172
RU11O2,,,,173
C5H8, C=CC(=C)C ," InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3 ",C5H8,174
RU14O2,,,,175
NRU14O2,,,,176
UCARB10,,,,177
CH3OCHO, COC=O ," InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3 ",C2H4O2,178
METHACET, COC(=O)C , InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3 ,C3H6O2,179
ETHACET, CCOC(=O)C ," InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3 ",C4H8O2,180
NPROACET, CCCOC(=O)C ," InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3 ",C5H10O2,181
RN13AO2,,,,182
IPROACET, CC(C)OC(=O)C ," InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3 ",C5H10O2,183
NBUTACET, CCCCOC(=O)C ," InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3 ",C6H12O2,184
SBUTACET, CCC(C)OC(=O)C ," InChI=1S/C6H12O2/c1-4-5(2)8-6(3)7/h5H,4H2,1-3H3 ",C6H12O2,185
TBUACET, CC(=O)OC(C)(C)C ," InChI=1S/C6H12O2/c1-5(7)8-6(2,3)4/h1-4H3 ",C6H12O2,186
CH3OCH3, COC , InChI=1S/C2H6O/c1-3-2/h1-2H3 ,C2H6O,187
RE6O2,,,,188
DIETETHER, CCOCC ," InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3 ",C4H10O,189
RE12O2,,,,190
MTBE, COC(C)(C)C ," InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3 ",C5H12O,191
RE15O2,,,,192
DIIPRETHER, CC(C)OC(C)C ," InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3 ",C6H14O,193
RN18AO2,,,,194
ETBE, CCOC(C)(C)C ," InChI=1S/C6H14O/c1-5-7-6(2,3)4/h5H2,1-4H3 ",C6H14O,195
RE18O2,,,,196
MO2EOL, COCCO ," InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3 ",C3H8O2,197
EOX2EOL, OCCOCC ," InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3 ",C4H10O2,198
ECARB7,,,,199
PR2OHMOX, COCC(C)O ," InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3 ",C4H10O2,200
BUOX2ETOH, CCCCOCCO ," InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3 ",C6H14O2,201
BOX2PROL, CCCCOCC(C)O ," InChI=1S/C7H16O2/c1-3-4-5-9-6-7(2)8/h7-8H,3-6H2,1-2H3 ",C7H16O2,202
MEK, CCC(=O)C ," InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3 ",C4H8O,203
MPRK, CCCC(=O)C ," InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3 ",C5H10O,204
RI14O2,,,,205
HEX2ONE, CCCCC(=O)C ," InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3 ",C6H12O,206
HEX3ONE, CCCC(=O)CC ," InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3-5H2,1-2H3 ",C6H12O,207
MIBK, CC(C)CC(=O)C ," InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3 ",C6H12O,208
RI17O2,,,,209
MTBK, CC(=O)C(C)(C)C ," InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3 ",C6H12O,210
RC16O2,,,,211
APINENE, CC1=CCC2CC1C2(C)C ," InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3 ",C10H16,212
RTN28O2,,,,213
RCOOH25,,,,214
NRTN28O2,,,,215
TNCARB26,,,,216
BPINENE, C=C1CCC2CC1C2(C)C ," InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3 ",C10H16,217
RTX28O2,,,,218
RTX24O2,,,,219
TXCARB24,,,,220
NRTX28O2,,,,221
TXCARB22,,,,222
DMM, COCOC ," InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3 ",C3H8O2,223
DMC, COC(=O)OC , InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3 ,C3H6O3,224
HOC2H4NO3,,,,225
HOC2H4OOH,,,,226
RN9NO3,,,,227
RN9OOH,,,,228
RN12NO3,,,,229
RN12OOH,,,,230
RI12NO3,,,,231
RI12OOH,,,,232
RN15NO3,,,,233
RN15OOH,,,,234
CARB13,,,,235
RI15NO3,,,,236
RI15OOH,,,,237
RN17OOH,,,,238
RI16NO3,,,,239
RI16OOH,,,,240
RN16OOH,,,,241
PAN, CC(=O)OON(=O)=O , InChI=1S/C2H3NO5/c1-2(4)7-8-3(5)6/h1H3 ,C2H3NO5,242
CH3CO3H, CC(=O)OO ," InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3 ",C2H4O3,243
HOCH2CO3, OCC(=O)O[O] ," InChI=1S/C2H3O4/c3-1-2(4)6-5/h3H,1H2 ",C2H3O4,244
RN8OOH,,,,245
CARB6,,,,246
CH3NO3, CON(=O)=O , InChI=1S/CH3NO3/c1-5-2(3)4/h1H3 ,CH3NO3,247
CH3OOH, COO ," InChI=1S/CH4O2/c1-3-2/h2H,1H3 ",CH4O2,248
PPN, CCC(=O)OON(=O)=O ," InChI=1S/C3H5NO5/c1-2-3(5)8-9-4(6)7/h2H2,1H3 ",C3H5NO5,249
C2H5CO3H,,,,250
C2H5NO3, CCON(=O)=O ," InChI=1S/C2H5NO3/c1-2-6-3(4)5/h2H2,1H3 ",C2H5NO3,251
C2H5OOH, CCOO ," InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3 ",C2H6O2,252
RN11OOH,,,,253
RN10NO3,,,,254
RN10OOH,,,,255
RI11OOH,,,,256
IC3H7NO3, CC(C)ON(=O)=O ," InChI=1S/C3H7NO3/c1-3(2)7-4(5)6/h3H,1-2H3 ",C3H7NO3,257
IC3H7OOH, OOC(C)C ," InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3 ",C3H8O2,258
RN14OOH,,,,259
RN13NO3,,,,260
RN13OOH,,,,261
RI13NO3,,,,262
RI13OOH,,,,263
RN16NO3,,,,264
RN19NO3,,,,265
RN19OOH,,,,266
RN21AO2,,,,267
RN22NO3,,,,268
RN22OOH,,,,269
RN21O2,,,,270
RN24AO2,,,,271
RN25NO3,,,,272
RN25OOH,,,,273
RN27AO2,,,,274
RN28NO3,,,,275
RN28OOH,,,,276
RN30AO2,,,,277
RN31NO3,,,,278
RN31OOH,,,,279
RN33AO2,,,,280
RN34NO3,,,,281
RN34OOH,,,,282
RN37NO3,,,,283
RN36AO2,,,,284
RN37OOH,,,,285
RC18NO3,,,,286
RC18OOH,,,,287
NRN6OOH,,,,288
NRN9OOH,,,,289
NRN12OOH,,,,290
NRI12OOH,,,,291
NRN15OOH,,,,292
NRI15OOH,,,,293
RN18NO3,,,,294
RN18OOH,,,,295
NRN18OOH,,,,296
RA13NO3,,,,297
RA13OOH,,,,298
UDCARB8,,,,299
RA16NO3,,,,300
RA16OOH,,,,301
UDCARB11,,,,302
RAROH17,,,,303
RA19NO3,,,,304
RA19OOH,,,,305
UDCARB14,,,,306
CARB9,,,,307
RA22NO3,,,,308
RA22OOH,,,,309
RA25NO3,,,,310
RA25OOH,,,,311
UDCARB17,,,,312
RA28NO3,,,,313
RA28OOH,,,,314
UDCARB20,,,,315
RUA20OOH,,,,316
NRUA20OOH,,,,317
ARNOH14,,,,318
RA16BOOH,,,,319
RU11NO3,,,,320
RU11OOH,,,,321
RU14NO3,,,,322
RU14OOH,,,,323
UCARB12,,,,324
NRU14OOH,,,,325
NUCARB12,,,,326
RU10O2,,,,327
RE12NO3,,,,328
RE15NO3,,,,329
ECARB13,,,,330
CARB16,,,,331
RE18NO3,,,,332
RI14OOH,,,,333
RI17OOH,,,,334
CCARB14,,,,335
RTN28NO3,,,,336
RTN28OOH,,,,337
RTN25O2,,,,338
NRTN28OOH,,,,339
RTN26O2,,,,340
RTX28NO3,,,,341
RTX28OOH,,,,342
RTX24NO3,,,,343
RTX24OOH,,,,344
NRTX28OOH,,,,345
RTX22O2,,,,346
CARB10,,,,347
CARB15,,,,348
HOCH2CO3H, OCC(=O)OO ," InChI=1S/C2H4O4/c3-1-2(4)6-5/h3,5H,1H2 ",C2H4O4,349
PHAN, OCC(=O)OON(=O)=O ," InChI=1S/C2H3NO6/c4-1-2(5)8-9-3(6)7/h4H,1H2 ",C2H3NO6,350
CARB12,,,,351
CARB17,,,,352
RN21NO3,,,,353
RN21OOH,,,,354
CARB19,,,,355
CARB20,,,,356
RN24NO3,,,,357
RN24OOH,,,,358
CARB22,,,,359
RN24O2,,,,360
CARB23,,,,361
RN27NO3,,,,362
RN27OOH,,,,363
CARB25,,,,364
RN27O2,,,,365
CARB26,,,,366
RN30NO3,,,,367
RN30OOH,,,,368
CARB28,,,,369
RN30O2,,,,370
CARB29,,,,371
RN33NO3,,,,372
RN33OOH,,,,373
CARB31,,,,374
RN33O2,,,,375
CARB32,,,,376
RN36O2,,,,377
CARB35,,,,378
RN36NO3,,,,379
RN36OOH,,,,380
CARB34,,,,381
ANHY,,,,382
ARNOH17,,,,383
RU12O2,,,,384
NRU12O2,,,,385
NOA, CC(=O)CON(=O)=O ," InChI=1S/C3H5NO4/c1-3(5)2-8-4(6)7/h2H2,1H3 ",C3H5NO4,386
MPAN, O=N(=O)OOC(=O)C(=C)C ," InChI=1S/C4H5NO5/c1-3(2)4(6)9-10-5(7)8/h1H2,2H3 ",C4H5NO5,387
RU10OOH,,,,388
RC14O2,,,,389
RTN25NO3,,,,390
RTN24O2,,,,391
RTN25OOH,,,,392
RTN26PAN,,,,393
RTN26OOH,,,,394
RTX22NO3,,,,395
RTX22OOH,,,,396
RN20O2,,,,397
RN23O2,,,,398
RN25AO2,,,,399
RN26O2,,,,400
RN28AO2,,,,401
RN29O2,,,,402
RN31AO2,,,,403
RN32O2,,,,404
RN35O2,,,,405
RN34AO2,,,,406
RU12PAN,,,,407
RU12OOH,,,,408
NRU12OOH,,,,409
CCARB12,,,,410
TNCARB15,,,,411
RTN23O2,,,,412
RTN24OOH,,,,413
RN20OOH,,,,414
RN23OOH,,,,415
RN26OOH,,,,416
RN29OOH,,,,417
RN32OOH,,,,418
RN35OOH,,,,419
RTN23OOH,,,,420
RTN14O2,,,,421
CARB18,,,,422
CARB21,,,,423
CARB24,,,,424
CARB27,,,,425
CARB30,,,,426
CARB33,,,,427
RTN14OOH,,,,428
TNCARB10,,,,429
RTN10O2,,,,430
RTN10OOH,,,,431
